variable,group_type,group_value,n,min,p05,p25,median,mean,p75,p95,max,std
Q_m3s,river,Kolyma,85,148.0,158.8,366.0,4360.0,5632.411764705882,7510.0,20019.999999999996,24300.0,6191.31026076856
Q_m3s,river,Lena,87,1000.0,2131.2,3480.0,22300.0,31542.689655172413,43700.0,106800.00000000001,163000.0,36675.42727904122
Q_m3s,river,Mackenzie,103,2470.0,3030.1,3865.0,10600.0,10651.553398058253,14776.5,24258.499999999996,28800.0,7059.1501942697
Q_m3s,river,Ob,87,3350.0,4364.0,5760.0,10800.0,17248.83908045977,31100.0,35040.0,36400.0,12113.706794346032
Q_m3s,river,Yenisey,87,5850.0,7380.0,9205.0,14700.0,24597.931034482757,25900.0,80930.00000000001,98200.0,23190.620053381597
Q_m3s,river,Yukon,96,1175.0,1412.25,2236.0,10321.5,9682.9375,13684.0,19892.5,33414.0,6717.246399831752
log_Q,river,Kolyma,85,4.997212273764115,5.067394201949955,5.902633333401366,8.38022733634308,7.736922890771291,8.92399074475818,9.904322381690033,10.09823162932864,1.6155136676916837
log_Q,river,Lena,87,6.907755278982137,7.663674798679945,8.15408933807302,10.01234195744821,9.52976355980776,10.685079816494447,11.578564407711502,12.0015054797889,1.4198660641481289
log_Q,river,Mackenzie,103,7.8119734296220225,8.016350896358853,8.259675957146214,9.268609280100158,9.02647314591106,9.600792095334887,10.096509058978182,10.268130666124037,0.7349274185233672
log_Q,river,Ob,87,8.116715624819111,8.379908621230486,8.658655076248007,9.287301413112312,9.466917905866861,10.344957928632429,10.464242119074926,10.502324053624832,0.7931783858259255
log_Q,river,Yenisey,87,8.674196940225903,8.906509707956898,9.127498405555716,9.595602772766828,9.779954645176627,10.16199824768763,11.301092784768384,11.494761494342557,0.7707922848608472
log_Q,river,Yukon,96,7.069023426578259,7.252698395978251,7.712187002598479,9.241824588448154,8.826322454041955,9.523982153845385,9.898036951543993,10.416730252817723,0.9548464658443234
