table_name,row_count,unique_labels,doc_median_subset,doc_median_full_hydrocore,doc_median_difference,q_median_subset,q_median_full_hydrocore,q_median_difference,month_distribution_difference,river_composition_difference
training_matrix_optical_matched_0d.csv,188,188,5.4,5.6,-0.1999999999999993,11192.5,10052.0,1140.5,0.16248201019098366,0.0723676533509666
training_matrix_optical_matched_1d.csv,297,297,5.5,5.6,-0.09999999999999964,11400.0,10052.0,1348.0,0.12063966908573856,0.05963966293033936
training_matrix_optical_matched_3d.csv,374,374,5.571999999999999,5.6,-0.02800000000000047,11666.5,10052.0,1614.5,0.12962781921809774,0.061331130424581354
training_matrix_optical_matched_7d.csv,420,420,5.6,5.6,0.0,11751.5,10052.0,1699.5,0.11831200487507619,0.05095760424828068
training_matrix_optical_matched_3d_hls.csv,144,144,5.0,5.6,-0.5999999999999996,7875.0,10052.0,-2177.0,0.15075919154986794,0.04032094251472679
training_matrix_optical_matched_3d_landsat.csv,184,184,6.2,5.6,0.6000000000000005,14300.0,10052.0,4248.0,0.3028376122724743,0.0967132978300612
training_matrix_optical_matched_3d_sentinel2.csv,46,46,5.750500000000001,5.6,0.15050000000000097,9115.0,10052.0,-937.0,0.20693903505285746,0.15106112391701773
