river,total_flux_rank,yield_rank,mean_may_july_fraction,mean_q75_window_fraction,after_july_fraction_trend,flux_centroid_trend,annual_flux_trend,Q_volume_trend,flow_weighted_DOC_trend,assigned_regime,evidence_summary
Kolyma,6,not_available_allowed_inputs_lack_upstream_area,0.7016389725905773,0.5588285021877816,no detectable trend,no detectable trend,flat_or_uncertain,flat_or_uncertain,flat_or_uncertain,freshet_dominated_stable,Kolyma exports a large stable share of annual DOC during Discharge-centered freshet; no detectable annual change is carried forward.
Lena,1,not_available_allowed_inputs_lack_upstream_area,0.6606004615940129,0.5321445832605669,no detectable trend,no detectable trend,flat_or_uncertain,flat_or_uncertain,flat_or_uncertain,freshet_dominated_stable,Lena exports a large stable share of annual DOC during Discharge-centered freshet; no detectable annual change is carried forward.
Mackenzie,4,not_available_allowed_inputs_lack_upstream_area,0.5119224077411033,0.2269517795635581,no detectable trend,no detectable trend,flat_or_uncertain,flat_or_uncertain,flat_or_uncertain,no_detectable_change,Mackenzie has no detectable annual flux change and no strong evidence for changing export phenology.
Ob,2,not_available_allowed_inputs_lack_upstream_area,0.5445741109992165,0.318465797496886,no detectable trend,no detectable trend,flat_or_uncertain,flat_or_uncertain,flat_or_uncertain,freshet_dominated_stable,Ob exports a large stable share of annual DOC during Discharge-centered freshet; no detectable annual change is carried forward.
Yenisey,3,not_available_allowed_inputs_lack_upstream_area,0.7674480960284039,0.5904971417100314,no detectable trend,no detectable trend,flat_or_uncertain,flat_or_uncertain,flat_or_uncertain,freshet_dominated_stable,Yenisey exports a large stable share of annual DOC during Discharge-centered freshet; no detectable annual change is carried forward.
Yukon,5,not_available_allowed_inputs_lack_upstream_area,0.6038565314687333,0.3574818421628671,detectable increasing trend,detectable increasing trend,increasing,increasing,flat_or_uncertain,discharge_volume_extended_season,Yukon is best interpreted as discharge-volume-driven extended-season export expansion; high-flow windows matter but do not alone explain the annual increase.
