dataset_id,window,sensor_scope,comparison_feature_set,baseline_feature_set,candidate_feature_set,is_optical_proxy_feature_set,candidate_model_id,validation_scheme,same_sample_n,baseline_n_folds,candidate_n_folds,baseline_rmse,candidate_rmse,rmse_reduction,baseline_mae,candidate_mae,mae_reduction,baseline_r2,candidate_r2,r2_gain,baseline_bias_mean,candidate_bias_mean,bias_change_abs,underpowered,severe_fold_loss,secondary_rmse_reduction,secondary_mae_reduction,classification,classification_rank,comparison,primary_ranking_scope,selection_basis,ranking_score,rank
any_sensor_3d,3d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_1,leave_one_year_out,374,20,20,2.3447584724448287,2.3353801770275493,0.009378295417279414,1.7432288388616366,1.7277687261896315,0.015460112672005089,0.5995434315027897,0.6027404255101532,0.0031969940073635073,0.00287099674370163,-0.0054341388201072155,0.0025631420764055854,False,False,0.007098445799331721,0.021700248165342773,optical_marginal,2,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,1.9999062170458273,1
any_sensor_3d,3d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_0.1,leave_one_year_out,374,20,20,2.3447584724448287,2.3356949759899743,0.00906349645485438,1.7432288388616366,1.7315174478163693,0.011711391045267305,0.5995434315027897,0.6026333206099292,0.0030898891071395873,0.00287099674370163,-0.0057251430270453966,0.0028541462833437665,False,False,0.005396963024770329,0.017002390749305096,optical_marginal,2,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,1.9999093650354514,2
any_sensor_3d,3d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,linear_regression,leave_one_year_out,374,20,20,2.3447584724448287,2.335767486776677,0.008990985668151819,1.7432288388616366,1.731957112328425,0.011271726533211623,0.5995434315027897,0.6026086480237582,0.0030652165209685833,0.00287099674370163,-0.0057580886401414795,0.0028870918964398495,False,False,0.00514566913853054,0.016353602011154544,optical_marginal,2,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,1.9999100901433184,3
any_sensor_3d,3d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_10,leave_one_year_out,374,20,20,2.3447584724448287,2.3527516283827286,-0.007993155937899843,1.7432288388616366,1.733981434649643,0.00924740421199366,0.5995434315027897,0.5968085078811032,-0.0027349236216864803,0.00287099674370163,-0.0029992563822119943,0.0001282596385103643,False,False,-0.008117275066296337,0.01855768284806758,optical_marginal,2,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,2.000079931559379,4
any_sensor_3d,3d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_1,leave_one_year_out,152,18,18,2.2381141894816756,2.292036660326718,-0.053922470845042536,1.6179563167122233,1.6460024034500085,-0.028046086737785192,0.6831943567416476,0.6677449831254257,-0.015449373616221895,0.0004359482923822296,0.011451169645906601,0.011015221353524372,False,False,-0.11194913927923311,-0.10131268393689474,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.000539224708451,5
any_sensor_3d,3d,any_sensor,O2_indices,B0_F3_same_subset,O2_indices,True,ridge_alpha_1,leave_one_year_out,152,18,18,2.2381141894816756,2.297038266728249,-0.058924077246573336,1.6179563167122233,1.649852334942579,-0.031896018230355816,0.6831943567416476,0.666293329214135,-0.016901027527512658,0.0004359482923822296,-0.007963413356505106,0.007527465064122876,False,False,-0.06085275273752755,-0.03549953355050506,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.000589240772466,6
any_sensor_3d,3d,any_sensor,O2_indices,B0_F3_same_subset,O2_indices,True,ridge_alpha_0.1,leave_one_year_out,152,18,18,2.2381141894816756,2.3014982267639796,-0.06338403728230402,1.6179563167122233,1.6565661290650457,-0.03860981235282246,0.6831943567416476,0.6649962125693225,-0.018198144172325126,0.0004359482923822296,-0.008389192241587492,0.007953243949205262,False,False,-0.06447860255893412,-0.04373324449041838,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.000633840372823,7
any_sensor_3d,3d,any_sensor,O2_indices,B0_F3_same_subset,O2_indices,True,linear_regression,leave_one_year_out,152,18,18,2.2381141894816756,2.302418637729214,-0.06430444824753856,1.6179563167122233,1.65770851289398,-0.03975219618175663,0.6831943567416476,0.6647282107856353,-0.01846614595601237,0.0004359482923822296,-0.008424398133173644,0.007988449840791414,False,False,-0.0653876878226507,-0.0450270952694416,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.000643044482476,8
any_sensor_3d,3d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_10,leave_one_year_out,152,18,18,2.2381141894816756,2.332169282614032,-0.0940550931323565,1.6179563167122233,1.7265530657390684,-0.10859674902684513,0.6831943567416476,0.656007820203214,-0.027186536538433614,0.0004359482923822296,0.007569376534158169,0.007133428241775939,False,False,-0.1623388133498973,-0.18893714216557456,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.000940550931324,9
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,O4_bands_indices,True,ridge_alpha_1,leave_one_year_out,152,18,18,2.2381141894816756,2.3451525827147672,-0.10703839323309161,1.6179563167122233,1.6776010911790165,-0.05964477446679317,0.6831943567416476,0.6521671167142356,-0.031027240027412084,0.0004359482923822296,0.005653947294652681,0.005217999002270451,False,False,-0.17195296678510896,-0.12830380034069777,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.001070383932331,10
any_sensor_3d,3d,any_sensor,O2_indices,B0_F3_same_subset,O2_indices,True,ridge_alpha_10,leave_one_year_out,152,18,18,2.2381141894816756,2.35317946524756,-0.11506527576588432,1.6179563167122233,1.704124422980922,-0.08616810626869875,0.6831943567416476,0.6497819483417442,-0.03341240839990345,0.0004359482923822296,-0.002704373095580313,0.0022684248031980834,False,False,-0.141751693412552,-0.12891416139222778,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.001150652757659,11
