dataset_id,window,sensor_scope,comparison_feature_set,baseline_feature_set,candidate_feature_set,is_optical_proxy_feature_set,candidate_model_id,validation_scheme,same_sample_n,baseline_n_folds,candidate_n_folds,baseline_rmse,candidate_rmse,rmse_reduction,baseline_mae,candidate_mae,mae_reduction,baseline_r2,candidate_r2,r2_gain,baseline_bias_mean,candidate_bias_mean,bias_change_abs,underpowered,severe_fold_loss,secondary_rmse_reduction,secondary_mae_reduction,classification,classification_rank,comparison
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,linear_regression,leave_one_river_out,188,6,6,3.141984954248069,3.1444438102857566,-0.0024588560376876956,2.4739412877780236,2.5098403453636826,-0.03589905758565903,0.16884104393595512,0.1675396373874849,-0.0013014065484702186,-0.18845028683646634,-0.23295432583788148,0.04450403900141514,False,False,0.06829253826712867,-0.01891882765361874,optical_no_improvement,3,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,linear_regression,leave_one_year_out,188,18,18,2.3634854886754675,2.2769562757599937,0.08652921291547377,1.7163647242293743,1.7094686098816487,0.006896114347725524,0.5296926487012825,0.5634989740689312,0.033806325367648715,0.011128397025863074,0.008434950508002718,-0.0026934465178603557,False,False,0.06829253826712867,-0.01891882765361874,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,linear_regression,river_year_groupkfold,188,5,5,2.3500483524643436,2.281755814197215,0.06829253826712867,1.7255133519215258,1.7444321795751445,-0.01891882765361874,0.5350251287094222,0.5616568557318211,0.02663172702239891,0.012580285053634562,0.03611184657178821,0.023531561518153648,False,False,0.06829253826712867,-0.01891882765361874,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_0.1,leave_one_river_out,188,6,6,3.141984954248069,3.1428141893299704,-0.0008292350819014693,2.4739412877780236,2.508748700474767,-0.034807412696743256,0.16884104393595512,0.16840226582237938,-0.00043877811357573293,-0.18845028683646634,-0.23209243890060688,0.043642152064140544,False,False,0.06882334095734866,-0.01750550425906794,optical_no_improvement,3,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_0.1,leave_one_year_out,188,18,18,2.3634854886754675,2.2764543718115644,0.08703111686390308,1.7163647242293743,1.7085146958727024,0.007850028356671812,0.5296926487012825,0.5636913865846468,0.03399873788336427,0.011128397025863074,0.00841341713515872,-0.0027149798907043533,False,False,0.06882334095734866,-0.01750550425906794,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_0.1,river_year_groupkfold,188,5,5,2.3500483524643436,2.281225011506995,0.06882334095734866,1.7255133519215258,1.7430188561805937,-0.01750550425906794,0.5350251287094222,0.5618607747098607,0.02683564600043853,0.012580285053634562,0.036014641261379786,0.023434356207745224,False,False,0.06882334095734866,-0.01750550425906794,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_1,leave_one_river_out,188,6,6,3.141984954248069,3.129314016515644,0.012670937732425003,2.4739412877780236,2.499051732703185,-0.025110444925161346,0.16884104393595512,0.17553129088868458,0.006690246952729462,-0.18845028683646634,-0.22486497022902877,0.03641468339256243,False,False,0.07154698929526448,-0.007536069323298644,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_1,leave_one_year_out,188,18,18,2.3634854886754675,2.2735651387163807,0.08992034995908682,1.7163647242293743,1.7006717171221128,0.015693007107261403,0.5296926487012825,0.5647981931501587,0.03510554444887615,0.011128397025863074,0.008264080442871241,-0.0028643165829918323,False,False,0.07154698929526448,-0.007536069323298644,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_1,river_year_groupkfold,188,5,5,2.3500483524643436,2.278501363169079,0.07154698929526448,1.7255133519215258,1.7330494212448244,-0.007536069323298644,0.5350251287094222,0.5629063750163303,0.027881246306908136,0.012580285053634562,0.03516698220443384,0.022586697150799275,False,False,0.07154698929526448,-0.007536069323298644,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_10,leave_one_river_out,188,6,6,3.141984954248069,3.055676954032736,0.08630800021533291,2.4739412877780236,2.427761613077486,0.04617967470053763,0.16884104393595512,0.21387652663640588,0.04503548270045077,-0.18845028683646634,-0.18098114773100535,-0.007469139105460987,False,False,0.019377986486959653,-0.018970496540671178,optical_marginal,2,candidate_minus_B0_F3_same_subset
