dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,sensor,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,HLS,98,6,,3.228865160224893,2.611467990992923,2.1525995055773,-0.1543911106864191,-0.40688964713772763,-1.0361748925734144,0.39160237486900484,0.4058751943512828
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Landsat,54,6,,3.399535725757011,2.5433084402565354,1.8371309044489714,0.3593226280992582,0.2693567067129799,-1.0878387929432654,0.7131310304311143,0.6083481011105966
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Sentinel-2,36,6,,2.416227805716908,1.9955123114196978,1.582810025516348,0.157780518979316,-0.28052029634053505,-0.8061543245856759,0.3892392875596341,0.46068939212948185
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,HLS,98,9,,2.2717942132818703,1.7334395030242027,1.5170097985520545,0.4285330299039204,-0.28702870148504883,-0.2704788251699921,0.7306255234387374,0.6936573718360309
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Landsat,54,14,,2.6719946143767506,1.788096981054744,1.1881887537187272,0.6042040707164649,0.686487320364551,0.37205710868246733,0.8799756299374529,0.8061895453892183
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Sentinel-2,36,7,,2.1006691293668767,1.562284996716509,1.1190093253984443,0.3634026395974539,-0.19026010870246401,-0.32298820895596014,0.4154974934664349,0.6074593502235887
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,HLS,98,5,,2.253908237480767,1.7491962463604407,1.5331354001667301,0.4374959967917824,-0.2690817814130755,-0.30747265905595356,0.7245106219081768,0.6955112824925214
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Landsat,54,5,,2.624167482549112,1.7654277585251075,1.2349633865626863,0.6182462907013273,0.7075117148207158,0.34734201503064543,0.8741802964993899,0.8193028182242859
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Sentinel-2,36,5,,2.1638759356467054,1.601171640487995,1.122523926305779,0.3245172833645076,-0.2630701231042767,-0.3619804795717507,0.4189728442482173,0.5810790226449781
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,HLS,98,6,,3.1449854806849094,2.5297825264638227,1.8983583830244106,-0.09519246095860301,-0.24727981935281867,-0.9798059094761116,0.421105658896016,0.4304123190264709
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,Landsat,54,6,,3.4699216332227936,2.688168435852537,2.1956627363672303,0.33251809093633,0.029369991593476173,-0.7086530575046921,0.6856794509876583,0.5944173761558528
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,Sentinel-2,36,6,,2.578567222066087,2.188061161080018,2.1731703169801633,0.04080602424493451,-0.5874436251942553,-0.9082564597680438,0.26528510967606017,0.443560515391434
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,HLS,98,9,,2.155102023755496,1.6535343335801758,1.3942086365620852,0.4857328005281496,-0.10458928525774552,-0.14734277041077504,0.7390550331607406,0.7246998897476101
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,Landsat,54,14,,2.583139756448784,1.8352383631291656,1.380352567319219,0.6300900839170578,0.5181116513811211,0.06013494974620626,0.8407427476495136,0.8090641607264099
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,Sentinel-2,36,7,,2.1029944251344546,1.6730795099421598,1.4668260349893378,0.3619925208791681,-0.4484030145504712,-0.4375268336276692,0.3786845185186652,0.6292701089992836
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,HLS,98,5,,2.143207784872474,1.6732568775625307,1.5159399925890438,0.49139372717489904,-0.07645934360749038,-0.06059918073402604,0.72848945251826,0.7256215676568416
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,Landsat,54,5,,2.57871930397287,1.8831074250066544,1.2977325749750603,0.6313550329709474,0.5970813119426069,0.29243453219537696,0.8365106291519808,0.8138264638156958
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,Sentinel-2,36,5,,2.170310313531215,1.7301743002399956,1.3834454118222008,0.3204941571281752,-0.4988985559964038,-0.49208308594196204,0.356802680262998,0.6054308428431799
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,HLS,98,6,,3.1418202810054554,2.5277256037626255,1.8938329671533862,-0.09298910678996464,-0.2466542099464493,-0.9833396265825316,0.4212459381803459,0.4303556957743379
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,Landsat,54,6,,3.470267251283455,2.688965495984257,2.1906419097177716,0.3323851165833991,0.030462909630169063,-0.7086859360541862,0.6850312886952434,0.593964760781884
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,Sentinel-2,36,6,,2.57799812506195,2.1867641593713643,2.172112528689678,0.04122937111393332,-0.5862850849608666,-0.9073775479873429,0.26528510967606017,0.44315328218897954
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,HLS,98,9,,2.1537963414551413,1.6523742948629616,1.391602613696092,0.4863557558829691,-0.10488822030510792,-0.15123294574681445,0.7389785171874699,0.7246526271015136
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,Landsat,54,14,,2.5842458222996045,1.833994661831848,1.3773887897587374,0.6297732351517644,0.518232910729134,0.05501137208720053,0.8407427476495136,0.8091020450978345
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,Sentinel-2,36,7,,2.101759495935312,1.6731213941271672,1.4695172783718786,0.3627416077246647,-0.4478835880017452,-0.44460120258495905,0.38125885243109664,0.6296496856282148
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,river_year_groupkfold,HLS,98,5,,2.1422083803897403,1.6712787162222296,1.5008019664398724,0.4918679554587774,-0.07719235459113397,-0.05981130703035964,0.7291015803044267,0.7254464693168164
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,river_year_groupkfold,Landsat,54,5,,2.579743183241018,1.882007027871793,1.292034374538332,0.6310622342384692,0.5970601635604595,0.29006992200141757,0.8374256818000959,0.8139539964691074
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,river_year_groupkfold,Sentinel-2,36,5,,2.1682561787227557,1.7298292018637862,1.383520847528362,0.32177981296780567,-0.4973790423665082,-0.4932918818420089,0.356802680262998,0.6059644666514846
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_river_out,HLS,98,6,,3.1152583756358143,2.509834393996058,1.8976452310273775,-0.07458630300706215,-0.24155550022117517,-0.9885629008604351,0.4180577726273945,0.42993024940323615
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_river_out,Landsat,54,6,,3.4734738413095263,2.695047878419712,2.1410068800344377,0.33115076998974957,0.039816485204875206,-0.727290704025694,0.6833536921736988,0.5901614937506985
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_river_out,Sentinel-2,36,6,,2.5735030956721228,2.1757047139422423,2.090675252151931,0.04456990490883217,-0.5764518217345969,-0.9000967255325221,0.2553739241131991,0.43960352345951803
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_year_out,HLS,98,9,,2.143914361774014,1.6427113507183742,1.3713561433835522,0.4910583152883786,-0.10736171722332405,-0.15253449414109177,0.738302626090244,0.7240522984118286
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_year_out,Landsat,54,14,,2.595417038050109,1.823719904536041,1.2963699056798732,0.6265654734450712,0.5189673828781642,0.010229989812144069,0.847720024091392,0.8092280615793956
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_year_out,Sentinel-2,36,7,,2.0922617132408035,1.6738804334336221,1.4915251192578447,0.3684880940589075,-0.4430317573409811,-0.5051024886635544,0.37829836843180054,0.6324933072560923
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,HLS,98,5,,2.135271550083187,1.6580896993299565,1.4687538812643264,0.495153461023765,-0.08326577466973269,-0.10291318807974226,0.7265382951998538,0.7237377005122554
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Landsat,54,5,,2.5908143980304246,1.872959966271118,1.267170984209637,0.6278887757499508,0.5963748590225973,0.24342893170342728,0.8400183309697558,0.8147786104197565
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Sentinel-2,36,5,,2.152065813369018,1.7272406244736347,1.3853215245900565,0.3318705361422606,-0.4842445504209135,-0.504917007363979,0.3620800647834824,0.610127042311027
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,HLS,98,6,,2.9555914784895183,2.3850156281395436,1.9754651736187288,0.03274280832384602,-0.21783922570398268,-1.0189278955382362,0.4124147195986708,0.4296006131758229
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Landsat,54,6,,3.5064508909194827,2.706840532968389,2.02291281899801,0.31839041656135725,0.10706943362248987,-0.9193379709732539,0.6743556744672327,0.5670467505093001
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Sentinel-2,36,6,,2.55693310754585,2.125507303349976,1.9813797637684214,0.05683373191609564,-0.51272114083481,-0.8871362874330773,0.22847213472829053,0.41228804077446335
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,HLS,98,9,,2.1307386162555684,1.6387325142990021,1.3323683028461737,0.49729464715266414,-0.12282583769176107,-0.27709200627124786,0.7220366054390867,0.7114328591573394
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Landsat,54,14,,2.7402255071778363,1.8635437403969992,1.3818993231767067,0.5837322404580412,0.515450380116609,-0.0784233626851214,0.8584337655130742,0.8004662032216119
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Sentinel-2,36,7,,2.0722907776517934,1.6935058362832711,1.5025418943960784,0.38048629906986464,-0.39766290832963136,-0.6366375119658234,0.33813875939786997,0.6351865474296401
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,river_year_groupkfold,HLS,98,5,,2.1510309042222335,1.665203771406324,1.2678288042576065,0.48767392972571233,-0.11845209296180358,-0.2654496073705772,0.6992539743976968,0.7028799555418104
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,river_year_groupkfold,Landsat,54,5,,2.75023616746457,1.902265268542956,1.407058323213658,0.5806852453675196,0.5800459299995607,-0.024798009147692035,0.8545447917585846,0.808582083426526
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,river_year_groupkfold,Sentinel-2,36,5,,2.1038054592411566,1.7236297058820451,1.4342983286159363,0.36150032213820704,-0.3949914167579899,-0.7628921646616869,0.32166302235830874,0.6199523392845453
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_river_out,HLS,98,6,,2.7496416992313657,2.1719909264896726,1.7538215324425621,0.16284598056219246,-0.2643273969079689,-1.035492696696246,0.4185870081091845,0.42137510372731257
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_river_out,Landsat,54,6,,3.7527597948618605,2.7746713288415945,2.1849509631506976,0.21926850262732445,0.3972340779844297,-0.7661451993537276,0.5958899098913539,0.49952467334477496
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_river_out,Sentinel-2,36,6,,2.582507711649467,2.1457575390025756,1.768532526623662,0.03787216093875434,-0.40820950502641,-0.7121522225006682,0.10966662466957945,0.3095749082304214
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_year_out,HLS,98,9,,2.355679922046138,1.844159476054069,1.4680877592846073,0.3855511769290929,-0.21613819192688852,-0.7203380100814556,0.6099024466106846,0.6371978556086547
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_year_out,Landsat,54,14,,3.4004506138239927,2.3847477095136496,1.7264258049523722,0.3589777416193699,0.6033069751946004,-0.4702874853494441,0.783018176430913,0.7126176419824952
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_year_out,Sentinel-2,36,7,,2.269440743356402,1.804318970442044,1.4390916246554766,0.25700272319839035,-0.319425481122101,-0.8027188027247449,0.17196550535042038,0.5284016444523552
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,river_year_groupkfold,HLS,98,5,,2.4349589962630276,1.8939954607335696,1.5814772162581852,0.34349738474011837,-0.23516701069904775,-0.7857848859442709,0.581081430012005,0.6024159416034541
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,river_year_groupkfold,Landsat,54,5,,3.4555093691322196,2.448446328412965,1.6990222309699428,0.3380513268190197,0.6705111508690224,-0.4512910344848602,0.7846195185651145,0.7235502561923103
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,river_year_groupkfold,Sentinel-2,36,5,,2.314699706307311,1.8306670281949957,1.4143827365536348,0.2270723563016025,-0.27101191549548975,-0.814629557894857,0.1629553366569103,0.4950523779460886
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,HLS,15,6,,2.974700583194346,2.5978542482965667,2.818683626899743,0.5207317537702774,0.4197137232141241,-0.37157303076375925,0.7739055815928366,0.7316767447142218
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Landsat,32,6,,3.6691862585922084,3.0496806752976644,2.6142454833200945,0.38068721466997824,-0.42176957457892056,-0.6465176765611875,0.7264393594403641,0.63895216210899
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Sentinel-2,29,6,,2.5657489067335026,2.2636917163566794,2.3297388534292844,0.12727150355187178,-0.40922711856248867,-1.132077756357952,0.4831239368102195,0.5343970865156964
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,HLS,15,7,,1.8428386970838027,1.5027539185753895,1.17924777064583,0.8160639799048733,0.4448015971135926,0.36470881282084466,0.7989279329607344,0.9097572157896244
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Landsat,30,11,,2.4367140771077103,1.7035032430640622,1.1704996211298655,0.736838642339896,0.24940882756115995,-0.14641563157325077,0.894725216620345,0.8642380625297561
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Sentinel-2,28,6,,2.044967350913286,1.4519111516012073,0.9662433336415934,0.46395631540308435,-0.3712985014232629,-0.2689658628910885,0.67807284226948,0.7430187268154728
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,HLS,15,5,,1.7386219880511666,1.392365024068641,0.9007658511489547,0.836279721687804,0.3280223302748987,0.31240678095502705,0.8185883518926541,0.918885978278309
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Landsat,32,5,,2.3151949982188937,1.6172895513377004,1.2275356337471188,0.7534269086037407,0.06580249870283422,-0.21558452954941743,0.912724667161568,0.8751582303931615
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Sentinel-2,29,5,,1.9990597148970346,1.4300608203369287,0.8670827746894849,0.47021167135193365,-0.3899826530858497,-0.37959483593463794,0.6977088164439275,0.7442644475441428
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_river_out,HLS,15,6,,2.780234893332407,2.615820526163719,2.885852479387969,0.5813461224305926,-0.18884207262771738,-0.9695149238733887,0.7846294464647928,0.7714505936802868
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_river_out,Landsat,32,6,,3.5224032965665177,2.8704072568100916,2.0154780410178397,0.42924636393067206,-0.6199554801731721,-1.4748465192374167,0.7368904052475577,0.6749362543252189
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_river_out,Sentinel-2,29,6,,2.6325605185825034,2.314774191285498,2.3698813630177185,0.0812283641229028,-0.2963009456784798,-0.767707646473311,0.4826312045952167,0.495048177482478
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_year_out,HLS,15,7,,1.7711763298557328,1.4908194084876696,1.5177639561952514,0.830091252695176,0.05823538734473705,-0.003287999602267888,0.7989279329607344,0.9176138237391452
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_year_out,Landsat,30,11,,2.4418557992694656,1.8035921545624234,1.1904546143950019,0.7357268744950932,0.18906217231795572,0.21343682381570916,0.8985088804717246,0.8603739913233549
