dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,river,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Kolyma,29,1,,3.848657661459327,2.8505242701949673,1.6680040396628497,-0.3709343090765578,2.705468329864872,1.6680040396628497,0.8152254497220889,0.6722999404337856
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Lena,22,1,,3.9439234540036674,3.0344538433868307,2.518241693097091,0.26153731123255053,1.428936511707447,1.3264477104950605,0.5213216813364058,0.5987659915545203
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Mackenzie,44,1,,2.1342855213012837,1.9537209377911433,1.9294265548684348,-2.257478889461833,-1.92856108217308,-1.9294265548684348,0.7272407087008836,0.740870131642436
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Ob,26,1,,3.601501890569794,2.9746339635500685,2.39993646466484,-0.23329347277071477,1.8873254117072507,1.6627846811850233,0.2889877049988042,0.34045457886016517
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Yenisey,29,1,,3.635467304031821,3.063814241240801,2.5221019730675556,-0.7074879640846528,-3.063814241240801,-2.5221019730675556,0.4284306609449116,0.7271558042981247
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Yukon,38,1,,2.0726641170703806,1.671656747394969,1.3253177406349215,0.490423499269696,-0.5443947063602774,-0.8061543245856759,0.7491382623239051,0.7610184063900335
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Kolyma,29,11,,2.647499096822671,2.0480558404225637,1.8151623712746137,0.35126142585063214,0.11500908792529929,-0.5724288179831891,0.7583148788892685,0.6511781387797244
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Lena,22,9,,3.905193156837082,2.980494161576315,2.280051188981048,0.2759698659631713,0.05281823836530609,-0.14132961757707863,0.43716466018892536,0.5303052421085325
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Mackenzie,44,16,,0.8983145607124275,0.7139591135918654,0.5295372902808915,0.42292341661184707,-0.04010365321126159,-0.10576489490813734,0.7138476938076813,0.7302446946402749
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Ob,26,10,,2.8727632406942893,2.445560285208413,2.3476728407929146,0.21530875188140808,0.062066802385679715,-0.056371562891992966,0.4353625425603288,0.4660127125072252
