dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,month,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,1,1,1,,0.83959375335753,0.83959375335753,0.83959375335753,,-0.83959375335753,-0.83959375335753,,
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2,8,4,,2.5817141653339495,2.0109546934272355,1.5717224249609194,-1.6212156295097642,-1.1087230823671417,-0.8941008956958929,-0.1666666666666667,-0.38716438486433913
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,3,15,6,,3.2621988417189667,2.641281878508298,2.025269780398344,-6.993953816166671,-0.8685019731786506,-1.6017390636248008,0.24128695961901372,0.14702310649200837
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,4,18,6,,3.4457460565683555,2.712112282676253,1.7500398398189516,-7.442693540728362,-0.6346821376299846,-1.359760434958205,0.05891479948901496,0.13712709580995583
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,5,18,6,,4.981386860213381,3.8238267207695995,2.4784708797773725,0.2755953088878731,1.0698953470206662,0.5357841370382204,0.7110423116615068,0.582497004501417
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,6,34,6,,2.8257933106879034,2.2274482499074857,1.8724454179882097,0.1954586198800049,0.2690280779436587,0.004895316556548401,0.5248032548175267,0.4695949955140609
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,7,24,6,,2.533972078367,2.2767829811840787,2.403422673547601,0.21764743510692297,-0.9234734315542771,-1.796104475314078,0.7956521739130433,0.5816657796197235
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,8,29,6,,3.506947305772494,3.015420703359271,2.776390620161443,0.016109187417102322,0.04575732579578353,-1.4506671623209524,0.26009852216748763,0.24687513651790974
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,9,19,6,,2.0152429502879845,1.71087302975719,1.5523411697943805,-0.123946550569064,-0.4744174882221209,-0.9034853983158753,0.38437915064969924,0.3221673099096497
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,10,11,5,,1.6161523197243748,1.479428998476869,1.522862008711395,-1.3759020940651272,-0.3064315980876643,-0.5159061675971595,0.12300715284611541,0.19594453264997228
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,11,5,4,,2.6559305050841737,2.026372148421262,1.1068125906092847,-1.0674745646783985,1.2950031757244393,0.26311064763930947,0.7999999999999999,0.42530521664685833
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,12,6,3,,3.122400718647099,2.3620334714022455,1.895886980332162,-0.9506826972844187,-0.48774574143509436,-0.2545437847662355,-0.34786262139146906,-0.4046261483867891
