dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,season_window,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,early_season,52,6,,3.716257260337772,2.7800407975136023,2.114696748687266,0.2591705934407874,0.5462513633933921,0.24238311869450424,0.6116044833446823,0.5540598871938474
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,late_season,30,6,,1.8787789505516452,1.6260102182877387,1.545233052209932,-0.30091385981684127,-0.4128226618394868,-0.8475321157446145,0.27064324960456204,0.29080376690369897
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,spring_freshet_provisional,76,6,,3.3877757902015038,2.6211172765674373,2.3272679057823162,0.3198168352524666,0.08212774393623347,-0.860903627956251,0.6661471489687886,0.5801415205472573
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,summer,53,6,,3.104367132699892,2.68094324426107,2.550522319247647,0.08941162975186134,-0.3931396209287722,-1.677092940579735,0.5119345230740147,0.37562978341589337
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,early_season,52,17,,3.1530507054972015,2.255758133481688,1.450186494679321,0.4667036867882739,0.6953066142590548,0.455086926725639,0.7418239370411068,0.7024653225942367
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,late_season,30,15,,1.220172898375696,0.9276756263859217,0.6031344532821556,0.4512937360093219,0.18099587669886671,0.22922592068312087,0.6636991532243456,0.7154517379136722
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,spring_freshet_provisional,76,17,,2.87260214673719,2.1026595758542364,1.5037447028759958,0.5109564677416217,0.1439317535416958,-0.26545602383128863,0.7761075700905119,0.7181846528752545
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,summer,53,16,,2.3610869663411727,1.834762635720359,1.556612287960462,0.47325561654531556,-0.6210968866864105,-0.7946664105529049,0.7468349350949024,0.7195070710835471
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,early_season,52,5,,3.1187739844319675,2.250823990397663,1.5620097989051684,0.47823555982755905,0.7406887054773773,0.6386185328754967,0.7393476326757322,0.714622510638419
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,late_season,30,5,,1.2695570549889528,0.9723953876641256,0.7467311209370724,0.4059792503881058,0.13188479749040113,0.16598417003617705,0.6717116178507965,0.6934798864578773
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,spring_freshet_provisional,76,5,,2.8548156022716786,2.1081232626730944,1.598757452036157,0.5169938267493992,0.16849965548268545,-0.126853382912401,0.7669066048518048,0.7244071973497607
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,summer,53,5,,2.328547279712942,1.831261044768041,1.5802621519600928,0.4876743888804479,-0.6302564746791153,-0.7805797586217436,0.7501411200907335,0.7311756291883175
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,early_season,52,6,,3.6666167560132847,2.8879292508079666,2.3324188196130793,0.278829905399152,0.3631291509783822,0.42216943225937165,0.6049440784998816,0.5691045333621889
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,late_season,30,6,,2.347892142748063,1.9586635357030304,1.741004793942019,-1.031671338833061,-0.6251015893233692,-0.8656560408700011,0.08168262549742951,0.07854232974411951
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,spring_freshet_provisional,76,6,,3.331183422036135,2.6511721247427444,2.257505054484045,0.3423517765310451,-0.07662357446924832,-0.5803161292948209,0.670125575245852,0.6033771035493263
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,summer,53,6,,3.051454899067244,2.5578108030769813,2.209864900434672,0.1201880495146207,-0.27023291432023716,-1.5282100187304417,0.5089912120411405,0.41946767676083696
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,early_season,52,17,,2.9411917099734963,2.206724383469046,1.633896876506685,0.5359622226013114,0.5458562898017033,-0.0016720198153548083,0.7364016843789933,0.7438390210013401
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,late_season,30,15,,1.4400118529515962,1.19334897230054,0.9697112113893902,0.2357608129458142,0.09032245401283444,-0.2381271251824537,0.460494147559078,0.5871301518803455
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,spring_freshet_provisional,76,17,,2.6988191076854973,2.0293885848658606,1.593939827166126,0.5683377095321722,0.026449917175732078,-0.4415806033302192,0.774931815245744,0.7554434211106504
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,summer,53,16,,2.2551313927074697,1.692426365584112,1.1658671624029822,0.5194709506286364,-0.4568088244278579,-0.6415447775898588,0.7460285485105532,0.7346013075249341
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,early_season,52,5,,2.937868357717782,2.247964831498992,1.6326946601284842,0.537010294183334,0.64068691339343,0.27985338919367897,0.716847418873104,0.7496154643658275
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,late_season,30,5,,1.5802185653110068,1.318278658710672,1.1817668948854296,0.07969562052228518,0.06361614414781219,-0.305225794091069,0.42688630982035375,0.5292734414455326
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,spring_freshet_provisional,76,5,,2.6988196989083426,2.073870873863477,1.6326946601284842,0.5683375204060208,0.08739933588691648,-0.27785609996829885,0.7571451053266388,0.7567209681370669
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,summer,53,5,,2.226553866528292,1.694842235011548,1.2425782865731563,0.531572526575984,-0.4480570387838454,-0.5137388229853661,0.7572373220330055,0.7422888521942866
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,early_season,52,6,,3.666795223157638,2.8887442258714158,2.3333432348669545,0.27875969991643723,0.3664755294582823,0.42821394900719945,0.6049440784998816,0.5686443940652646
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,late_season,30,6,,2.346368329337531,1.956103671209038,1.7387114795607683,-1.0290350308535046,-0.624160367215112,-0.8672042631847026,0.07433786625651623,0.07746863508194125
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,spring_freshet_provisional,76,6,,3.331666731067507,2.65233889913009,2.2691990715789823,0.3421609312107846,-0.07520682572792371,-0.5751374098302824,0.670125575245852,0.6028578207201584
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,summer,53,6,,3.051907470017372,2.558733151605121,2.2021471305479565,0.11992705476227605,-0.27345916292336747,-1.534087135068388,0.5096766406378374,0.4188542231599981
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,early_season,52,17,,2.9422051299568306,2.2063473320267866,1.6195948076275783,0.535642388860069,0.5485347204767254,0.0017723103334743584,0.7364016843789933,0.7438239691957975
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,late_season,30,15,,1.4381727149380883,1.1906302830592002,0.9654209591726719,0.23771169103166778,0.08976888845064661,-0.23509205066268102,0.460494147559078,0.5871399221755763
