dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,group_type,group_value,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,p05_residual,p95_residual,flags
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Landsat,30,2.4367140771077103,1.7035032430640622,1.1704996211298655,0.736838642339896,0.24940882756115995,-0.14641563157325077,0.894725216620345,0.8642380625297561,-2.443663102130357,5.2812992214375765,
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,28,2.044967350913286,1.4519111516012073,0.9662433336415934,0.46395631540308435,-0.3712985014232629,-0.2689658628910885,0.67807284226948,0.7430187268154728,-3.757649487822332,2.0051497030433763,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_year_out,sensor,HLS,15,1.7711763298557328,1.4908194084876696,1.5177639561952514,0.830091252695176,0.05823538734473705,-0.003287999602267888,0.7989279329607344,0.9176138237391452,-2.3157863999384873,2.963918925430395,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_year_out,sensor,Landsat,30,2.4418557992694656,1.8035921545624234,1.1904546143950019,0.7357268744950932,0.18906217231795572,0.21343682381570916,0.8985088804717246,0.8603739913233549,-3.480911711508976,4.773687136936955,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_year_out,sensor,Sentinel-2,28,2.133905238207892,1.520662763949962,0.9582997447593553,0.41631613854088634,-0.04959505170089188,-0.0825524231498087,0.6687654233606539,0.7269603671900213,-3.242016159687801,2.8018923199293657,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,sensor,HLS,15,1.7533069777841719,1.4757194594801895,1.4570373510495553,0.8335023680187629,0.039417947823910546,-0.029877965748102753,0.823950284328632,0.9187874215426078,-2.3297265871332833,2.907778819456817,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,sensor,Landsat,30,2.447193350853091,1.8028300471734442,1.1841131579104727,0.7345702844172914,0.18939655499471839,0.19322615725926018,0.8985088804717246,0.8600030012665296,-3.4622010422347422,4.8257437066959685,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,sensor,Sentinel-2,28,2.122702880009604,1.5119779007184213,0.9803769792328767,0.4224283806801278,-0.04254217981563348,-0.07315148411490613,0.6687654233606539,0.726990782495761,-3.2304996544664637,2.8013042774800767,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_year_out,sensor,HLS,15,1.6407186689253783,1.3613646065330962,1.5988664066824558,0.8541990417914486,-0.09261640850253547,-0.0279482543057874,0.8525472573205152,0.926460542057788,-2.4240920323841477,2.4894978295137125,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_year_out,sensor,Landsat,30,2.5029590701210434,1.8065857885043224,1.3016159373334366,0.7223354286647623,0.1924564244666914,0.1797321595755399,0.90251511278495,0.8558368691267259,-3.298103357838041,5.231599019047756,
