dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,188,6,940,3.141984954248069,2.4739412877780236,1.9294265548684348,0.16884104393595512,-0.18845028683646634,-0.9709724063976699,0.5246409882656381,0.5077496661061023
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,188,18,3196,2.3634854886754675,1.7163647242293743,1.2886657642016952,0.5296926487012825,0.011128397025863074,-0.18234627488454835,0.7453099419552198,0.7283567506166181
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,188,5,752,2.3500483524643436,1.7255133519215258,1.3355688081838375,0.5350251287094222,0.012580285053634562,-0.13115548286933398,0.741095345191198,0.731688443153872
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,188,6,940,3.1444438102857566,2.5098403453636826,2.0073513934943907,0.1675396373874849,-0.23295432583788148,-0.9565536756214654,0.5414533190896774,0.5218781617806458
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,188,18,3196,2.2769562757599937,1.7094686098816487,1.4097748425548575,0.5634989740689312,0.008434950508002718,-0.15296953357987664,0.752433305845214,0.7519986606095548
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,188,5,752,2.281755814197215,1.7444321795751445,1.3775587103566416,0.5616568557318211,0.03611184657178821,-0.07165812609835842,0.7443228936880082,0.7506073422080551
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_river_out,188,6,940,3.1428141893299704,2.508748700474767,2.008675206661641,0.16840226582237938,-0.23209243890060688,-0.9565168682933387,0.5409566342342645,0.5216745877237625
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,188,18,3196,2.2764543718115644,1.7085146958727024,1.411834957871446,0.5636913865846468,0.00841341713515872,-0.15123294574681445,0.7521596776430501,0.7520272195856099
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,river_year_groupkfold,188,5,752,2.281225011506995,1.7430188561805937,1.3806648655500449,0.5618607747098607,0.036014641261379786,-0.07991019846360459,0.7442262659070462,0.7506338222643555
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_river_out,188,6,940,3.129314016515644,2.499051732703185,2.0192815801159587,0.17553129088868458,-0.22486497022902877,-0.9250623470560173,0.5395487584350124,0.5199769687851934
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_year_out,188,18,3196,2.2735651387163807,1.7006717171221128,1.3713561433835522,0.5647981931501587,0.008264080442871241,-0.1610594405266632,0.7542674275567477,0.7520820025712407
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,188,5,752,2.278501363169079,1.7330494212448244,1.3676212679984063,0.5629063750163303,0.03516698220443384,-0.11870333905688502,0.7439752142892193,0.7506422818643163
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,188,6,940,3.055676954032736,2.427761613077486,1.9872601136776127,0.21387652663640588,-0.18098114773100535,-0.9336141112528455,0.5281213945070222,0.5101052948661298
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,188,18,3196,2.3120863657968376,1.713794460047542,1.3818993231767067,0.5499259305076589,0.007880445386370089,-0.3195128435345671,0.7441747912947578,0.7437485034308533
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,river_year_groupkfold,188,5,752,2.330670365977384,1.744483848462197,1.3657022804046335,0.5426616765907136,0.029225979289531336,-0.3801741251468953,0.7307137286496954,0.7405905152561978
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_river_out,188,6,940,3.043585402803182,2.34007784019961,1.9069918822977874,0.2200857205315233,-0.10185631312113032,-0.9040164394843329,0.49398740511630207,0.4704086400154592
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,leave_one_year_out,188,18,3196,2.6833240108136556,1.9918057867178165,1.5341490465513046,0.39379136195422526,-0.0005440610038418984,-0.7203380100814556,0.6549891555934476,0.665226731443211
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_100,river_year_groupkfold,188,5,752,2.747064159208204,2.0411259037298395,1.6136135002437673,0.36464932989545096,0.018110670960547297,-0.6615440690879439,0.6306190873967712,0.6468954634155629
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,76,6,380,3.1507210935759002,2.6605875672147046,2.566995333530435,0.3933699010958308,-0.2509014075871811,-0.8014480053209898,0.6945988302545926,0.6514556678522067
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,73,14,991,2.17759778043745,1.5657523056902265,1.112943493747422,0.7183303311559159,0.05147850333818258,-0.006824391040454181,0.8325014921430175,0.847652960190783
any_sensor_0d,0d,any_sensor,O2_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,76,5,304,2.09245870543708,1.5014540104421967,0.9705238456468335,0.7324420710157993,-0.05636160561678244,-0.2577518706238373,0.8451563123182799,0.8562837927915347
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_river_out,76,6,380,3.064999489234811,2.6081419954955023,2.477183447349187,0.42593000690729255,-0.411367551047805,-1.0719081945006677,0.7128101057820928,0.6785401744245865
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,leave_one_year_out,73,14,991,2.2003586882025177,1.6308029199285847,1.157546789702932,0.7124113661737561,0.07064019906965413,0.04381724511907503,0.8377317226112707,0.8467300747523439
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,76,5,304,2.226828772423009,1.6369037737170191,1.2422911476620242,0.6969755428199417,0.027925815063879162,-0.10322730054114793,0.837322182530549,0.83712716093772
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,76,6,380,3.0634173034108967,2.6036399636675216,2.416001470088398,0.42652253618818126,-0.414160114314656,-1.0942984241559355,0.7096928604215297,0.678315127478885
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,73,14,991,2.1956938858288035,1.6240558154455067,1.1494485187481933,0.7136294603866052,0.06961623058030787,0.043202948488431314,0.8383951441750908,0.8470459152574539
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,76,5,304,2.2249437791086004,1.6311137574560046,1.2409223468818724,0.6974883414016375,0.028599938340978025,-0.058087054405953076,0.8380741496131411,0.8371150384062154
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,76,6,380,3.057770386221956,2.566817462281897,2.2671044379092335,0.42863481454353725,-0.4295732148642139,-1.0326136818659046,0.7034036811853059,0.67543011819606
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_year_out,73,14,991,2.176745466464749,1.595105651097805,1.096956649637625,0.7185507795918789,0.06317044558476514,0.005080308007805456,0.8337974784537352,0.8480497324912769
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,river_year_groupkfold,76,5,304,2.227429055647402,1.6241687891686079,1.182914818660958,0.6968121490127349,0.03405578591324631,-0.07319329445909695,0.8319900523085333,0.8351524032672467
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_10,leave_one_river_out,76,6,380,3.1322567689814655,2.462192952482919,1.9815130094321587,0.4004591951308363,-0.3915506318851919,-0.9430345070669195,0.6603228034171731,0.6409231520147017
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_10,leave_one_year_out,73,14,991,2.3875756490779954,1.7313646155618987,1.3957279152512072,0.6613905810465764,0.054183017270590106,-0.4028039106137751,0.8039435080818466,0.8230668430660567
