dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2004,2,1,,0.8651853161275097,0.6900180651043275,0.6900180651043275,0.9010187595051029,-0.6900180651043275,-0.6900180651043275,0.9999999999999999,1.0
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2005,7,4,,2.2523662870671455,2.1198896943799106,1.8439046551884584,0.06335892741252713,0.2744912681815204,0.9428559437864088,0.642857142857143,0.5637055444748388
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2009,6,4,,2.4117391513935735,2.1201534180244015,2.6075188227080135,0.009350965429694491,-1.1360264970572642,-1.7021231854354983,0.3714285714285715,0.528988365664873
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2010,4,3,,5.6143080904904785,4.050876314450102,2.617530191491612,-1.0771304998317524,3.8061454690068306,2.617530191491612,0.19999999999999998,0.07702753602221833
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2011,7,5,,5.315238799606054,3.9077249925664677,2.504869275565465,0.12880024459091077,2.6958448122280307,1.7404293640173414,0.3214285714285715,0.6820545386057876
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2012,3,2,,2.9984506140934473,2.8026896246392687,2.9475481314862053,-0.38413196658255844,-2.8026896246392687,-2.9475481314862053,0.5,0.9815371376825452
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2013,4,3,,1.921474401418417,1.8011099779489168,2.0137680987316338,0.6588332543753959,-0.587047970934949,-0.7997060917176659,0.7999999999999999,0.8369112794163832
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2014,3,3,,4.629221789710725,3.334020612685198,1.418863700026634,0.4145958556274112,1.9047316941630381,-0.7250696777566055,1.0,0.9278220143596303
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2015,7,6,,3.262660820526189,2.543917162160192,2.025269780398344,-0.4303028020731452,-0.05847250607888542,-1.6039007227653777,0.7500000000000002,0.7208243944824726
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2016,15,5,,3.3659519321193514,2.8074088449676062,2.1670037796241477,-1.417509713124299,-0.30255578852497644,-1.389471106560337,0.10375687442909719,0.3167691180612521
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2017,18,6,,2.947709960673882,2.4926612913331434,2.03302608186553,-0.1307977425975857,-0.35519652888345704,-0.7470654124659597,0.30061999512289717,0.35165509533886974
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2018,25,6,,3.3434257958204703,2.805695831528356,2.5164155441443277,-0.42224104760208814,-0.18706388362437992,-0.83959375335753,0.3578988473925284,0.36821555523244537
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2019,24,6,,3.4520432441609703,2.7604237843444728,2.35252380681577,0.16561357948046795,-0.0024690271295759736,-0.9781023567080616,0.36292441943480125,0.4674424060123459
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2020,19,6,,2.4383681925763425,2.076696155417949,1.522862008711395,0.36530440631433303,-0.07182074616296248,-0.7580871004519221,0.5684210526315789,0.6085819681148539
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2021,17,6,,3.0776730451713785,2.4940520284447993,1.6888594651293483,-1.8289809689158911,-1.2616598427525139,-1.6017390636248008,0.36274509803921573,0.37818023081388463
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2022,10,2,,2.2941740707733125,1.6087060756186855,0.9688505662743259,0.45098637155885546,-0.38795702931307385,-0.7953976968367376,0.7696969696969697,0.6972677627661436
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2023,11,2,,1.6888655631790266,1.3617113970030468,1.0403950037535732,0.598335253305963,-0.2318457817702665,-0.43011335946846696,0.7272727272727273,0.8286902359641009
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,2024,6,2,,2.230312974237999,2.147934424648003,2.1465825925963937,-5.488241275792559,-2.147934424648003,-2.1465825925963937,0.6571428571428573,0.7601405441062846
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2004,2,1,,2.4833980069114774,2.4034443165519876,2.4034443165519876,0.1844937969280135,2.4034443165519876,2.4034443165519876,0.9999999999999999,1.0
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2005,7,1,,1.0738453697552592,1.0326276441144475,0.9303876008069452,0.7870985304103404,0.0918250464600214,0.8515060882942143,0.8571428571428573,0.9041258552076777
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2009,6,1,,1.921429902779431,1.7753272081419258,2.1192170589350305,0.37120621012149746,-1.0109815095828916,-1.8108703260490042,0.7714285714285715,0.8028398181330567
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2010,4,1,,5.3624199036490685,4.619200730990134,3.5496836672093757,-0.89492897680736,4.619200730990134,3.5496836672093757,0.7999999999999999,0.9199202307998154
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2011,7,1,,4.428055648793178,2.7203810972994136,1.0091512884511866,0.39535798325258065,2.7203810972994136,1.0091512884511866,0.8571428571428573,0.8750550745814005
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2012,3,1,,1.652253011936514,1.611811225039686,1.5227089356069783,0.5797218587225532,-0.596671934635034,-1.2181244526979542,1.0,0.9908629641563319
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2013,4,1,,0.6357597199504736,0.5833655765490455,0.46006902132717364,0.96265061077572,-0.5833655765490455,-0.46006902132717364,1.0,0.9998932188875692
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2014,3,1,,3.4350794469765042,2.1301266102283436,0.39781839387973505,0.6776606044334255,2.092518638391978,0.39781839387973505,1.0,0.9992669218870053
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2015,7,1,,2.2050261725388283,1.860877832940637,1.4155925192136287,0.3467015447584718,-0.6516974956840084,-1.2807312536462132,0.642857142857143,0.8743094830040384
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2016,15,1,,1.8643779350580125,1.378753097643922,0.8784918038110883,0.25831359741999205,-0.3545847040259844,-0.32822636262606153,0.7101979163508894,0.7722526953390261
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2017,18,1,,2.62619454994767,1.8847107596355634,1.3694446576677322,0.10242814436349235,-0.5759754174138606,-0.008867588339560584,0.5692151797687848,0.5363090945519721
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2018,25,1,,2.219340413949269,1.7986244202397514,1.8665697728928512,0.37333177523271466,-0.3164044656577239,-0.10751610394920608,0.6603810990597621,0.6850900893466721
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2019,24,1,,2.4100634054425747,1.8760623576258215,1.678881747702551,0.5933023067171882,0.08337141847299716,-0.4012132531653907,0.7532639928556847,0.7833283890005165
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2020,19,1,,1.7497898882860128,1.3630402007696198,1.0363425469660372,0.6731573528757057,-0.06283223076818427,-0.3066989458936833,0.8140350877192982,0.8310534991705304
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2021,17,1,,2.297888652517653,1.8958332426655844,1.3331772876068877,-0.5770411480101694,-1.4930329382217238,-1.2243369349633366,0.4852941176470589,0.6426086366544874
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2022,10,1,,2.28261389644469,1.4592953949705596,0.9500085454259177,0.4565053102253446,0.8970388520716497,0.44287874172391684,0.7454545454545454,0.766212726273499
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2023,11,1,,1.6871089295372574,1.260182070043636,0.9987335004793199,0.5991703829658743,1.0148271343525006,0.9987335004793199,0.8181818181818182,0.8934141784409478
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,2024,6,1,,0.9943623021179918,0.7842247715814633,0.6734775554952908,-0.2896880393028616,-0.7276485321010537,-0.6734775554952908,0.7714285714285715,0.8804826852239135
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,2004,2,1,,2.5397478516082934,2.4348933219573787,2.4348933219573787,0.147065236396834,2.4348933219573787,2.4348933219573787,0.9999999999999999,1.0
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,2005,7,3,,1.1286719692865037,1.079940156101062,0.9316100332716166,0.7648036160572695,0.16798319954229665,0.899507943317932,0.8571428571428573,0.893500455534363
