model_id,feature_set,target_scale,year,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F3_q_season_river_fixed,raw,2003,5,2.098532293736701,1.7156138480781962,-0.6475994080252298,-0.7119922461165533,-3.3522524517660464,1.8165013022816312,small_n;systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2004,41,2.146207630375007,1.810978178385926,-0.7686571207814856,-0.9860836444107242,-3.3207537403175693,2.054732549818496,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2005,41,1.6365361270076264,1.3010009775816604,-0.061062714813291626,-0.36299251448894676,-2.118657388541206,2.728709203901225,
ridge_alpha_1,F3_q_season_river_fixed,raw,2006,10,2.0999753677587054,1.7773701219479388,1.1776988278709055,1.4332545986859246,-1.3587889051947102,3.2466371896335007,systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2007,1,1.7095792870114979,1.7095792870114979,1.7095792870114979,1.7095792870114979,1.7095792870114979,1.7095792870114979,small_n;systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2009,27,2.6264519839767297,2.0123762299210237,-0.26261575624682154,-0.21680868211122029,-3.6312069004687215,5.371237121883358,
ridge_alpha_1,F3_q_season_river_fixed,raw,2010,29,2.7840576435962903,2.1833117749585194,1.3125759329609463,1.2586432397278902,-1.8164999137460747,5.295476017622585,systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2011,29,3.3136057217742168,2.226051364011405,1.8340338581874487,1.1134058414649886,-0.9108317191462559,7.482934309925703,systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2012,21,1.7885212084802464,1.2954133877747147,-0.06571859561683209,-0.34082539891296193,-2.058597776111669,2.0619966110500183,
ridge_alpha_1,F3_q_season_river_fixed,raw,2013,30,2.428862714385535,1.8253681369815171,0.0484642919405949,-0.3836635708822156,-2.988212387808894,3.7319516459751196,
ridge_alpha_1,F3_q_season_river_fixed,raw,2014,31,2.746151943125432,1.7753956436991556,0.5483435938471899,0.02924324737143369,-2.2840568699506942,5.308733301344229,systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2015,33,1.9928058435234355,1.6781301932724448,-0.38670528970061435,-0.6839325722525276,-3.0717808872528445,2.954087229271588,
ridge_alpha_1,F3_q_season_river_fixed,raw,2016,34,1.9581506053531041,1.5376481383300495,-0.6148433297115427,-0.6963258101898098,-3.7515742816042126,2.4571454972235847,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2017,32,2.237196040114794,1.5691053592487298,-0.24528097527546605,0.28459911040655017,-5.103009155868237,3.0407421578213665,
ridge_alpha_1,F3_q_season_river_fixed,raw,2018,32,2.1467331079312553,1.6774957152068541,-0.38653437739730223,0.150274152849732,-4.288073255558715,2.7792036628703176,
ridge_alpha_1,F3_q_season_river_fixed,raw,2019,24,2.2188175999221063,1.719993356637537,-0.06662742496602592,-0.6069546283494356,-2.6448884259976326,3.7706764465529603,
ridge_alpha_1,F3_q_season_river_fixed,raw,2020,29,1.7105608593372124,1.2964070820076599,-0.2483457615808686,-0.30379084841912984,-2.7965724779709356,2.766655658150606,
ridge_alpha_1,F3_q_season_river_fixed,raw,2021,34,2.0261009675957484,1.591637863790343,-0.8069328956058842,-0.5805427169585953,-4.280422444123679,1.918825221597993,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2022,10,2.205857896400514,1.4552511613495938,0.6930125204519391,0.47730003475892246,-1.485267551313428,4.170362785583718,systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2023,12,1.551226148542526,1.210877303555212,0.9072063310617754,0.8323907789151026,-0.8743893430831806,2.795568299463274,systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2024,6,0.8661511533173231,0.6508755193366184,-0.6508755193366184,-0.553825241414432,-1.540966454224873,-0.06588381394584397,small_n;systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2003,5,2.1247835439931055,1.5928076874401653,-0.2970823412984519,-0.13792381043999224,-2.896590550209992,2.545994451984392,small_n
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2004,41,2.1185080640348133,1.679577742609685,-0.5203013224561268,-0.892400947516276,-3.2086359166355436,2.3938093891730405,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2005,41,1.79134909754251,1.272133007779798,0.3443184674577008,-0.01672345801198638,-1.8984814195234971,3.2413761537032784,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2006,10,2.2688308367571706,2.0113556265241295,1.1326488175996476,1.7504068742910408,-1.6806935204623465,3.3646684611746034,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2007,1,1.693603935447694,1.693603935447694,1.693603935447694,1.693603935447694,1.693603935447694,1.693603935447694,small_n;systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2009,27,2.821489201859103,2.0938518538552624,0.04282806667779965,-0.4865178879164471,-3.7537155762067043,6.228367402833447,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2010,29,3.1134350372674,2.381730141918983,1.7698005130013483,2.1069212803405613,-1.3826651366882798,5.646862948865155,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2011,29,3.5134448880086557,2.4086523261463246,2.2267715579089926,1.2653404172747527,-0.4406437200369964,7.6744090871327835,systematic_positive_bias;high_rmse_relative_to_overall
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2012,21,1.7296322145877243,1.21569908778192,0.16875168066985152,-0.12397118715541211,-1.8768162424701744,3.2788445248077585,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2013,30,2.2142936021934947,1.5174978513326765,0.1118846360047067,0.002800962757825154,-3.3962760968936467,3.536724881504475,
