model_id,feature_set,target_scale,fold_id,fold_year,n_test,rmse,mae,bias,r2,rivers_in_fold,overall_rmse,flags
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2010,2010,29,3.1134350372674,2.381730141918983,1.7698005130013483,0.383948101563511,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2011,2011,29,3.5134448880086557,2.4086523261463246,2.2267715579089926,0.4295888115527059,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,rmse_gt_1_5x_overall
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2012,2012,21,1.7296322145877243,1.21569908778192,0.16875168066985152,0.7662600462404499,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2013,2013,30,2.2142936021934947,1.5174978513326765,0.1118846360047067,0.545165457181483,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2014,2014,31,2.5612289388126785,1.6184572898351666,0.749907609025007,0.6891376794021049,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2015,2015,33,1.8090778008417228,1.3102664393452264,-0.2234778930547624,0.6967684275805313,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2016,2016,34,1.6922800344073587,1.2310000678746027,-0.43332999239637454,0.4246225765944944,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2017,2017,32,2.051951802081665,1.3687304432467517,-0.05406494392572131,0.39258426829058346,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2018,2018,32,1.895865154671975,1.4644617678683565,-0.08556564824497764,0.4974366400723992,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2019,2019,24,2.0665783023967794,1.534185184998831,0.397222431652525,0.6905256608741193,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
