model_id,feature_set,target_scale,season_window,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F3_q_season_river_fixed,raw,early_season,146,2.9303557687764914,2.1352505401158113,0.46535797487259006,0.259859387718401,-3.8517888427394933,6.053985050676348,
ridge_alpha_1,F3_q_season_river_fixed,raw,late_season,85,1.6469621049064953,1.2553563163164159,-0.18175775097498384,-0.0814324979457215,-3.112731995277349,2.707950737185318,
ridge_alpha_1,F3_q_season_river_fixed,raw,spring_freshet_provisional,193,2.757274081554745,2.021398317532938,0.2548801948703095,-0.08589632346972564,-3.831609130512471,5.84396637220578,
ridge_alpha_1,F3_q_season_river_fixed,raw,summer,114,2.140691493550568,1.655005329218723,-0.4525040943115235,-0.597831689053292,-3.488630950266297,2.883102750194454,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,early_season,146,3.139211504537675,2.2753384582747054,0.8719095602462577,0.45134160113817234,-3.7598864734561936,7.1768675235351465,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,late_season,85,1.5253488292790436,1.163871491077546,0.19762475346522024,0.16236744742484444,-2.3069482239696093,3.0001611171770484,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,spring_freshet_provisional,193,2.894206982086649,2.0676984186475034,0.6372707141477588,0.18722701066667113,-3.5872100867443923,6.659116925883657,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,summer,114,2.0033441585540213,1.4947943764775995,-0.22847460924567506,-0.43418126868723395,-3.3003451259975565,3.2214704957057925,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,early_season,146,2.963589164546932,2.1723007806664785,0.47671289308006665,0.20188229779976252,-3.8307962955507806,5.970786524990066,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,late_season,85,1.5859773270637372,1.2265618292653597,0.015004701026822834,0.017534833121961135,-2.7851269360768813,2.8982848001327977,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,spring_freshet_provisional,193,2.786642384381787,2.0572464542527573,0.23182205935681682,-0.1258362615719566,-3.699909450562913,5.951006418230751,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,summer,114,2.1526471603157744,1.6806292035299926,-0.5414257506606799,-0.730963048077029,-3.516992696131181,2.7965851893586744,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,early_season,146,3.021894231387586,2.1898588896646163,0.5666416591131731,0.20303858931869367,-3.7781001495304314,6.0928713005950055,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,late_season,85,1.5381550055841913,1.160078748676693,-0.004506115337387459,-0.02656237111616999,-2.651860358157144,2.7091100639524273,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,spring_freshet_provisional,193,2.834678552804783,2.0795348991410147,0.2832759316881342,-0.21615248824254873,-3.7240307366537357,6.028862524660343,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,summer,114,2.160417886221045,1.7213194941133698,-0.6263618982119541,-0.8249250572112605,-3.4136810104945763,2.900654753868427,systematic_negative_bias
