model_id,feature_set,target_scale,validation_scheme,n_test_total,n_folds,ablation_id,sample_scope,common_subset_n,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,same_sample_n
linear_regression,F0_intercept_only,raw,leave_one_river_out,511,6,A0,same_sample_common_subset,511,2555,3.78759753393844,3.0266038624471396,2.720122641509434,-0.13663960405646103,-0.029136954809470116,-1.0022838427947596,-0.5598604184796534,-0.5304883857680155,511
linear_regression,F0_intercept_only,raw,leave_one_year_out,511,21,A0,same_sample_common_subset,511,10220,3.5793687017724864,2.794511441755056,2.4259502074688806,-0.015098080307266226,0.000626410450317989,-1.008770354906054,-0.3136845924664209,-0.34363965091959275,511
linear_regression,F0_intercept_only,raw,river_year_groupkfold,511,5,A0,same_sample_common_subset,511,2044,3.5749024102327773,2.791714281598026,2.434095354523227,-0.012566407387541556,-0.000212530534201885,-0.9445207823960882,-0.13306803414400947,-0.14958295094814833,511
linear_regression,F1_season_only,raw,leave_one_river_out,511,6,A1,same_sample_common_subset,511,2555,3.6527412391155294,2.922687829019195,2.583446450048024,-0.05714107969315063,-0.023185773778825285,-0.7344144042201552,0.1039784967361541,0.1065794014823524,511
linear_regression,F1_season_only,raw,leave_one_year_out,511,21,A1,same_sample_common_subset,511,10220,3.38463524321529,2.6648631269073677,2.303814174534624,0.09234902493813746,0.0047859651432762395,-0.6180775299202805,0.31717225515263575,0.30493784943057656,511
linear_regression,F1_season_only,raw,river_year_groupkfold,511,5,A1,same_sample_common_subset,511,2044,3.3830644857362677,2.6726707483268606,2.3311344747749514,0.09319128333959559,0.0005811006184712457,-0.666654449163735,0.3218674852408959,0.3065735489953827,511
linear_regression,F2_q_season,raw,leave_one_river_out,511,6,A2,same_sample_common_subset,511,2555,3.2938711594292194,2.6418222120919435,2.222838512626062,0.14037636214757054,0.3221063157153633,-0.4608011256241884,0.5604652677555615,0.5153315585463164,511
linear_regression,F2_q_season,raw,leave_one_year_out,511,21,A2,same_sample_common_subset,511,10220,2.688525884820433,2.127829670942398,1.847326193627695,0.4273047536764787,0.00663429421927596,-0.5992280654245601,0.6815920454162278,0.6537813667906968,511
linear_regression,F2_q_season,raw,river_year_groupkfold,511,5,A2,same_sample_common_subset,511,2044,2.68894493704251,2.126322434116422,1.8814959813698175,0.42712621128632455,0.008509022752207315,-0.5759942522185479,0.6793621402487846,0.653723322053567,511
linear_regression,F3_q_season_river_fixed,raw,leave_one_river_out,511,6,A3,same_sample_common_subset,511,2555,3.0847308487992544,2.486734844049565,2.1518372419584395,0.24607232220832975,0.1419392554352273,-0.6537709365320401,0.5958113871795793,0.5661472683848133,511
linear_regression,F3_q_season_river_fixed,raw,leave_one_year_out,511,21,A3,same_sample_common_subset,511,10220,2.2421998859374166,1.6697673260088448,1.2393953476877222,0.6016692938511903,0.002310684637862089,-0.23120315508356448,0.8029385398762836,0.7757544925996883,511
linear_regression,F3_q_season_river_fixed,raw,river_year_groupkfold,511,5,A3,same_sample_common_subset,511,2044,2.264948696761742,1.6862718031788937,1.267638017016269,0.5935455595939877,0.004676012071247245,-0.23566062617113026,0.798856151378744,0.770714730225965,511
linear_regression,F4_reduced_hydroclimate,raw,leave_one_river_out,511,6,A4,same_sample_common_subset,511,2555,6.65692907085763,3.18406647210485,2.2805231158099493,-2.5110983368116035,0.8780876768613852,-0.2707594057074596,0.4917693669329249,0.13861363264614635,511
linear_regression,F4_reduced_hydroclimate,raw,leave_one_year_out,511,21,A4,same_sample_common_subset,511,10220,2.7005086556330333,2.1250551711674546,1.8113958162285497,0.4221883670629346,0.025864287599353983,-0.5418192107302495,0.6722860991174017,0.6499491244852963,511
linear_regression,F4_reduced_hydroclimate,raw,river_year_groupkfold,511,5,A4,same_sample_common_subset,511,2044,2.6952429715074087,2.118154779989501,1.7905569181495031,0.42443950386338936,0.036312115504845775,-0.5025129356867364,0.6713092902110693,0.6516963369223802,511
linear_regression,F6_reduced_hydroclimate_river_fixed,raw,leave_one_river_out,511,6,A5,same_sample_common_subset,511,2555,6.508057666439691,2.990782812770616,2.1725884576093026,-2.355814288316841,0.7003335197137783,-0.47517963652293105,0.5386086625791227,0.15498690592959885,511
linear_regression,F6_reduced_hydroclimate_river_fixed,raw,leave_one_year_out,511,21,A5,same_sample_common_subset,511,10220,2.2408742273616578,1.6669285833699015,1.223757892342352,0.6021401657122847,0.009820822076151037,-0.21612550236961514,0.8027864109503043,0.776051710785843,511
linear_regression,F6_reduced_hydroclimate_river_fixed,raw,river_year_groupkfold,511,5,A5,same_sample_common_subset,511,2044,2.301253838212211,1.7045436202421256,1.2514510993899046,0.5804109116112186,-0.038136022222580945,-0.2456793306141254,0.7997134785953549,0.7645739004838135,511
ridge_alpha_0.1,F0_intercept_only,raw,leave_one_river_out,511,6,A0,same_sample_common_subset,511,2555,3.78759753393844,3.0266038624471396,2.720122641509434,-0.13663960405646103,-0.029136954809470116,-1.0022838427947596,-0.5598604184796534,-0.5304883857680155,511
ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,511,21,A0,same_sample_common_subset,511,10220,3.5793687017724864,2.794511441755056,2.4259502074688806,-0.015098080307266226,0.000626410450317989,-1.008770354906054,-0.3136845924664209,-0.34363965091959275,511
ridge_alpha_0.1,F0_intercept_only,raw,river_year_groupkfold,511,5,A0,same_sample_common_subset,511,2044,3.5749024102327773,2.791714281598026,2.434095354523227,-0.012566407387541556,-0.000212530534201885,-0.9445207823960882,-0.13306803414400947,-0.14958295094814833,511
ridge_alpha_0.1,F1_season_only,raw,leave_one_river_out,511,6,A1,same_sample_common_subset,511,2555,3.652725110461031,2.9226811539666913,2.5837658700193673,-0.057131744115034744,-0.023189318430898144,-0.7350383835713821,0.1037647600841643,0.106537040670707,511
ridge_alpha_0.1,F1_season_only,raw,leave_one_year_out,511,21,A1,same_sample_common_subset,511,10220,3.384633674009994,2.664859415891023,2.303742843350183,0.09234986655933719,0.004785279519184118,-0.617980634081797,0.3171402824172983,0.3049338275719599,511
ridge_alpha_0.1,F1_season_only,raw,river_year_groupkfold,511,5,A1,same_sample_common_subset,511,2044,3.3830618171919236,2.6726648560755857,2.3311253883023415,0.09319271391139106,0.0005808587647275339,-0.6666661062078063,0.3218720720539251,0.30656885661244737,511
ridge_alpha_0.1,F2_q_season,raw,leave_one_river_out,511,6,A2,same_sample_common_subset,511,2555,3.293105371965857,2.6412760689987396,2.2229476315543817,0.14077602106006426,0.3217159866663044,-0.45995337834040306,0.560488696419598,0.5153548311781203,511
ridge_alpha_0.1,F2_q_season,raw,leave_one_year_out,511,21,A2,same_sample_common_subset,511,10220,2.688516073318317,2.1278140255664058,1.8471934914903168,0.42730893365510547,0.0066350659905974685,-0.5992457765768782,0.6815710000903755,0.6537809016965059,511
ridge_alpha_0.1,F2_q_season,raw,river_year_groupkfold,511,5,A2,same_sample_common_subset,511,2044,2.6889220698126675,2.1262752294949854,1.8802740647838228,0.42713595487066836,0.00850508758061153,-0.5764708235736418,0.6793737421591904,0.6537248212936163,511
ridge_alpha_0.1,F3_q_season_river_fixed,raw,leave_one_river_out,511,6,A3,same_sample_common_subset,511,2555,3.084399399270474,2.4864411538976015,2.1539031167248943,0.2462343302153136,0.14203155412543386,-0.6529710874056605,0.5957143448437049,0.5660162881143039,511
ridge_alpha_0.1,F3_q_season_river_fixed,raw,leave_one_year_out,511,21,A3,same_sample_common_subset,511,10220,2.242172019632265,1.6695625124536313,1.239419001242685,0.6016791947847352,0.0023254523284239525,-0.2313456498413089,0.8029904336925946,0.775753456562503,511
ridge_alpha_0.1,F3_q_season_river_fixed,raw,river_year_groupkfold,511,5,A3,same_sample_common_subset,511,2044,2.2647978185193978,1.6860022398172974,1.2664149176888495,0.5935997092434522,0.0046240375718550756,-0.23425921230359492,0.7988977923439987,0.7707317508258695,511
ridge_alpha_0.1,F4_reduced_hydroclimate,raw,leave_one_river_out,511,6,A4,same_sample_common_subset,511,2555,6.657469622761301,3.183542881930077,2.275703546063243,-2.511668572103899,0.8777410877796327,-0.2701997424065308,0.49175430243685536,0.1384352698402308,511
ridge_alpha_0.1,F4_reduced_hydroclimate,raw,leave_one_year_out,511,21,A4,same_sample_common_subset,511,10220,2.7004558981173905,2.1250021017011256,1.811067292893946,0.4222109432605192,0.025847679104158746,-0.5420110215446208,0.6723385775260974,0.6499613203998003,511
ridge_alpha_0.1,F4_reduced_hydroclimate,raw,river_year_groupkfold,511,5,A4,same_sample_common_subset,511,2044,2.695123383202582,2.118047085778307,1.7916494761482977,0.42449057812851554,0.036247133996339276,-0.5022796858420158,0.6713827240083275,0.6517294149543672,511
ridge_alpha_0.1,F6_reduced_hydroclimate_river_fixed,raw,leave_one_river_out,511,6,A5,same_sample_common_subset,511,2555,6.510698334843389,2.9908888538064944,2.1713515257749094,-2.358538108856268,0.7006860047092862,-0.47225784977078966,0.538375500154883,0.15458841384049274,511
ridge_alpha_0.1,F6_reduced_hydroclimate_river_fixed,raw,leave_one_year_out,511,21,A5,same_sample_common_subset,511,10220,2.240848918658994,1.666716059962206,1.226847793519532,0.6021491526150415,0.009838270809107364,-0.21781988447802725,0.8028922221719507,0.7760506409825654,511
ridge_alpha_0.1,F6_reduced_hydroclimate_river_fixed,raw,river_year_groupkfold,511,5,A5,same_sample_common_subset,511,2044,2.300737189816404,1.7040745112669553,1.2525736704831294,0.5805992921292302,-0.03802887390859268,-0.2489322853824003,0.7997700491507442,0.7646279205398041,511
ridge_alpha_1,F0_intercept_only,raw,leave_one_river_out,511,6,A0,same_sample_common_subset,511,2555,3.78759753393844,3.0266038624471396,2.720122641509434,-0.13663960405646103,-0.029136954809470116,-1.0022838427947596,-0.5598604184796534,-0.5304883857680155,511
ridge_alpha_1,F0_intercept_only,raw,leave_one_year_out,511,21,A0,same_sample_common_subset,511,10220,3.5793687017724864,2.794511441755056,2.4259502074688806,-0.015098080307266226,0.000626410450317989,-1.008770354906054,-0.3136845924664209,-0.34363965091959275,511
ridge_alpha_1,F0_intercept_only,raw,river_year_groupkfold,511,5,A0,same_sample_common_subset,511,2044,3.5749024102327773,2.791714281598026,2.434095354523227,-0.012566407387541556,-0.000212530534201885,-0.9445207823960882,-0.13306803414400947,-0.14958295094814833,511
ridge_alpha_1,F1_season_only,raw,leave_one_river_out,511,6,A1,same_sample_common_subset,511,2555,3.652581332405074,2.9226212212761924,2.586633965593032,-0.057048524408589874,-0.023221099654069967,-0.7406404557869966,0.10344089486900955,0.10615587085833171,511
ridge_alpha_1,F1_season_only,raw,leave_one_year_out,511,21,A1,same_sample_common_subset,511,10220,3.3846203801323638,2.664826072049212,2.3039144673623575,0.09235699652805496,0.004779118464367233,-0.6209558085085138,0.3171204961957112,0.30489763427338645,511
ridge_alpha_1,F1_season_only,raw,river_year_groupkfold,511,5,A1,same_sample_common_subset,511,2044,3.3830389664732325,2.6726119439950966,2.330335052200013,0.09320496383725152,0.0005786888852629895,-0.6709631190104712,0.32186537170940205,0.30652662050756774,511
ridge_alpha_1,F2_q_season,raw,leave_one_river_out,511,6,A2,same_sample_common_subset,511,2555,3.2863289352270364,2.6364084598863426,2.222039082597247,0.14430854470346866,0.31824234331093126,-0.4524104036739969,0.5603834248216916,0.5155592078949497,511
ridge_alpha_1,F2_q_season,raw,leave_one_year_out,511,21,A2,same_sample_common_subset,511,10220,2.688444524285804,2.12767348803152,1.85338307350787,0.4273394151142983,0.006641964237354403,-0.5994059409935071,0.6812770850267632,0.6537747541673979,511
ridge_alpha_1,F2_q_season,raw,river_year_groupkfold,511,5,A2,same_sample_common_subset,511,2044,2.6887409771723956,2.1258526966019953,1.8769204255521723,0.42721311439138554,0.008469962183020804,-0.5813095593988988,0.6790618396375846,0.6537354089391414,511
ridge_alpha_1,F3_q_season_river_fixed,raw,leave_one_river_out,511,6,A3,same_sample_common_subset,511,2555,3.081531459740672,2.4838009660138383,2.1635399209038866,0.24763541292770463,0.14277157075574862,-0.6460264263488993,0.5941252878359219,0.564864776978358,511
ridge_alpha_1,F3_q_season_river_fixed,raw,leave_one_year_out,511,21,A3,same_sample_common_subset,511,10220,2.2420822729715915,1.668080954460471,1.2447509521087028,0.6017110810507276,0.00245422841515632,-0.20853407154873693,0.8034462808467927,0.7757242173400792,511
ridge_alpha_1,F3_q_season_river_fixed,raw,river_year_groupkfold,511,5,A3,same_sample_common_subset,511,2044,2.263707151672241,1.6836548779981138,1.25533692635606,0.5939910382990297,0.004172302435214303,-0.24286307388930695,0.7998755006232305,0.7708517379394745,511
ridge_alpha_1,F4_reduced_hydroclimate,raw,leave_one_river_out,511,6,A4,same_sample_common_subset,511,2555,6.662144480461329,3.178889324305599,2.272278187275723,-2.5166020725550524,0.8746659930340813,-0.2651587480076394,0.4913053804539848,0.13685529646625091,511
ridge_alpha_1,F4_reduced_hydroclimate,raw,leave_one_year_out,511,21,A4,same_sample_common_subset,511,10220,2.7000042482369917,2.1245843936247777,1.8094540404874158,0.42240419695222187,0.025698792836038847,-0.5437039377424178,0.6724841410299092,0.6500677890720934,511
ridge_alpha_1,F4_reduced_hydroclimate,raw,river_year_groupkfold,511,5,A4,same_sample_common_subset,511,2044,2.694089678215316,2.117113702896037,1.7895313169821998,0.4249319626499738,0.035665190712357915,-0.5114578341967446,0.6713366311472194,0.6520196840783024,511
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,leave_one_river_out,511,6,A5,same_sample_common_subset,511,2555,6.53359690571917,2.9917278526303965,2.160450621440715,-2.3822040691890765,0.7036821642430785,-0.44686304024476975,0.5367408449410868,0.15111035582973933,511
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,leave_one_year_out,511,21,A5,same_sample_common_subset,511,10220,2.2407770032345224,1.6649203993655768,1.2283399864353841,0.6021746886100945,0.00998950652544637,-0.21956390319593044,0.8030056780632441,0.776022124863354,511
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,river_year_groupkfold,511,5,A5,same_sample_common_subset,511,2044,2.2965288610998953,1.700370655363723,1.2594016660114136,0.5821321589619306,-0.03710645092237681,-0.23678214823194388,0.8000912601818615,0.7650657898120123,511
ridge_alpha_10,F0_intercept_only,raw,leave_one_river_out,511,6,A0,same_sample_common_subset,511,2555,3.78759753393844,3.0266038624471396,2.720122641509434,-0.13663960405646103,-0.029136954809470116,-1.0022838427947596,-0.5598604184796534,-0.5304883857680155,511
ridge_alpha_10,F0_intercept_only,raw,leave_one_year_out,511,21,A0,same_sample_common_subset,511,10220,3.5793687017724864,2.794511441755056,2.4259502074688806,-0.015098080307266226,0.000626410450317989,-1.008770354906054,-0.3136845924664209,-0.34363965091959275,511
ridge_alpha_10,F0_intercept_only,raw,river_year_groupkfold,511,5,A0,same_sample_common_subset,511,2044,3.5749024102327773,2.791714281598026,2.434095354523227,-0.012566407387541556,-0.000212530534201885,-0.9445207823960882,-0.13306803414400947,-0.14958295094814833,511
ridge_alpha_10,F1_season_only,raw,leave_one_river_out,511,6,A1,same_sample_common_subset,511,2555,3.651274671872404,2.92221452094154,2.5977429230558187,-0.05629237065920978,-0.023527346621276948,-0.7605646487937561,0.09959426469623289,0.10235192865421616,511
ridge_alpha_10,F1_season_only,raw,leave_one_year_out,511,21,A1,same_sample_common_subset,511,10220,3.3845662629758237,2.66449802436979,2.3259180303337135,0.09238602115137995,0.004718441504469353,-0.6525586461077966,0.31661064124035865,0.30453602921632456,511
ridge_alpha_10,F1_season_only,raw,river_year_groupkfold,511,5,A1,same_sample_common_subset,511,2044,3.382920607707437,2.6720942686765348,2.321680646901802,0.09326841286335108,0.0005576431553242344,-0.7129228798487155,0.32106524264834696,0.3061037913604275,511
ridge_alpha_10,F2_q_season,raw,leave_one_river_out,511,6,A2,same_sample_common_subset,511,2555,3.2287289123534064,2.5942016105255448,2.2354898844600783,0.1740413622597774,0.2870148479753598,-0.41907874252958344,0.5579938359959119,0.5171390172053014,511
ridge_alpha_10,F2_q_season,raw,leave_one_year_out,511,21,A2,same_sample_common_subset,511,10220,2.6892013766734717,2.1270974488929237,1.8563524029230862,0.42701693828032905,0.006706273115124972,-0.5862998752255528,0.6786309500813524,0.6535356865168848,511
ridge_alpha_10,F2_q_season,raw,river_year_groupkfold,511,5,A2,same_sample_common_subset,511,2044,2.6890613110055606,2.124459013922203,1.8620035372907067,0.42707662378094713,0.008145077287887426,-0.5691100973544501,0.6762292646900723,0.6535818112827992,511
ridge_alpha_10,F3_q_season_river_fixed,raw,leave_one_river_out,511,6,A3,same_sample_common_subset,511,2555,3.0611508001132033,2.464684514459149,2.2010715669810166,0.2575544935729118,0.14411098533122868,-0.4975833187750105,0.5851003505995978,0.5554548826874782,511
ridge_alpha_10,F3_q_season_river_fixed,raw,leave_one_year_out,511,21,A3,same_sample_common_subset,511,10220,2.2518257485166036,1.6681628619553872,1.2880792600686122,0.5982418500969058,0.0034415713897555343,-0.3078684298894325,0.8067684744008857,0.7741115741736043,511
ridge_alpha_10,F3_q_season_river_fixed,raw,river_year_groupkfold,511,5,A3,same_sample_common_subset,511,2044,2.269754982461758,1.6801435445378254,1.31305421395321,0.5918187135094453,0.0009266699011381713,-0.2775182365515292,0.8046097096298064,0.7699184227332363,511
ridge_alpha_10,F4_reduced_hydroclimate,raw,leave_one_river_out,511,6,A4,same_sample_common_subset,511,2555,6.692726526523716,3.1400628350347866,2.2531301437721045,-2.5489615402969785,0.8473704890250124,-0.2445162556968441,0.48889659001679714,0.12315933553057017,511
ridge_alpha_10,F4_reduced_hydroclimate,raw,leave_one_year_out,511,21,A4,same_sample_common_subset,511,10220,2.6975072916111755,2.122512416517349,1.8208779110883517,0.42347202103615245,0.024268517646159525,-0.5323496984570508,0.6726872194306547,0.650839658209775,511
ridge_alpha_10,F4_reduced_hydroclimate,raw,river_year_groupkfold,511,5,A4,same_sample_common_subset,511,2044,2.6874434271605447,2.1108357326445786,1.8087955073855921,0.42776581939543745,0.030125353134436872,-0.498427064022553,0.6725758770656756,0.6542473699127545,511
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,leave_one_river_out,511,6,A5,same_sample_common_subset,511,2555,6.695004271246571,2.9970957186112703,2.164510903595774,-2.551377597174281,0.7210077830503279,-0.3734826142196095,0.5227099981451965,0.12442748545039158,511
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,leave_one_year_out,511,21,A5,same_sample_common_subset,511,10220,2.2503758531432725,1.6606252141161055,1.2435769191125425,0.5987590479769367,0.011051072119171165,-0.239617966798912,0.8052093665106619,0.7744886069555754,511
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,river_year_groupkfold,511,5,A5,same_sample_common_subset,511,2044,2.283197341524222,1.6817817722396442,1.2997809184008737,0.5869695846139156,-0.030865692773703348,-0.23751721820289706,0.8050353378545756,0.766188673533412,511
