model_id,feature_set,target_scale,river,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F3_q_season_river_fixed,raw,Kolyma,85,2.1751836581057953,1.783515712499254,0.032638859899214806,-0.01683038870388165,-3.2167991793199016,3.3324323607984736,
ridge_alpha_1,F3_q_season_river_fixed,raw,Lena,87,3.054859030672904,2.299421595057577,0.012313639741026346,-0.27461557704578876,-3.7770028837878957,5.675056346515196,
ridge_alpha_1,F3_q_season_river_fixed,raw,Mackenzie,103,1.0388241096988753,0.8293744381776587,-0.02422499331167297,-0.10778375523935413,-1.5958662625141926,1.7316774456215036,
ridge_alpha_1,F3_q_season_river_fixed,raw,Ob,87,2.6063713747116437,2.154676239754266,0.01768779801683394,-0.21680868211122029,-4.091709247395951,4.485346861321179,
ridge_alpha_1,F3_q_season_river_fixed,raw,Yenisey,53,1.8838043742203603,1.3187514359766046,-0.019073968593432737,0.06637072946748024,-4.240990226289429,2.3204745079948337,
ridge_alpha_1,F3_q_season_river_fixed,raw,Yukon,96,2.1995557796895655,1.6454648676997383,-0.006502320934041424,-0.6702430951942675,-2.4473763454108335,5.321620163267566,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Kolyma,85,1.9076682051049687,1.3125138850546343,0.21445545547187392,-0.006766884302187748,-2.151065200981291,3.2874044616678613,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Lena,87,2.9950265132538494,2.2953965554351776,0.23706706770374375,0.18722701066667113,-3.959817965514377,5.548793498512616,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Mackenzie,103,0.8852339475014976,0.7130820110786689,0.050655458040223256,0.08687106841718784,-1.26828893466739,1.5318841711644327,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Ob,87,2.4785329469577766,2.009911634755309,0.26403174611304886,0.056973019927386126,-3.452164602529345,4.362691880502743,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Yenisey,53,1.8300910610036552,1.3995582412301801,0.3533474244192354,0.47357321860827994,-3.068319060223545,2.862399126403787,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Yukon,96,2.555146113436398,1.7172853344203223,0.6305045382804687,-0.1666241893025271,-1.7681044959168175,6.953546671497985,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Kolyma,85,2.1515672305635154,1.7331775684620907,0.034020691264970926,-0.33734643002116904,-2.943187250368467,3.3892782780828496,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Lena,87,3.0787072497403947,2.2775086116842647,0.017531447526084976,-0.24404912791602484,-3.783790950773107,5.63323867199583,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Mackenzie,103,1.0518628011023181,0.8456060547969058,-0.027907351714188965,-0.16081531153910733,-1.8004183406650485,1.7459326824099748,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Ob,87,2.5658503894790345,2.1219159546941424,0.019504403776796325,-0.30532245306601347,-3.9664985076702086,4.547342591188216,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Yenisey,53,1.87007774947808,1.3709793968556527,0.05200340128405813,0.3546001985041132,-3.957384667260917,2.2475677454367338,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Yukon,96,2.2257464850106157,1.676510018793539,-0.009280864873580597,-0.6970282072265626,-2.5971263276916856,5.507463035824527,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Kolyma,85,2.105287818518607,1.6591372151007464,0.16753387915200854,0.030050316655636067,-2.700982076019716,3.373650452952558,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Lena,87,3.121601585844938,2.2874721845498684,0.13365255229243275,-0.21090241324750547,-3.746528866094373,5.864516918541986,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Mackenzie,103,1.057663400542737,0.8549368074191359,-0.20734643266002337,-0.24444175378305388,-1.9629206922296187,1.5925290860969092,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Ob,87,2.5333124069078177,2.0742520573943746,0.18140244107157494,-0.012661771418118306,-3.847087937448143,4.722934564680222,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Yenisey,53,1.8953500493654383,1.3837283337540718,-0.16218736380014873,0.050675828655292854,-4.183621252870909,2.300582921294813,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Yukon,96,2.280684280923479,1.736319991952923,-0.06302555679481915,-0.8058019566235513,-2.6727889783380103,5.728219902973653,
