analysis_cohort,river,n_years,slope_central,slope_lower90,slope_upper90,trend_sign_robust_to_doc_uncertainty,central_p_value,lower90_p_value,upper90_p_value,uncertainty_scope,discharge_uncertainty_included
core_2003_2024,Kolyma,19,-0.000530137198591105,-0.0006477173616650094,-0.000370255586806818,True,0.9453088061670409,0.9129792719530608,0.9712842500517771,DOC_concentration_empirical_residual_interval_only,False
core_2003_2024,Lena,22,-0.02872175559542411,-0.01958859368360324,-0.041388362778700005,True,0.35862572776221757,0.38272023817109657,0.3422481555788822,DOC_concentration_empirical_residual_interval_only,False
core_2003_2024,Mackenzie,22,-0.01052002129724784,-0.008250532330386062,-0.0128261044874699,True,0.34573723921203925,0.3556010229304991,0.33918624860534563,DOC_concentration_empirical_residual_interval_only,False
core_2003_2024,Ob,22,0.02649453417049404,0.019711759200980127,0.035743261870207696,True,0.28958837443273755,0.30079257752168076,0.2811710621424587,DOC_concentration_empirical_residual_interval_only,False
core_2003_2024,Yenisey,14,0.0030672012917820164,0.0023256779380901216,0.004049813861965455,True,0.9394281441457623,0.9453679467522893,0.9339783371234824,DOC_concentration_empirical_residual_interval_only,False
core_2003_2024,Yukon,22,0.02179237137934537,0.01487884720741755,0.02913648293821191,True,0.015080436976444714,0.031347441603453985,0.0100684348327518,DOC_concentration_empirical_residual_interval_only,False
full_2000_2025_sensitivity,Kolyma,26,0.005348243817144763,0.003723263692099144,0.0076175913162372265,True,0.3519451079753182,0.3998181005950523,0.317710491790177,DOC_concentration_empirical_residual_interval_only,False
full_2000_2025_sensitivity,Lena,26,0.0024514383533435834,0.0021973619356615813,0.00273667357747644,True,0.9232696060820045,0.9046300248034057,0.938303029791326,DOC_concentration_empirical_residual_interval_only,False
full_2000_2025_sensitivity,Mackenzie,26,-0.012586618855381374,-0.009764295604506628,-0.015454450469127889,True,0.15532739040683083,0.16663625986030928,0.14810551462249927,DOC_concentration_empirical_residual_interval_only,False
full_2000_2025_sensitivity,Ob,26,0.006551505518098972,0.004265060390017502,0.009669213017611943,True,0.7572649093761881,0.7924157340065692,0.729968829016298,DOC_concentration_empirical_residual_interval_only,False
full_2000_2025_sensitivity,Yenisey,26,-0.03752290081876217,-0.031401457358208186,-0.04563459043994597,True,0.10763796943021217,0.10050824751243806,0.11468892657971716,DOC_concentration_empirical_residual_interval_only,False
full_2000_2025_sensitivity,Yukon,26,0.02695446870617547,0.0174497939692675,0.03763064438021308,True,0.0037234999710080634,0.006410513649415723,0.0034822936498580207,DOC_concentration_empirical_residual_interval_only,False
high_confidence_only_sensitivity,Kolyma,19,0.006707959402859349,0.0047891570557806705,0.00938374625835659,True,0.243122841735305,0.27153969881660517,0.22432198068049475,DOC_concentration_empirical_residual_interval_only,False
high_confidence_only_sensitivity,Lena,24,-0.004578017752327211,-0.0038237468853029263,-0.005682821862119662,True,0.8628727927971406,0.8388970237399932,0.8786528353624076,DOC_concentration_empirical_residual_interval_only,False
high_confidence_only_sensitivity,Mackenzie,21,-0.016620768151094457,-0.013155267824838467,-0.020142147706042838,True,0.04464279114858562,0.046359804891497484,0.043528007067678565,DOC_concentration_empirical_residual_interval_only,False
high_confidence_only_sensitivity,Ob,20,-0.0216624818825617,-0.017679860539982988,-0.027093029187187763,True,0.4610757962852884,0.43046815416304274,0.48605125276632233,DOC_concentration_empirical_residual_interval_only,False
high_confidence_only_sensitivity,Yenisey,7,0.027574771919006688,0.021897635107859345,0.03509769883089817,True,0.6876602389271544,0.7049144707151351,0.6718867765290559,DOC_concentration_empirical_residual_interval_only,False
high_confidence_only_sensitivity,Yukon,24,0.01914293489154127,0.013576859061251237,0.024956557490361048,True,0.011432627675707394,0.019799934492991958,0.009212265227289315,DOC_concentration_empirical_residual_interval_only,False
core_excluding_yenisey_sensitivity,Kolyma,19,-0.000530137198591105,-0.0006477173616650094,-0.000370255586806818,True,0.9453088061670409,0.9129792719530608,0.9712842500517771,DOC_concentration_empirical_residual_interval_only,False
core_excluding_yenisey_sensitivity,Lena,22,-0.02872175559542411,-0.01958859368360324,-0.041388362778700005,True,0.35862572776221757,0.38272023817109657,0.3422481555788822,DOC_concentration_empirical_residual_interval_only,False
core_excluding_yenisey_sensitivity,Mackenzie,22,-0.01052002129724784,-0.008250532330386062,-0.0128261044874699,True,0.34573723921203925,0.3556010229304991,0.33918624860534563,DOC_concentration_empirical_residual_interval_only,False
core_excluding_yenisey_sensitivity,Ob,22,0.02649453417049404,0.019711759200980127,0.035743261870207696,True,0.28958837443273755,0.30079257752168076,0.2811710621424587,DOC_concentration_empirical_residual_interval_only,False
core_excluding_yenisey_sensitivity,Yukon,22,0.02179237137934537,0.01487884720741755,0.02913648293821191,True,0.015080436976444714,0.031347441603453985,0.0100684348327518,DOC_concentration_empirical_residual_interval_only,False
