analysis_cohort,river,n_years,year_min,year_max,annual_flux_mean_TgC,annual_flux_median_TgC,slope_ols_TgC_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_ols_standard_error,slope_theilsen_TgC_per_year,intercept_theilsen,theilsen_ci_lower,theilsen_ci_upper,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,trend_strength,significant_at_0_05,confidence_caveat
high_confidence_only_sensitivity,Lena,24,2000,2023,6.327352603686546,6.553555045054269,-0.004578017752327211,15.536035312492732,0.8628727927971406,0.001386178133842441,0.02619723141750248,-0.015792607327408066,38.3203846841356,-0.05982620506579769,0.03857191274742528,-0.07971014492753624,0.6061655660716706,-0.07235281545175609,-1.66411475539039,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Mackenzie,21,2000,2024,1.4505803118462786,1.471146842490147,-0.016620768151094457,34.876527993997335,0.04464279114858562,0.19568513949441027,0.0077305147693719324,-0.019505192022186403,40.67658280708482,-0.034426998926179155,-0.00691852187833946,-0.3047619047619048,0.05636408981183753,-1.1458013055436946,-27.499231333048673,decreasing,moderate,True,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Ob,20,2001,2023,4.179547341972659,3.9341426981770358,-0.0216624818825617,47.75038027646313,0.4610757962852884,0.030553264381056496,0.02876107583501406,-0.018869185508751104,41.880074756275505,-0.09017621493457272,0.02161864956532818,-0.08421052631578947,0.6307989462589767,-0.518297320502116,-11.40254105104655,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Yenisey,7,2009,2022,3.4786953638359925,3.5358441560238427,0.027574771919006688,-52.1081055717502,0.6876602389271544,0.03506204906440976,0.06469310171737788,0.033921335314444634,-64.84956783789654,-0.1453537094010157,0.2144813411481098,0.23809523809523814,0.5619047619047619,0.7926756739227578,10.304783760995853,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Yukon,24,2002,2025,1.4031314038835188,1.3742418723100975,0.01914293489154127,-37.14116800023483,0.011432627675707394,0.2571598748784256,0.006936545768480867,0.02076628557064541,-40.43867412418443,0.008634674365730288,0.031710526785078075,0.37681159420289856,0.009534410075029406,1.364300937072493,31.37892155266734,increasing,moderate,True,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Kolyma,19,2003,2024,0.7871391591842106,0.8083983597846045,-0.000530137198591105,1.8546680653997725,0.9453088061670409,0.0002850300211226485,0.0076147668978758165,0.0022025438502259603,-3.6275249545704797,-0.009753248332242928,0.016045680341475948,0.029239766081871343,0.8902671597910886,-0.0673498697664258,-1.414347265094942,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Lena,22,2003,2024,6.302448693698276,6.553555045054269,-0.02872175559542411,64.13370358508473,0.35862572776221757,0.042277510503021955,0.030567584701832115,-0.04176188755071131,90.64111562841148,-0.09865315022539682,0.014573892954369208,-0.2207792207792208,0.16029274039086885,-0.455723751057943,-9.570198772216802,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Mackenzie,22,2003,2024,1.5095703075988482,1.4994197709838049,-0.01052002129724784,22.691633189607376,0.34573723921203925,0.04454964184692499,0.010893904819814552,-0.022131015932843882,46.06022035176496,-0.03783056792706165,0.0069336881911694626,-0.20346320346320346,0.19701520944492798,-0.6968884618551613,-14.634657698958387,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Ob,22,2003,2024,4.131361117278849,3.949965746338033,0.02649453417049404,-49.2153834350109,0.28958837443273755,0.0558673875755042,0.024354465804269292,0.02161864956532818,-39.57918515345026,-0.01940127442882291,0.07136249858740194,0.18614718614718614,0.23937855648715442,0.6413027914622205,13.467358620706632,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Yukon,22,2003,2024,1.4043548993664907,1.3742418723100975,0.02179237137934537,-42.474584872945414,0.015080436976444714,0.2611282837235277,0.008196851318335498,0.025538094465967026,-50.046711334914505,0.01199257078949651,0.03833865248333178,0.37662337662337664,0.014016594956789027,1.5517709511446134,32.58718997403688,increasing,moderate,True,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
