candidate_key,model_id,feature_set,target_scale,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_fold,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,stress_test,overall_rmse,small_fold_n,high_rmse,high_bias,unstable_fold
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,loyo_2019,2019,2019,,519,26,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.212085567605041,1.7208381766410883,1.5061167134978795,0.6473608131147488,-0.18522348004735414,-0.3748838092184612,0.7848713487946566,0.8161371339424524,False,2.2578799097854763,False,False,False,False
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,loyo_2020,2020,2020,,514,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.7431217837961406,1.3845514113649824,1.088811482492305,0.6502045637454981,-0.2502703742391425,-0.30903378764586753,0.7633064516129033,0.8114111855774323,False,2.2578799097854763,False,False,False,False
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,loyo_2021,2021,2021,,508,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.9684447705563108,1.578599006082755,1.4916868544430768,0.2507991457603016,-0.7658036090494668,-0.568966303005543,0.6792318634423897,0.6722342573778224,False,2.2578799097854763,False,False,False,False
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,loyo_2022,2022,2022,,535,10,Mackenzie;Yukon,2.2636466318035304,1.5475971558380135,0.9711536439682533,0.46550006680806066,0.7698371226809619,0.4938326078075854,0.7212121212121211,0.7644306596291507,False,2.2578799097854763,False,False,False,False
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,loyo_2023,2023,2023,,533,12,Mackenzie;Yukon,1.6053818195086464,1.2658182859812996,1.1150468449975277,0.6092459124443819,0.9313697557990211,1.065546520480884,0.8251748251748254,0.8802784932214697,False,2.2578799097854763,False,False,False,False
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,loyo_2024,2024,2024,,539,6,Mackenzie;Yukon,1.01275672427035,0.7662471821553466,0.6281441652862005,-0.3378445095903011,-0.7463609230425007,-0.6281441652862005,0.7714285714285715,0.8792067436803775,False,2.2578799097854763,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2003,2003,2003,,540,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.2571225876910277,1.8066504205385727,1.667231862050167,0.4192199753915822,-0.8920273625381526,-0.8637798781359507,0.7,0.7144835895361044,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2004,2004,2004,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.3128287987452714,1.9832411037198179,1.7704503594682675,0.5350707513128858,-0.7620105132422452,-1.1177978826291841,0.777061834713304,0.7654247795920517,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2005,2005,2005,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.7561208887144693,1.453623901337942,1.2207164512597033,0.6649861005407116,-0.0816727890254461,-0.19349399851515514,0.8255654158501055,0.8176670684354751,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2006,2006,2006,,534,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.181302633140342,1.7774263005247448,1.6548479240246863,0.5985329606440849,1.04242769729046,0.4484478547287827,0.9090909090909091,0.8348975187840518,False,2.2578609929695856,False,False,True,True
