candidate_key,feature_set,model_id,target_scale,validation_scheme,f3_rmse,candidate_rmse,rmse_reduction_vs_f3,f3_mae,candidate_mae,mae_reduction_vs_f3,f3_lena_rmse,candidate_lena_rmse,delta_lena_rmse_vs_f3,f3_high_doc_bias,candidate_high_doc_bias,delta_high_doc_bias_abs_vs_f3,f3_extreme_high_bias,candidate_extreme_high_bias,delta_extreme_high_bias_abs_vs_f3,f3_unstable_fold_count,candidate_unstable_fold_count,delta_unstable_fold_count_vs_f3,f3_groupkfold_rmse,candidate_groupkfold_rmse,groupkfold_rmse_reduction_vs_f3
B0_F3_finalized:linear_regression:raw:leave_one_year_out,B0_F3_finalized,linear_regression,raw,leave_one_year_out,2.2578457483025893,2.2578799097854763,-3.416148288692966e-05,1.7161097019291147,1.7176481820356215,-0.001538480106506812,3.1287941689984615,3.1237827976848096,0.0050113713136519245,0.9713958256373021,0.9593058000727586,0.012090025564543527,3.6185279298481965,3.5877804710305403,0.03074745881765617,4,4,0,2.2495269891461085,2.249100425243292,0.00042656390281647916
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,B0_F3_finalized,ridge_alpha_0.1,raw,leave_one_year_out,2.2578457483025893,2.2578609929695856,-1.524466699631688e-05,1.7161097019291147,1.717488985271793,-0.001379283342678228,3.1287941689984615,3.1242845860417305,0.004509582956730984,0.9713958256373021,0.9605253728086648,0.0108704528286373,3.6185279298481965,3.5909055557924083,0.027622374055788157,4,4,0,2.2495269891461085,2.249121929082042,0.00040506006406637596
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,B0_F3_finalized,ridge_alpha_100,raw,leave_one_year_out,2.2578457483025893,2.4857249876917513,-0.227879239389162,1.7161097019291147,1.8772273406322493,-0.16111763870313456,3.1287941689984615,3.5226534904072477,-0.3938593214087862,0.9713958256373021,1.610155810487632,-0.6387599848503298,3.6185279298481965,4.914995393140338,-1.2964674632921418,4,4,0,2.2495269891461085,2.5277881293696858,-0.2782611402235773
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,B0_F3_finalized,ridge_alpha_10,raw,leave_one_year_out,2.2578457483025893,2.2681901201557233,-0.010344371853133971,1.7161097019291147,1.7156729546633707,0.000436747265744053,3.1287941689984615,3.1729890214402343,-0.04419485244177279,0.9713958256373021,1.0707060489422062,-0.09931022330490413,3.6185279298481965,3.8547774482338646,-0.2362495183856681,4,4,0,2.2495269891461085,2.2669385053296023,-0.01741151618349379
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,B0_F3_finalized,ridge_alpha_1,raw,leave_one_year_out,2.2578457483025893,2.2578457483025893,0.0,1.7161097019291147,1.7161097019291147,0.0,3.1287941689984615,3.1287941689984615,0.0,0.9713958256373021,0.9713958256373021,0.0,3.6185279298481965,3.6185279298481965,0.0,4,4,0,2.2495269891461085,2.2495269891461085,0.0
R1_nonlinear_Q:linear_regression:raw:leave_one_year_out,R1_nonlinear_Q,linear_regression,raw,leave_one_year_out,2.2578457483025893,2.1353755279057873,0.122470220396802,1.7161097019291147,1.5731690395105566,0.14294066241855807,3.1287941689984615,3.1411583911528753,-0.012364222154413795,0.9713958256373021,0.9047519854186752,0.0666438402186269,3.6185279298481965,3.0265480061745498,0.5919799236736467,4,3,1,2.2495269891461085,2.1169972708179237,0.13252971832818483
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_one_year_out,R1_nonlinear_Q,ridge_alpha_0.1,raw,leave_one_year_out,2.2578457483025893,2.1353618483174235,0.12248389998516584,1.7161097019291147,1.5736087872225328,0.14250091470658188,3.1287941689984615,3.136930734543764,-0.00813656554530251,0.9713958256373021,0.9068193708925247,0.06457645474477736,3.6185279298481965,3.0430645629354385,0.575463366912758,4,3,1,2.2495269891461085,2.117028044362215,0.13249894478389335
R1_nonlinear_Q:ridge_alpha_100:raw:leave_one_year_out,R1_nonlinear_Q,ridge_alpha_100,raw,leave_one_year_out,2.2578457483025893,2.4083472666185695,-0.15050151831598013,1.7161097019291147,1.8173927844391329,-0.10128308251001816,3.1287941689984615,3.3744732843324257,-0.24567911533396414,0.9713958256373021,1.4917788678022337,-0.5203830421649316,3.6185279298481965,4.565698384263136,-0.9471704544149397,4,5,-1,2.2495269891461085,2.4450501587400963,-0.19552316959398786
R1_nonlinear_Q:ridge_alpha_10:raw:leave_one_year_out,R1_nonlinear_Q,ridge_alpha_10,raw,leave_one_year_out,2.2578457483025893,2.1898031414021237,0.0680426069004656,1.7161097019291147,1.6379036211692617,0.07820608075985302,3.1287941689984615,3.1151956562028573,0.0135985127956042,0.9713958256373021,1.0224974494913732,-0.05110162385407113,3.6185279298481965,3.5575934986139512,0.060934431234245245,4,3,1,2.2495269891461085,2.1850928927666096,0.06443409637949893
R1_nonlinear_Q:ridge_alpha_1:raw:leave_one_year_out,R1_nonlinear_Q,ridge_alpha_1,raw,leave_one_year_out,2.2578457483025893,2.140521325093195,0.11732442320939418,1.7161097019291147,1.5808048169825133,0.13530488494660142,3.1287941689984615,3.1146413864693003,0.01415278252916119,0.9713958256373021,0.9227376045841063,0.04865822105319584,3.6185279298481965,3.1568755882110557,0.46165234163714075,4,3,1,2.2495269891461085,2.124530210486125,0.12499677865998349
R2_river_specific_Q_slope:linear_regression:raw:leave_one_year_out,R2_river_specific_Q_slope,linear_regression,raw,leave_one_year_out,2.2578457483025893,2.1408617894987434,0.11698395880384593,1.7161097019291147,1.5624942399862043,0.15361546194291043,3.1287941689984615,3.1366949143791594,-0.007900745380697849,0.9713958256373021,0.6119337787586047,0.3594620468786974,3.6185279298481965,3.3228836244947786,0.2956443053534179,4,3,1,2.2495269891461085,2.1207412030413684,0.12878578610474012
R2_river_specific_Q_slope:ridge_alpha_0.1:raw:leave_one_year_out,R2_river_specific_Q_slope,ridge_alpha_0.1,raw,leave_one_year_out,2.2578457483025893,2.1407601832589878,0.11708556504360157,1.7161097019291147,1.5660743915299344,0.15003531039918028,3.1287941689984615,3.1365098366625435,-0.007715667664081938,0.9713958256373021,0.6765831214569432,0.2948127041803589,3.6185279298481965,3.346789401694107,0.2717385281540894,4,3,1,2.2495269891461085,2.121526062116836,0.12800092702927257
R2_river_specific_Q_slope:ridge_alpha_100:raw:leave_one_year_out,R2_river_specific_Q_slope,ridge_alpha_100,raw,leave_one_year_out,2.2578457483025893,2.3553515769590008,-0.09750582865641144,1.7161097019291147,1.7582484178973201,-0.0421387159682054,3.1287941689984615,3.3577848770786094,-0.22899070808014788,0.9713958256373021,1.2796386060952276,-0.3082427804579255,3.6185279298481965,4.33504732585417,-0.7165193960059733,4,5,-1,2.2495269891461085,2.3596363481702096,-0.11010935902410113
R2_river_specific_Q_slope:ridge_alpha_10:raw:leave_one_year_out,R2_river_specific_Q_slope,ridge_alpha_10,raw,leave_one_year_out,2.2578457483025893,2.268041476738859,-0.01019572843626948,1.7161097019291147,1.7175775379551603,-0.0014678360260456103,3.1287941689984615,3.1832652406323816,-0.054471071633920065,0.9713958256373021,1.026216075648357,-0.05482025001105484,3.6185279298481965,3.7029470627192755,-0.08441913287107905,4,4,0,2.2495269891461085,2.2625352107684975,-0.013008221622389016
R2_river_specific_Q_slope:ridge_alpha_1:raw:leave_one_year_out,R2_river_specific_Q_slope,ridge_alpha_1,raw,leave_one_year_out,2.2578457483025893,2.1807570077854375,0.07708874051715187,1.7161097019291147,1.614579990074908,0.10152971185420667,3.1287941689984615,3.146042811748754,-0.017248642750292476,0.9713958256373021,0.878247988449986,0.09314783718731612,3.6185279298481965,3.460695547738992,0.1578323821092047,4,4,0,2.2495269891461085,2.1715005491990516,0.07802643994705694
R3_river_specific_seasonality:linear_regression:raw:leave_one_year_out,R3_river_specific_seasonality,linear_regression,raw,leave_one_year_out,2.2578457483025893,1.9160615993633843,0.34178414893920506,1.7161097019291147,1.3932216845272847,0.32288801740183004,3.1287941689984615,2.8365445242419014,0.2922496447565601,0.9713958256373021,0.4324849001228123,0.5389109255144897,3.6185279298481965,2.614221990859818,1.0043059389883786,4,4,0,2.2495269891461085,1.9056352903712692,0.34389169877483927
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_one_year_out,R3_river_specific_seasonality,ridge_alpha_0.1,raw,leave_one_year_out,2.2578457483025893,1.9160179193687317,0.34182782893385766,1.7161097019291147,1.3928572313783958,0.32325247055071893,3.1287941689984615,2.8372081591322074,0.29158600986625416,0.9713958256373021,0.4350382249495584,0.5363576006877437,3.6185279298481965,2.619975477448245,0.9985524523999514,4,4,0,2.2495269891461085,1.905679653683621,0.3438473354624876
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_one_year_out,R3_river_specific_seasonality,ridge_alpha_100,raw,leave_one_year_out,2.2578457483025893,2.31457564068399,-0.05672989238140058,1.7161097019291147,1.7078762477844407,0.008233454144674024,3.1287941689984615,3.3824388166474844,-0.25364464764902284,0.9713958256373021,1.3655802298799709,-0.39418440424266876,3.6185279298481965,4.297330572915625,-0.6788026430674283,4,4,0,2.2495269891461085,2.3632595080764296,-0.1137325189303211
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_one_year_out,R3_river_specific_seasonality,ridge_alpha_10,raw,leave_one_year_out,2.2578457483025893,1.9522709710325894,0.30557477726999993,1.7161097019291147,1.406766382149316,0.3093433197797988,3.1287941689984615,2.9154247248279095,0.21336944417055204,0.9713958256373021,0.638910285240287,0.33248554039701506,3.6185279298481965,3.049842834766576,0.5686850950816207,4,4,0,2.2495269891461085,1.9583704759038574,0.2911565132422511
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_one_year_out,R3_river_specific_seasonality,ridge_alpha_1,raw,leave_one_year_out,2.2578457483025893,1.9162833983801264,0.3415623499224629,1.7161097019291147,1.390384054730611,0.3257256471985037,3.1287941689984615,2.8434500199182486,0.2853441490802129,0.9713958256373021,0.45743187001355473,0.5139639556237474,3.6185279298481965,2.670027773184642,0.9485001566635547,4,4,0,2.2495269891461085,1.906945600693153,0.3425813884529554
R4_river_specific_Q_and_season:linear_regression:raw:leave_one_year_out,R4_river_specific_Q_and_season,linear_regression,raw,leave_one_year_out,2.2578457483025893,1.8630248251079742,0.39482092319461515,1.7161097019291147,1.3417143255691193,0.3743953763599954,3.1287941689984615,2.846007711534077,0.28278645746438436,0.9713958256373021,0.37449358222884216,0.5969022434084599,3.6185279298481965,2.3834469995378056,1.235080930310391,4,4,0,2.2495269891461085,1.8552828531390835,0.394244136007025
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_one_year_out,R4_river_specific_Q_and_season,ridge_alpha_0.1,raw,leave_one_year_out,2.2578457483025893,1.864089111640533,0.3937566366620564,1.7161097019291147,1.3438488019536436,0.37226089997547107,3.1287941689984615,2.8400228077122125,0.28877136128624903,0.9713958256373021,0.4080937986074504,0.5633020270298517,3.6185279298481965,2.4501013502566056,1.168426579591591,4,4,0,2.2495269891461085,1.8566558065293042,0.3928711826168043
R4_river_specific_Q_and_season:ridge_alpha_100:raw:leave_one_year_out,R4_river_specific_Q_and_season,ridge_alpha_100,raw,leave_one_year_out,2.2578457483025893,2.1330617927143267,0.12478395558826261,1.7161097019291147,1.5417902514545734,0.17431945047454134,3.1287941689984615,3.15239955697941,-0.023605387980948578,0.9713958256373021,1.0244278866966614,-0.053032061059359314,3.6185279298481965,3.7998186028940757,-0.1812906730458792,4,5,-1,2.2495269891461085,2.158678412488477,0.09084857665763169
R4_river_specific_Q_and_season:ridge_alpha_10:raw:leave_one_year_out,R4_river_specific_Q_and_season,ridge_alpha_10,raw,leave_one_year_out,2.2578457483025893,1.9399495481061126,0.3178962001964767,1.7161097019291147,1.40753797550979,0.3085717264193246,3.1287941689984615,2.8726707564849794,0.25612341251348214,0.9713958256373021,0.5643225827700536,0.40707324286724844,3.6185279298481965,2.8610099109431033,0.7575180189050932,4,4,0,2.2495269891461085,1.9365928857610955,0.31293410338501304
R4_river_specific_Q_and_season:ridge_alpha_1:raw:leave_one_year_out,R4_river_specific_Q_and_season,ridge_alpha_1,raw,leave_one_year_out,2.2578457483025893,1.8987079920354286,0.3591377562671607,1.7161097019291147,1.3767090937699518,0.33940060815916295,3.1287941689984615,2.833686897132797,0.29510727186566443,0.9713958256373021,0.46451850887210533,0.5068773167651968,3.6185279298481965,2.6028664211998307,1.0156615086483658,4,4,0,2.2495269891461085,1.8951214092959776,0.3544055798501309
R5_season_window:linear_regression:raw:leave_one_year_out,R5_season_window,linear_regression,raw,leave_one_year_out,2.2578457483025893,2.1877279360421804,0.07011781226040892,1.7161097019291147,1.6349041042981722,0.08120559763094248,3.1287941689984615,2.9519649210446532,0.17682924795380828,0.9713958256373021,0.6548488513933615,0.3165469742439406,3.6185279298481965,3.538869781999909,0.07965814784828762,4,3,1,2.2495269891461085,2.183356215868512,0.06617077327759668
R5_season_window:ridge_alpha_0.1:raw:leave_one_year_out,R5_season_window,ridge_alpha_0.1,raw,leave_one_year_out,2.2578457483025893,2.1876457936753466,0.07019995462724271,1.7161097019291147,1.6346430642524306,0.08146663767668416,3.1287941689984615,2.952406874447681,0.17638729455078073,0.9713958256373021,0.656526086273157,0.3148697393641451,3.6185279298481965,3.5413167110827373,0.07721121876545922,4,3,1,2.2495269891461085,2.183317027956497,0.06620996118961164
R5_season_window:ridge_alpha_100:raw:leave_one_year_out,R5_season_window,ridge_alpha_100,raw,leave_one_year_out,2.2578457483025893,2.4101986388799945,-0.1523528905774052,1.7161097019291147,1.7939737531720379,-0.07786405124292317,3.1287941689984615,3.3919945906201825,-0.26320042162172097,0.9713958256373021,1.4471928555264082,-0.4757970298891061,3.6185279298481965,4.768315500945475,-1.1497875710972782,4,5,-1,2.2495269891461085,2.4594956542404467,-0.2099686650943382
R5_season_window:ridge_alpha_10:raw:leave_one_year_out,R5_season_window,ridge_alpha_10,raw,leave_one_year_out,2.2578457483025893,2.1926734433729305,0.06517230492965886,1.7161097019291147,1.6251299950840699,0.09097970684504486,3.1287941689984615,2.999791006716075,0.12900316228238662,0.9713958256373021,0.8009675001265881,0.17042832551071396,3.6185279298481965,3.7600699863580584,-0.14154205650986196,4,3,1,2.2495269891461085,2.1961111566653444,0.05341583248076409
R5_season_window:ridge_alpha_1:raw:leave_one_year_out,R5_season_window,ridge_alpha_1,raw,leave_one_year_out,2.2578457483025893,2.187075568820992,0.07077017948159714,1.7161097019291147,1.6324986561530337,0.08361104577608103,3.1287941689984615,2.9564394324156726,0.17235473658278888,0.9713958256373021,0.6713598246171446,0.3000360010201575,3.6185279298481965,3.56312085222419,0.05540707762400654,4,3,1,2.2495269891461085,2.1831941036916356,0.06633288545447291
R6_high_flow_indicator:linear_regression:raw:leave_one_year_out,R6_high_flow_indicator,linear_regression,raw,leave_one_year_out,2.2578457483025893,2.1266191149741793,0.13122663332841,1.7161097019291147,1.5662042032097885,0.14990549871932624,3.1287941689984615,2.935410236794014,0.19338393220444772,0.9713958256373021,0.7854414515201263,0.18595437411717575,3.6185279298481965,3.084942429897288,0.5335854999509086,4,4,0,2.2495269891461085,2.11385181564096,0.13567517350514846
R6_high_flow_indicator:ridge_alpha_0.1:raw:leave_one_year_out,R6_high_flow_indicator,ridge_alpha_0.1,raw,leave_one_year_out,2.2578457483025893,2.126714265020866,0.13113148328172342,1.7161097019291147,1.5687280622957218,0.1473816396333929,3.1287941689984615,2.938339300690993,0.1904548683074685,0.9713958256373021,0.7836715366965126,0.18772428894078952,3.6185279298481965,3.1153497590047587,0.5031781708434377,4,4,0,2.2495269891461085,2.1140700212377195,0.13545696790838901
