candidate_key,model_id,feature_set,target_scale,validation_scheme,river,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,Kolyma,85,3.7980847907779367,2.9911938806028067,2.40283694008499,-0.5709324930134361,2.7645297177413024,2.40283694008499,0.7953397314937816,0.7212829725067738
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,Lena,87,3.643327919391886,2.7545124271460972,2.0717217475707788,0.2951683440119329,1.8219235369696791,1.5088324359182117,0.645368881122853,0.691728890122903
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,Mackenzie,103,2.5792901429469817,2.3587834585515126,2.334165640376763,-4.4889560888945415,-2.3300228417205213,-2.334165640376763,0.56647837307539,0.5768225313977293
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,Ob,87,3.329728189937823,2.683955253337663,2.2849944839409115,-0.5491567173518677,2.019352292410749,1.6402840827106555,0.30428957858372785,0.3218195324361052
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,Yenisey,87,3.7197518587083294,3.0893012058169926,2.622630150912803,-0.631727564112861,-3.00074749593629,-2.622630150912803,0.3492959094198455,0.6693403698720365
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,Yukon,96,2.3383500812896685,1.9086058255989247,1.6050148722931965,0.49801591646838117,-0.6559321429732466,-1.4378453493442023,0.8498640018275992,0.8150041343874108
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,Kolyma,85,2.275493717516808,1.9087853082184136,1.7623115590517169,0.43612934662559977,0.015056569360131533,0.09318542623200976,0.7813725133314576,0.7266514366618656
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,Lena,87,3.1237827976848096,2.3675381436721272,1.8576236274620488,0.481855926094116,0.0019171038108513482,-0.173274016981936,0.617204744712526,0.6967673633370834
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,Mackenzie,103,1.0749550232286653,0.8313216436898941,0.6199077883378301,0.046611417623128815,-0.00022363137574150777,-0.08383822706666688,0.5489932519421791,0.5645139782893155
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,Ob,87,2.493472143621045,2.0447750911905307,1.7212231447142372,0.13126597762955372,0.001419143124792432,-0.13519037237900733,0.35466876861554836,0.39649160791485427
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,Yenisey,87,2.0466637531627616,1.7068094935194384,1.5823102357816938,0.506016199115481,-0.0034666544463345396,0.14415940376917113,0.4590621238900905,0.7427343560497855
