candidate_key,model_id,feature_set,target_scale,validation_scheme,year,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2003,5,2.322884941690019,2.182082493758922,2.3930780472223763,0.3848843533595254,-0.192232105120231,1.11065429834863,0.7,0.6630035317118765
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2004,42,2.660240991736625,2.206981641476732,1.9931641119098047,0.38490547957397436,-0.658782986931558,-0.9284490733941455,0.5825329515056342,0.6502863294693494
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2005,42,2.770001984534931,2.2574548876551725,1.7688664864794652,0.16648356253253016,0.03407788623574132,-0.588316219165141,0.49355599578903214,0.5306691200966152
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2006,11,3.5364308920505696,2.8987562637592945,2.5251410112866486,-0.055233085062131426,1.289699971383911,0.8063150900589235,0.45454545454545453,0.5233728789055365
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2007,1,0.3373842282790056,0.3373842282790056,0.3373842282790056,,-0.3373842282790056,-0.3373842282790056,,
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2009,28,3.2302733010409215,2.865795791824629,2.3342258166927135,0.27871314292963056,-0.11943208813503073,-1.6028480010193076,0.48699700702357884,0.5297356250098353
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2010,30,3.620284564389664,2.70723556023774,1.6613986862889858,0.16600576547945844,1.1977123821147257,0.3787254766286985,0.45141910161577287,0.507253995128997
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2011,30,4.080643348707385,2.9588392090754225,2.2564389399174263,0.22852714376312555,1.7748937436627383,0.7046029790348678,0.6850720102914197,0.6354153393505604
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2012,23,3.0715074170226164,2.58463255632449,2.0866029168719056,0.24716412290782008,-0.05367863365320633,-1.0449615813720303,0.44625649990962096,0.5494500147250678
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2013,33,3.6341798420173745,2.913156962925694,2.1416419001086093,-0.2367499675111262,0.030574907874852342,0.1679457355610685,0.2487462526186751,0.3971391820362662
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2014,35,3.985361525494907,3.0318614796859267,2.152049306631625,0.19485727065197145,0.5858812149682618,-0.5857373568805198,0.5511249797987687,0.5105453167974576
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2015,36,3.466872990053642,2.8868164241734053,2.480853943552848,-0.1615567363289181,-0.18766377777484683,-1.273643588523771,0.4510688210996859,0.43740064931310313
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2016,37,3.068902692017257,2.404574011202038,1.8587157467042186,-0.851184949644346,-0.46717973279827335,-0.8300964886359892,0.35946398731587353,0.44787831635449976
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2017,35,3.1231621997617047,2.560648041749782,2.1939341381912714,-0.43097290636743213,-0.08271352616173583,-0.8683921948020865,0.3881414324826119,0.41570942536401057
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2018,35,3.278381519960416,2.8158591202053356,2.7339962544284013,-0.5450991535497527,-0.10865761867757844,-0.8591800867036827,0.2205717835310824,0.3131873901183641
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2019,26,3.545069767997896,2.8680515149278945,2.401396589202346,0.09431682437457001,-0.11011629905124794,-1.141518916334161,0.388157047332377,0.4421761282848932
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2020,31,2.9243744453470706,2.4253053989907976,1.7214009107546682,0.015479783084336951,0.04196094791366548,0.1147567748550351,0.5100806451612904,0.49814281978392794
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2021,37,3.0946733661965133,2.6367718903511133,2.1510598075145557,-0.8517460637374406,-0.695503820798304,-1.1078069665018977,0.23968705547652916,0.28662891715576294
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2022,10,2.4105010740420894,1.8866544517597181,1.5529180682130745,0.39389893097249973,-0.747019430607341,-1.4003451252508412,0.7575757575757575,0.6974639410701967
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,2023,12,1.7714584810939624,1.442605850266714,1.3374964475816133,0.5242171266613147,-0.5739384861253386,-0.9623122556202102,0.6643356643356644,0.818914667934357
