window_id,metric,river,analysis_cohort,n_years,year_min,year_max,value_mean,value_median,slope_ols_per_year,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,trend_direction,trend_strength,detectable_trend,confidence_caveat
common_overlap_w1_w2,window_peak_q_doy,Mackenzie,core_2003_2024,18,2003,2023,146.55555555555554,144.5,0.1592505854800937,0.6870634551419449,0.01040957259119382,0.0,-0.019869292589280097,0.909225560938593,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_length_days,Mackenzie,core_2003_2024,18,2003,2023,33.0,35.0,-0.6588602654176425,0.14012242407698405,0.13090349906132068,-0.6363636363636364,-0.2450546086011212,0.1598685556691365,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_flux_TgC,Ob,core_2003_2024,22,2003,2024,1.261507799840641,1.353477314143058,0.006819801318819481,0.5372533947302494,0.019324347789693115,0.0025904883875677337,0.047619047619047616,0.7805448221723992,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_fraction_of_annual,Ob,core_2003_2024,22,2003,2024,0.3148786853315069,0.33969924901875087,-0.0008244973662809298,0.7828983172057904,0.0038846892743065985,-0.00281933740438986,-0.2207792207792208,0.16029274039086885,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_start_doy,Ob,core_2003_2024,22,2003,2024,143.54545454545453,142.5,-0.047430830039525695,0.8387542445236541,0.0021204803056184313,-0.05263157894736842,-0.044158826411057964,0.777065767894104,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_end_doy,Ob,core_2003_2024,22,2003,2024,184.5909090909091,186.5,0.08187464709203841,0.8295478026732402,0.002373113487648355,-0.05263157894736842,-0.02625977743269826,0.8653837905831963,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_peak_q_doy,Ob,core_2003_2024,22,2003,2024,149.13636363636363,146.5,-0.1293054771315641,0.6209671061975448,0.012456327083039889,-0.07142857142857142,-0.07097455075989333,0.6501765935071737,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_length_days,Ob,core_2003_2024,22,2003,2024,42.04545454545455,46.0,0.1293054771315641,0.6756330396122316,0.008935355029611009,0.0,0.0859190991143291,0.5971535977607408,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_flux_TgC,Yenisey,core_2003_2024,14,2007,2024,2.3068568338072564,2.3874144521514546,-0.017382896703990913,0.3883915838767935,0.06257384563299236,-0.01828531556641293,-0.23076923076923078,0.2791797743335442,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_fraction_of_annual,Yenisey,core_2003_2024,14,2007,2024,0.5904971417100314,0.595367385318958,-0.004482418870391427,0.07866739302588245,0.23538016573399725,-0.004374861784285278,-0.2087912087912088,0.3308114209974329,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_start_doy,Yenisey,core_2003_2024,14,2007,2024,141.78571428571428,142.5,-0.06114327062228654,0.8111491315577097,0.004947671886601114,0.0,0.0463054777121291,0.8234246789710753,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
