river,year,window_id,start_date,end_date,peak_q_date,peak_Q_m3s,window_length_days,definition_status,fallback_used,snow_data_used,q_data_used,n_days_with_flux,n_days_expected,coverage_rate,window_confidence_tier,caveat_reason
Kolyma,2008,fixed_may_july_reference,2008-05-01,2008-07-31,2008-05-30,30900.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2008,discharge_centered_freshet,2008-03-01,2008-08-17,2008-05-30,30900.0,170,ok,False,False,True,170,170,1.0,low,implausible_window_length
Kolyma,2008,q75_peak_contiguous,2008-05-26,2008-07-05,2008-05-30,30900.0,41,ok,False,False,True,41,41,1.0,high,ok
Kolyma,2008,snow_depletion_assisted,2008-05-03,2008-08-17,2008-05-30,30900.0,107,partial_snow_rule_fallback,True,True,True,107,107,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2008,common_overlap_w1_w2,2008-05-26,2008-07-05,2008-05-30,30900.0,41,ok,False,False,True,41,41,1.0,high,ok
Kolyma,2009,fixed_may_july_reference,2009-05-01,2009-07-31,2009-06-01,13900.0,92,reference_only,False,False,False,89,92,0.967391304347826,high,reference_only
Kolyma,2009,discharge_centered_freshet,2009-05-02,2009-07-27,2009-06-01,13900.0,87,ok,False,False,True,85,87,0.9770114942528736,high,ok
Kolyma,2009,q75_peak_contiguous,2009-05-28,2009-06-29,2009-06-01,13900.0,33,ok,False,False,True,33,33,1.0,high,ok
Kolyma,2009,snow_depletion_assisted,2009-05-06,2009-07-27,2009-06-01,13900.0,83,partial_snow_rule_fallback,True,True,True,83,83,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2009,common_overlap_w1_w2,2009-05-28,2009-06-29,2009-06-01,13900.0,33,ok,False,False,True,33,33,1.0,high,ok
Kolyma,2010,fixed_may_july_reference,2010-05-01,2010-07-31,2010-05-30,17700.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2010,discharge_centered_freshet,2010-04-27,2010-07-25,2010-05-30,17700.0,90,ok,False,False,True,88,90,0.9777777777777777,high,ok
Kolyma,2010,q75_peak_contiguous,2010-05-25,2010-06-26,2010-05-30,17700.0,33,ok,False,False,True,33,33,1.0,high,ok
Kolyma,2010,snow_depletion_assisted,2010-05-06,2010-07-25,2010-05-30,17700.0,81,partial_snow_rule_fallback,True,True,True,81,81,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2010,common_overlap_w1_w2,2010-05-25,2010-06-26,2010-05-30,17700.0,33,ok,False,False,True,33,33,1.0,high,ok
Kolyma,2011,fixed_may_july_reference,2011-05-01,2011-07-31,2011-06-08,25500.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2011,discharge_centered_freshet,2011-03-07,2011-08-18,2011-06-08,25500.0,165,ok,False,False,True,165,165,1.0,low,implausible_window_length
Kolyma,2011,q75_peak_contiguous,2011-06-02,2011-07-17,2011-06-08,25500.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2011,snow_depletion_assisted,2011-04-16,2011-08-18,2011-06-08,25500.0,125,partial_snow_rule_fallback,True,True,True,125,125,1.0,low,fallback_used;implausible_window_length;partial_snow_rule_fallback
Kolyma,2011,common_overlap_w1_w2,2011-06-02,2011-07-17,2011-06-08,25500.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2012,fixed_may_july_reference,2012-05-01,2012-07-31,2012-05-29,24000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2012,discharge_centered_freshet,2012-03-05,2012-07-26,2012-05-29,24000.0,144,ok,False,False,True,144,144,1.0,low,implausible_window_length
Kolyma,2012,q75_peak_contiguous,2012-05-23,2012-06-20,2012-05-29,24000.0,29,ok,False,False,True,29,29,1.0,high,ok
Kolyma,2012,snow_depletion_assisted,2012-05-08,2012-07-26,2012-05-29,24000.0,80,partial_snow_rule_fallback,True,True,True,80,80,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2012,common_overlap_w1_w2,2012-05-23,2012-06-20,2012-05-29,24000.0,29,ok,False,False,True,29,29,1.0,high,ok
Kolyma,2013,fixed_may_july_reference,2013-05-01,2013-07-31,2013-05-29,24000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2013,discharge_centered_freshet,2013-04-16,2013-07-18,2013-05-29,24000.0,94,ok,False,False,True,94,94,1.0,high,ok
Kolyma,2013,q75_peak_contiguous,2013-05-25,2013-07-04,2013-05-29,24000.0,41,ok,False,False,True,41,41,1.0,high,ok
Kolyma,2013,snow_depletion_assisted,2013-05-05,2013-07-18,2013-05-29,24000.0,75,partial_snow_rule_fallback,True,True,True,75,75,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2013,common_overlap_w1_w2,2013-05-25,2013-07-04,2013-05-29,24000.0,41,ok,False,False,True,41,41,1.0,high,ok
Kolyma,2014,fixed_may_july_reference,2014-05-01,2014-07-31,2014-06-12,25500.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2014,discharge_centered_freshet,2014-03-01,2014-08-31,2014-06-12,25500.0,184,ok,False,False,True,184,184,1.0,low,implausible_window_length
Kolyma,2014,q75_peak_contiguous,2014-06-02,2014-07-13,2014-06-12,25500.0,42,ok,False,False,True,42,42,1.0,high,ok
Kolyma,2014,snow_depletion_assisted,2014-05-23,2014-08-31,2014-06-12,25500.0,101,partial_snow_rule_fallback,True,True,True,101,101,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2014,common_overlap_w1_w2,2014-06-02,2014-07-13,2014-06-12,25500.0,42,ok,False,False,True,42,42,1.0,high,ok
Kolyma,2015,fixed_may_july_reference,2015-05-01,2015-07-31,2015-06-10,19500.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2015,discharge_centered_freshet,2015-03-01,2015-07-10,2015-06-10,19500.0,132,ok,False,False,True,132,132,1.0,low,implausible_window_length
Kolyma,2015,q75_peak_contiguous,2015-06-04,2015-07-10,2015-06-10,19500.0,37,ok,False,False,True,37,37,1.0,high,ok
Kolyma,2015,snow_depletion_assisted,2015-05-28,2015-07-10,2015-06-10,19500.0,44,partial_snow_rule_fallback,True,True,True,44,44,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2015,common_overlap_w1_w2,2015-06-04,2015-07-10,2015-06-10,19500.0,37,ok,False,False,True,37,37,1.0,high,ok
Kolyma,2016,fixed_may_july_reference,2016-05-01,2016-07-31,2016-05-30,16500.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2016,discharge_centered_freshet,2016-03-30,2016-06-29,2016-05-30,16500.0,92,ok,False,False,True,92,92,1.0,high,ok
Kolyma,2016,q75_peak_contiguous,2016-05-22,2016-06-15,2016-05-30,16500.0,25,ok,False,False,True,25,25,1.0,high,ok
Kolyma,2016,snow_depletion_assisted,2016-05-15,2016-06-29,2016-05-30,16500.0,46,partial_snow_rule_fallback,True,True,True,46,46,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2016,common_overlap_w1_w2,2016-05-22,2016-06-15,2016-05-30,16500.0,25,ok,False,False,True,25,25,1.0,high,ok
Kolyma,2017,fixed_may_july_reference,2017-05-01,2017-07-31,2017-05-26,24300.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2017,discharge_centered_freshet,2017-03-01,2017-08-17,2017-05-26,24300.0,170,ok,False,False,True,170,170,1.0,low,implausible_window_length
Kolyma,2017,q75_peak_contiguous,2017-05-26,2017-07-10,2017-05-26,24300.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2017,snow_depletion_assisted,2017-04-22,2017-05-28,2017-05-26,24300.0,37,ok,False,True,True,37,37,1.0,high,ok
Kolyma,2017,common_overlap_w1_w2,2017-05-26,2017-07-10,2017-05-26,24300.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2018,fixed_may_july_reference,2018-05-01,2018-07-31,2018-06-12,31640.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2018,discharge_centered_freshet,2018-03-01,2018-07-26,2018-06-12,31640.0,148,ok,False,False,True,148,148,1.0,low,implausible_window_length
