table_name,year,row_count
training_matrix_optical_matched_3d_landsat.csv,2021,2
training_matrix_optical_matched_3d_sentinel2.csv,2018,2
training_matrix_optical_matched_3d_sentinel2.csv,2019,8
training_matrix_optical_matched_3d_sentinel2.csv,2020,11
training_matrix_optical_matched_3d_sentinel2.csv,2021,16
training_matrix_optical_matched_3d_sentinel2.csv,2022,3
training_matrix_optical_matched_3d_sentinel2.csv,2023,4
training_matrix_optical_matched_3d_sentinel2.csv,2024,2
training_matrix_optical_matched_7d.csv,2003,2
training_matrix_optical_matched_7d.csv,2004,27
training_matrix_optical_matched_7d.csv,2005,32
training_matrix_optical_matched_7d.csv,2006,5
training_matrix_optical_matched_7d.csv,2007,1
training_matrix_optical_matched_7d.csv,2009,23
training_matrix_optical_matched_7d.csv,2010,20
training_matrix_optical_matched_7d.csv,2011,23
training_matrix_optical_matched_7d.csv,2012,14
training_matrix_optical_matched_7d.csv,2013,20
training_matrix_optical_matched_7d.csv,2014,22
training_matrix_optical_matched_7d.csv,2015,24
training_matrix_optical_matched_7d.csv,2016,31
training_matrix_optical_matched_7d.csv,2017,35
training_matrix_optical_matched_7d.csv,2018,35
training_matrix_optical_matched_7d.csv,2019,26
training_matrix_optical_matched_7d.csv,2020,26
training_matrix_optical_matched_7d.csv,2021,26
training_matrix_optical_matched_7d.csv,2022,10
training_matrix_optical_matched_7d.csv,2023,12
training_matrix_optical_matched_7d.csv,2024,6
prediction_grid_daily_hydrocore.csv,2000,2038
prediction_grid_daily_hydrocore.csv,2001,2036
prediction_grid_daily_hydrocore.csv,2002,2020
prediction_grid_daily_hydrocore.csv,2003,2026
prediction_grid_daily_hydrocore.csv,2004,2043
prediction_grid_daily_hydrocore.csv,2005,2038
prediction_grid_daily_hydrocore.csv,2006,2050
prediction_grid_daily_hydrocore.csv,2007,2027
prediction_grid_daily_hydrocore.csv,2008,2040
prediction_grid_daily_hydrocore.csv,2009,2034
prediction_grid_daily_hydrocore.csv,2010,2045
prediction_grid_daily_hydrocore.csv,2011,2023
prediction_grid_daily_hydrocore.csv,2012,2045
prediction_grid_daily_hydrocore.csv,2013,2041
prediction_grid_daily_hydrocore.csv,2014,2037
prediction_grid_daily_hydrocore.csv,2015,2033
prediction_grid_daily_hydrocore.csv,2016,2040
prediction_grid_daily_hydrocore.csv,2017,2030
prediction_grid_daily_hydrocore.csv,2018,2037
prediction_grid_daily_hydrocore.csv,2019,2025
prediction_grid_daily_hydrocore.csv,2020,2027
prediction_grid_daily_hydrocore.csv,2021,2026
prediction_grid_daily_hydrocore.csv,2022,2023
prediction_grid_daily_hydrocore.csv,2023,2022
prediction_grid_daily_hydrocore.csv,2024,2034
prediction_grid_daily_hydrocore.csv,2025,1754
prediction_grid_daily_with_basin_context.csv,2000,2038
prediction_grid_daily_with_basin_context.csv,2001,2036
prediction_grid_daily_with_basin_context.csv,2002,2020
prediction_grid_daily_with_basin_context.csv,2003,2026
prediction_grid_daily_with_basin_context.csv,2004,2043
prediction_grid_daily_with_basin_context.csv,2005,2038
prediction_grid_daily_with_basin_context.csv,2006,2050
prediction_grid_daily_with_basin_context.csv,2007,2027
prediction_grid_daily_with_basin_context.csv,2008,2040
prediction_grid_daily_with_basin_context.csv,2009,2034
prediction_grid_daily_with_basin_context.csv,2010,2045
prediction_grid_daily_with_basin_context.csv,2011,2023
prediction_grid_daily_with_basin_context.csv,2012,2045
prediction_grid_daily_with_basin_context.csv,2013,2041
prediction_grid_daily_with_basin_context.csv,2014,2037
prediction_grid_daily_with_basin_context.csv,2015,2033
prediction_grid_daily_with_basin_context.csv,2016,2040
prediction_grid_daily_with_basin_context.csv,2017,2030
prediction_grid_daily_with_basin_context.csv,2018,2037
prediction_grid_daily_with_basin_context.csv,2019,2025
prediction_grid_daily_with_basin_context.csv,2020,2027
prediction_grid_daily_with_basin_context.csv,2021,2026
prediction_grid_daily_with_basin_context.csv,2022,2023
prediction_grid_daily_with_basin_context.csv,2023,2022
prediction_grid_daily_with_basin_context.csv,2024,2034
prediction_grid_daily_with_basin_context.csv,2025,1754
daily_discharge_gold.csv,1936,1098
daily_discharge_gold.csv,1937,1095
daily_discharge_gold.csv,1938,1095
daily_discharge_gold.csv,1939,1095
daily_discharge_gold.csv,1940,1098
daily_discharge_gold.csv,1941,1095
daily_discharge_gold.csv,1942,1095
daily_discharge_gold.csv,1943,1095
daily_discharge_gold.csv,1944,1098
daily_discharge_gold.csv,1945,1095
daily_discharge_gold.csv,1946,1095
daily_discharge_gold.csv,1947,1095
daily_discharge_gold.csv,1948,1098
daily_discharge_gold.csv,1949,1095
daily_discharge_gold.csv,1950,1095
daily_discharge_gold.csv,1951,1095
daily_discharge_gold.csv,1952,1098
daily_discharge_gold.csv,1953,1095
daily_discharge_gold.csv,1954,1095
daily_discharge_gold.csv,1955,1095
daily_discharge_gold.csv,1956,1098
daily_discharge_gold.csv,1957,1095
daily_discharge_gold.csv,1958,1095
daily_discharge_gold.csv,1959,1095
daily_discharge_gold.csv,1960,1098
daily_discharge_gold.csv,1961,1095
daily_discharge_gold.csv,1962,1095
daily_discharge_gold.csv,1963,1095
daily_discharge_gold.csv,1964,1098
daily_discharge_gold.csv,1965,1095
daily_discharge_gold.csv,1966,1095
daily_discharge_gold.csv,1967,1095
daily_discharge_gold.csv,1968,1098
daily_discharge_gold.csv,1969,1095
daily_discharge_gold.csv,1970,1095
daily_discharge_gold.csv,1971,1095
daily_discharge_gold.csv,1972,1384
daily_discharge_gold.csv,1973,1460
daily_discharge_gold.csv,1974,1460
daily_discharge_gold.csv,1975,1825
daily_discharge_gold.csv,1976,1830
daily_discharge_gold.csv,1977,1825
daily_discharge_gold.csv,1978,2190
daily_discharge_gold.csv,1979,2190
daily_discharge_gold.csv,1980,2196
daily_discharge_gold.csv,1981,2190
daily_discharge_gold.csv,1982,2190
daily_discharge_gold.csv,1983,2190
daily_discharge_gold.csv,1984,2196
daily_discharge_gold.csv,1985,2190
daily_discharge_gold.csv,1986,2190
daily_discharge_gold.csv,1987,2190
daily_discharge_gold.csv,1988,2196
daily_discharge_gold.csv,1989,2190
daily_discharge_gold.csv,1990,2190
daily_discharge_gold.csv,1991,2190
daily_discharge_gold.csv,1992,2196
daily_discharge_gold.csv,1993,2190
daily_discharge_gold.csv,1994,2190
daily_discharge_gold.csv,1995,2190
daily_discharge_gold.csv,1996,2196
daily_discharge_gold.csv,1997,2190
daily_discharge_gold.csv,1998,2190
daily_discharge_gold.csv,1999,2190
daily_discharge_gold.csv,2000,2196
daily_discharge_gold.csv,2001,2190
daily_discharge_gold.csv,2002,2190
daily_discharge_gold.csv,2003,2190
daily_discharge_gold.csv,2004,2196
daily_discharge_gold.csv,2005,2190
daily_discharge_gold.csv,2006,2190
daily_discharge_gold.csv,2007,2190
daily_discharge_gold.csv,2008,2196
daily_discharge_gold.csv,2009,2190
daily_discharge_gold.csv,2010,2190
daily_discharge_gold.csv,2011,2190
daily_discharge_gold.csv,2012,2196
daily_discharge_gold.csv,2013,2190
daily_discharge_gold.csv,2014,2190
daily_discharge_gold.csv,2015,2190
daily_discharge_gold.csv,2016,2196
daily_discharge_gold.csv,2017,2190
daily_discharge_gold.csv,2018,2190
daily_discharge_gold.csv,2019,2190
daily_discharge_gold.csv,2020,2196
daily_discharge_gold.csv,2021,2190
daily_discharge_gold.csv,2022,2190
daily_discharge_gold.csv,2023,2190
daily_discharge_gold.csv,2024,2196
daily_discharge_gold.csv,2025,2058
daily_discharge_gold.csv,2026,79
daily_hydroclimate_gold.csv,2000,2038
daily_hydroclimate_gold.csv,2001,2036
daily_hydroclimate_gold.csv,2002,2020
daily_hydroclimate_gold.csv,2003,2026
daily_hydroclimate_gold.csv,2004,2043
daily_hydroclimate_gold.csv,2005,2038
daily_hydroclimate_gold.csv,2006,2050
daily_hydroclimate_gold.csv,2007,2027
daily_hydroclimate_gold.csv,2008,2040
daily_hydroclimate_gold.csv,2009,2034
daily_hydroclimate_gold.csv,2010,2045
daily_hydroclimate_gold.csv,2011,2023
daily_hydroclimate_gold.csv,2012,2045
daily_hydroclimate_gold.csv,2013,2041
daily_hydroclimate_gold.csv,2014,2037
daily_hydroclimate_gold.csv,2015,2033
daily_hydroclimate_gold.csv,2016,2040
daily_hydroclimate_gold.csv,2017,2030
daily_hydroclimate_gold.csv,2018,2037
daily_hydroclimate_gold.csv,2019,2025
daily_hydroclimate_gold.csv,2020,2027
daily_hydroclimate_gold.csv,2021,2026
daily_hydroclimate_gold.csv,2022,2023
daily_hydroclimate_gold.csv,2023,2022
daily_hydroclimate_gold.csv,2024,2034
daily_hydroclimate_gold.csv,2025,1886
optical_timeseries_gold.csv,2003,102
optical_timeseries_gold.csv,2004,147
optical_timeseries_gold.csv,2005,168
optical_timeseries_gold.csv,2006,167
optical_timeseries_gold.csv,2007,190
optical_timeseries_gold.csv,2008,133
optical_timeseries_gold.csv,2009,203
optical_timeseries_gold.csv,2010,142
optical_timeseries_gold.csv,2011,215
optical_timeseries_gold.csv,2012,138
