model_role,scope,group_type,group_value,feature_set,model_id,target_scale,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags,log_target_status,decision_note
primary_baseline,DOC quantile,DOC quantile,Q4,F3_q_season_river_fixed,ridge_alpha_1,raw,127,3.189323902686713,2.4489346630490627,2.067306432697719,1.861387971578182,-1.424777277964868,6.242910750106882,systematic_positive_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,DOC quantile,DOC quantile,Q1,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,129,1.866513609543418,1.4807258209448215,-0.8810002984638843,-0.935065800205142,-3.4701332318687164,1.8925967412573133,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,DOC quantile,DOC quantile,Q2,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,132,1.681538336532921,1.2687898966983655,-0.6117455537236776,-0.5097828256065222,-3.4757343341406,1.6461996552892717,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,DOC quantile,DOC quantile,Q3,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,123,1.89955549987141,1.4807328614018025,-0.4939456000794728,-0.2195639031959304,-3.549925512411473,2.264155499568305,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,DOC quantile,DOC quantile,Q4,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,127,3.1985373159226302,2.4421282272230065,2.049286600296416,1.8267270738468968,-1.405018971609813,6.322947350650391,systematic_positive_bias,not_log_target,Comparator for log-target bias review.
log_target_sensitivity,DOC quantile,DOC quantile,Q1,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,129,1.4043594441673235,1.0841390178122527,-0.9087728001172608,-0.8502169548472311,-2.755960738509408,0.6083900470684487,systematic_negative_bias,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,DOC quantile,DOC quantile,Q2,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,132,1.2199754450240703,0.8455913766838821,-0.2449180385380154,-0.0227533239868757,-2.570981746240111,1.2091260910623824,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,DOC quantile,DOC quantile,Q3,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,123,1.963300044321985,1.5648475592214366,0.0257758246401976,0.3972915749631145,-3.643670495950748,2.710749360958585,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,DOC quantile,DOC quantile,Q4,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,127,3.531844733542837,2.7926037323037787,2.304630848313843,2.3174460150656726,-1.6597283226497443,7.344162007499572,systematic_positive_bias;high_rmse_relative_to_overall,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
primary_baseline,month,month,1,F3_q_season_river_fixed,ridge_alpha_1,raw,25,1.432114452559512,1.2269601713381677,-0.6477614592866152,-1.1606487979508633,-2.412065909652428,1.226049362778074,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,2,F3_q_season_river_fixed,ridge_alpha_1,raw,25,1.829580751969425,1.5911560557707216,-0.5734588201684839,-0.993957608358544,-3.095162902606841,2.1030372900154064,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,3,F3_q_season_river_fixed,ridge_alpha_1,raw,33,1.7471172700380355,1.3535434338006238,-0.586858261131221,-0.6728770035344849,-3.680113249909609,1.7801780901032769,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
