model_role,feature_set,model_id,target_scale,doc_behavior_group,n,rmse,mae,bias_mean,bias_median,residual_std,p05_residual,p25_residual,p50_residual,p75_residual,p95_residual,log_target_promotion_status
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,extreme_high,53,4.4567014363706505,3.699956921490457,3.5851627893466125,3.081522427876209,2.672747648963695,-0.10289605231555328,1.7778233736191353,3.081522427876209,5.362619708727744,8.32579233692235,not_log_target
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,high,82,1.8449226025201206,1.5555673576639857,0.8301950101341821,0.9570052753303342,1.657717766503574,-1.7609686367025421,-0.5968510420736162,0.9570052753303342,2.0024533679551957,3.1501867086264763,not_log_target
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,low,122,1.8905107329966784,1.4976930433351754,-0.890917349377879,-0.9407418813631494,1.6742982918834937,-3.54016794389998,-1.6374833466538545,-0.9407418813631494,0.13689496190202843,1.984574776373223,not_log_target
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,mid,254,1.7724247657173708,1.355911545753848,-0.5680829299518466,-0.36970341961269604,1.68223444367924,-3.5573179527029035,-1.6732599384170503,-0.36970341961269604,0.718790634025483,1.8939183891289977,not_log_target
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,extreme_high,53,4.739911220507084,3.9415378668861227,3.4870820447238047,3.2413761537032784,3.2411771103603817,-1.2907530712697293,1.2977091004712786,3.2413761537032784,5.511781485623391,8.869646888308905,sensitivity_only
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,high,82,2.308291054167478,1.9726500335198698,1.3137181688893527,1.916460309739152,1.9096663705944457,-1.7498707073356248,-0.002578933336025102,1.916460309739152,2.6484823731287124,4.030580735119449,sensitivity_only
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,low,122,1.4292529895250516,1.106078710538917,-0.9323703287144498,-0.8523889079178089,1.0877258889187078,-2.7577428654157954,-1.4468599509108535,-0.8523889079178089,-0.2085973723894169,0.6115364003604359,sensitivity_only
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,mid,254,1.5777832334128916,1.1535767969587711,-0.1279267175262517,0.07615725748414359,1.5756933480979807,-3.2463667040996254,-0.929341952984845,0.07615725748414359,0.9305601065368567,2.123780853919586,sensitivity_only
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,extreme_high,53,4.454133997116291,3.7226795931808616,3.6038973308538353,3.6900361929828893,2.64253442494636,-0.18912615773428101,1.757220260157128,3.6900361929828893,5.38079161287159,8.404106799137868,not_log_target
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,high,82,2.0616742186186894,1.7642201626590217,1.0767748983760312,1.3396916697256032,1.7689594659267154,-1.896358136651315,-0.25666864655131727,1.3396916697256032,2.3398851274971553,3.3423515431520947,not_log_target
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,low,148,1.8955881237751684,1.5731445975757137,-1.01761337730278,-1.0098130633411797,1.6047170426846131,-3.506898038618584,-1.9712965894684904,-1.0098130633411797,-0.25445286679854706,2.0301345002079096,not_log_target
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,mid,262,1.7974872664660908,1.3759019669218948,-0.48542792136963797,-0.2327931882358203,1.7340116864922943,-3.7030210958374457,-1.5860424173224508,-0.2327931882358203,0.7243988494853562,2.064613751487552,not_log_target
