feature,coef_mean,coef_std,coef_p05,coef_p50,coef_p95,sign_stability,n_bootstrap
cos_doy,0.37265108976311156,0.1307035874096582,0.16580312877791378,0.37418663376577993,0.5790661191665871,stable_positive,200
log_Q,2.8019319232524436,0.2211258295685098,2.429646924830082,2.811417259575122,3.161063061346223,stable_positive,200
river=Kolyma,1.6255880727282586,0.3063501289427133,1.1329653339019121,1.6395351948194774,2.122495732224977,stable_positive,200
river=Lena,1.4006059095185608,0.26674202829994215,0.9999604892841206,1.393297744138391,1.8703439212617312,stable_positive,200
river=Mackenzie,-1.917261191836869,0.12943240657981409,-2.124414373887021,-1.915803737664466,-1.7054748025462223,stable_negative,200
river=Ob,1.733239427947542,0.25407970612598263,1.3220900654299481,1.752544081611711,2.1041568952348353,stable_positive,200
river=Yenisey,-2.3761646646748833,0.2634824222236318,-2.8429022995854383,-2.3668588402741797,-1.9347314422906523,stable_negative,200
river=Yukon,-0.46600755368250596,0.21297729712513025,-0.7927935091434879,-0.47750258509336047,-0.1044120425800203,stable_negative,200
sin_doy,0.6797811225462879,0.10776495055859872,0.511153202796638,0.6661410077422597,0.882108929645311,stable_positive,200
