river,year,annual_flux_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,may_july_flux_TgC,may_july_flux_90_lower_TgC,may_july_flux_90_upper_TgC,may_july_flux_fraction_of_annual,annual_confidence_tier,may_july_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Kolyma,2024,0.9346810172539346,0.6308632086852611,1.3635321923785206,0.5127185699418376,0.3696382346953348,0.7146822737706503,0.548549248863735,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,0.9946645038962282,0.6905299700821739,1.4239627495671825,0.6554645035058768,0.4888866480566764,0.8905959113574208,0.6589804913499361,high,high,False,True,True,False,annual:outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Lena,2000,7.066418276277466,4.564844923862966,10.51327828437928,4.79936152998918,3.3480725047487465,6.799059078921751,0.6791788063411165,high,high,False,True,True,False,annual:outside_core_2003_2024_period;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Lena,2001,5.4538635853954265,3.515445725101406,8.128070847588306,4.174158377103936,2.936475950864216,5.879532338502464,0.7653580460431141,high,high,False,True,True,False,annual:outside_core_2003_2024_period;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Lena,2002,5.7790380728334805,3.7194264152884826,8.616947032701702,4.370906621595479,3.0628854024025016,6.173198777383441,0.7563380906145181,high,high,False,True,True,False,annual:outside_core_2003_2024_period;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Lena,2003,4.734650096995691,2.8825694509241373,7.286589141502121,3.182690146436308,2.140829028717995,4.618246460303081,0.672212324297384,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2004,5.880009442538224,3.7256970648544496,8.85801742095304,4.0036244128729,2.7672209772891483,5.715044120869896,0.6808874121713409,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Lena,2005,6.652625550753337,4.233496441719416,9.985887544576476,4.028988291770754,2.768410050737663,5.765909866309631,0.6056237888384558,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2006,7.004697718086287,4.527105542632183,10.418514617645142,4.410185261459497,3.071900416198213,6.254176966970561,0.6296039370938591,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2007,7.486992388815694,4.86606249134632,11.098311017112575,4.981992561655322,3.4901223110962323,7.037606041454216,0.6654197443953035,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
