river,n_core_years,mean_may_july_fraction_core,median_may_july_fraction_core,min_may_july_fraction_core,max_may_july_fraction_core,mean_may_july_flux_TgC,mean_annual_flux_TgC,caveat_summary
Kolyma,19,0.7016389725905823,0.693663872953109,0.548549248863735,0.855255965072305,0.5540821376176366,0.7871391591842106,excluded_years:2;sensitivity_only_years:5;low_confidence_may_july_or_annual_years
Lena,22,0.6606004615940134,0.6615126490276664,0.540606365232643,0.776927303615714,4.147353924237972,6.302448693698276,excluded_years:1;sensitivity_only_years:3
Mackenzie,22,0.5119224077411066,0.5200833836697474,0.4077548769558947,0.5996615815691033,0.7754859097615509,1.5095703075988482,sensitivity_only_years:4;low_confidence_may_july_or_annual_years
Ob,22,0.5445741109992176,0.5499824147730665,0.4381108640639818,0.6339407539661986,2.230793237006594,4.131361117278849,excluded_years:1;sensitivity_only_years:3;low_confidence_may_july_or_annual_years
Yenisey,14,0.7674480960284052,0.7747658903945878,0.6735620605327365,0.8206663850074093,3.009717795938438,3.940353482236102,sensitivity_only_years:12;low_confidence_may_july_or_annual_years
Yukon,22,0.6038565314687365,0.598825008244413,0.4804467812260338,0.7925103346907935,0.849200859083151,1.4043548993664907,excluded_years:2;sensitivity_only_years:2
