analysis_cohort,river,metric,metric_unit,n_years,year_min,year_max,value_mean,value_median,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_ols_standard_error,slope_theilsen_per_year,theilsen_ci_lower,theilsen_ci_upper,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,trend_strength,detectable_trend,trend_language
core_2003_2024,Kolyma,may_july_flux_TgC,TgC_per_year,19,2003,2024,0.5540821376176366,0.511302989160028,-0.002085271886805437,4.753161210732164,0.7454051126421455,0.006366477854628204,0.006318321614758174,-0.00022442985623041372,-0.009283932154313628,0.010164665951665501,-0.017543859649122806,0.945006868714699,-0.3763470693661759,-7.903288456689694,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Kolyma,may_july_flux_fraction_of_annual,fraction_per_year,19,2003,2024,0.7016389725905823,0.693663872953109,-0.0018197377746677248,4.366016196737275,0.5515626177848828,0.021246420980276255,0.0029955608090669965,-0.0030027370822359512,-0.009176704647128341,0.004808812324645126,-0.12280701754385964,0.48933805877747416,-0.25935528751330794,-5.446461037779467,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Lena,may_july_flux_TgC,TgC_per_year,22,2003,2024,4.147353924237972,4.363392577105715,-0.013484009041454798,31.297406129207207,0.5229538977199993,0.02070127180132682,0.020737820865529645,-0.005925227605431147,-0.055846856207248614,0.025719274794585727,-0.09090909090909091,0.5770090763883768,-0.3251231818594389,-6.827586819048216,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Lena,may_july_flux_fraction_of_annual,fraction_per_year,22,2003,2024,0.6606004615940134,0.6615126490276664,0.0009054538144966704,-1.1625307938950322,0.6647111145295067,0.009583814411220023,0.002058216103587262,0.001453568779575698,-0.003010089985176125,0.005060365976256861,0.07359307359307359,0.6555978590524786,0.13706527124002177,2.878370696040457,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Mackenzie,may_july_flux_TgC,TgC_per_year,22,2003,2024,0.7754859097615509,0.787613173742982,-0.006846181091881077,14.5602715382641,0.27600419438946083,0.05901353890289095,0.006112927468135011,-0.010948862665024412,-0.02125421512984017,0.006858407805932572,-0.16017316017316016,0.31397950542939346,-0.8828246916808798,-18.539318525298476,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Mackenzie,may_july_flux_fraction_of_annual,fraction_per_year,22,2003,2024,0.5119224077411066,0.5200833836697474,-0.0010425263684243884,2.611049250563613,0.44277077943027277,0.02974654151907667,0.0013313627763858586,-0.0011178005516502174,-0.002964611375914389,0.0008937052570350934,-0.1341991341991342,0.4020304086977944,-0.2036492938499428,-4.276635170848799,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Ob,may_july_flux_TgC,TgC_per_year,22,2003,2024,2.230793237006594,2.2678824168176646,0.008990635555701823,-15.871851454399028,0.41538118859680273,0.03343246787197379,0.010809541644689533,0.01080630820111596,-0.009982903523798936,0.033093334372835424,0.14285714285714285,0.3711989339777388,0.4030241533171389,8.463507219659919,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Ob,may_july_flux_fraction_of_annual,fraction_per_year,22,2003,2024,0.5445741109992176,0.5499824147730665,-0.001327483955619851,3.217463055639788,0.4532064603455458,0.028429139930397383,0.0017352804050838587,-0.0022224064675343052,-0.005286041629113088,0.001348657743680004,-0.1774891774891775,0.26275316600189397,-0.24376552774132118,-5.119076082567744,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Yenisey,may_july_flux_TgC,TgC_per_year,14,2007,2024,3.009717795938438,2.9934165545914,-0.013212048316097997,29.63577002382336,0.6427596665167501,0.01851636146223041,0.027767912825801856,-0.0168347507330778,-0.0709628095028445,0.03714382006543292,-0.16483516483516486,0.4505630133066889,-0.4389796390188949,-7.462653863321214,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Yenisey,may_july_flux_fraction_of_annual,fraction_per_year,14,2007,2024,0.7674480960284052,0.7747658903945878,-0.0035637577693885844,7.9494382178519425,0.12269596989617029,0.1868425972597781,0.0021461838193237628,-0.0040139938935040975,-0.00973402774702233,0.0008620480421255807,-0.2967032967032967,0.15716301603764402,-0.4643646635950062,-7.894199281115105,flat_or_uncertain,not_detected,False,no detectable trend
