model_id,feature_set,validation_scheme,season_window,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
linear_regression,F1_season_only,leave_one_river_out,early_season,146,6,,4.7409810939963934,3.6654915948225164,2.77759881000517,-0.25368585550109213,1.5801483242282741,1.1683893840147812,-0.428395265375721,-0.39389153674928845
linear_regression,F1_season_only,leave_one_river_out,late_season,87,6,,2.59185689730386,2.097109422907678,1.7509848191961463,-0.4461268552009303,-0.19607263441101533,-0.5871414291453085,-0.5401336438832638,-0.4745883838604623
linear_regression,F1_season_only,leave_one_river_out,spring_freshet_provisional,193,6,,4.5230414418401255,3.579687257727781,3.201998260872813,-0.18020723652989767,0.8554324810429387,0.5576927815578312,-0.5198592870443481,-0.4758550144331091
linear_regression,F1_season_only,leave_one_river_out,summer,114,6,,3.6213193280288913,3.1979760595741937,3.2278735272525587,-0.46878335115754477,-1.4584640163064753,-2.4763578504704853,-0.49047115086534154,-0.512822154128148
linear_regression,F1_season_only,leave_one_year_out,early_season,146,20,,4.548654975995773,3.50407650899521,2.6499056625773023,-0.15403311528688945,1.6335518824667214,1.3813601672510245,-0.10647471064021925,-0.01846206503424712
linear_regression,F1_season_only,leave_one_year_out,late_season,87,18,,2.2492011707049984,1.8016835056421323,1.4934743164463669,-0.08903278481242372,-0.1530444541970866,-0.2173692782653287,-0.17782416664264425,-0.0675681234492867
linear_regression,F1_season_only,leave_one_year_out,spring_freshet_provisional,193,20,,4.299808685134085,3.3734858015504683,2.8142158730514213,-0.06658483515653901,0.9207209685130879,0.5415871221524551,-0.22036275723993135,-0.13317414397807753
linear_regression,F1_season_only,leave_one_year_out,summer,114,20,,3.2875776204009557,2.8950145968763077,2.9053412056586536,-0.2105315884356338,-1.3955170809483017,-2.221040944591044,0.059510162386378615,0.08787552972771795
linear_regression,F1_season_only,river_year_groupkfold,early_season,146,5,,4.5430590769635675,3.4963359004562418,2.741803475818878,-0.15119540589816727,1.5865052987103216,1.4081263941663753,-0.05429716800294168,-0.032433690735593795
linear_regression,F1_season_only,river_year_groupkfold,late_season,87,5,,2.274218724007171,1.8261687698004467,1.5057639936095635,-0.11339383968228889,-0.15253911697045716,-0.3400819764143206,-0.20469627606670676,-0.10263351045902087
linear_regression,F1_season_only,river_year_groupkfold,spring_freshet_provisional,193,5,,4.312442592690217,3.38376282307789,2.819273989254123,-0.0728618264575771,0.8765229933634116,0.6400358249230962,-0.1839239002361182,-0.15332897062717898
linear_regression,F1_season_only,river_year_groupkfold,summer,114,5,,3.3280327476053637,2.90986308634848,2.918846830244493,-0.24050716781964598,-1.4054261975653288,-2.225438777182418,-0.03406298954708602,-0.020010829683192604
linear_regression,F2_q_season,leave_one_river_out,early_season,146,6,,3.9165128901315427,2.951104014683941,2.2617813483707616,0.14443817219528687,1.0127072963596069,0.555777685666309,0.4904123331929243,0.4590493141887002
linear_regression,F2_q_season,leave_one_river_out,late_season,87,6,,2.2808668463830717,1.8125827988570318,1.4977567115645414,-0.11991282341739007,-0.015935863404291404,-0.31896058726273235,0.26007301615101003,0.27840930238705447
linear_regression,F2_q_season,leave_one_river_out,spring_freshet_provisional,193,6,,3.712180439441332,2.8546586991523046,2.306948398893512,0.20502166128255783,0.631579004796077,0.09220020108498694,0.5347579395391898,0.48145246404226094
linear_regression,F2_q_season,leave_one_river_out,summer,114,6,,2.9502103886669815,2.5089012808774225,2.4472084737943423,0.025167338132212724,-0.5605270434667879,-1.565006974490132,0.43648907110219876,0.3220552844005788
linear_regression,F2_q_season,leave_one_year_out,early_season,146,20,,3.4924557452391842,2.5967130739127358,1.811092064152515,0.3196786466735754,0.895728494180395,0.6987921532283758,0.6548883136853894,0.62514107473631
linear_regression,F2_q_season,leave_one_year_out,late_season,87,18,,1.933083499077172,1.5116367593413886,1.3266309025239433,0.1955749618722168,-0.19719575718624346,-0.502238457602159,0.43834056775376656,0.45723353861548166
linear_regression,F2_q_season,leave_one_year_out,spring_freshet_provisional,193,20,,3.3173958314174112,2.533304970770385,1.9943326718555028,0.3651198795414874,0.4958957591769254,-0.17516719096284294,0.6953641065634902,0.6468203805505001
linear_regression,F2_q_season,leave_one_year_out,summer,114,20,,2.6824120039192967,2.2998040338111836,2.145853644386831,0.1941113046543318,-0.7722679111272344,-1.5945273673694045,0.616779356175891,0.5244184599589563
linear_regression,F2_q_season,river_year_groupkfold,early_season,146,5,,3.5144492829816967,2.590470267256112,1.879527572584541,0.31108309801630407,0.8800987158693007,0.35625309615869405,0.6526593858229545,0.6114964231843149
