model_id,feature_set,validation_scheme,river,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
linear_regression,F1_season_only,leave_one_river_out,Kolyma,87,1,,3.128869097230075,2.6497135407039574,2.63253879098522,-0.08032846721822628,-1.6330232265845068,-2.1626371404767,0.529144985283554,0.46518938356721123
linear_regression,F1_season_only,leave_one_river_out,Lena,87,1,,5.0935857930783115,3.5204775367659202,2.024941858879581,-0.3776412195340386,3.208101694374735,1.7336297214555323,0.3226107870466937,0.44554134077696705
linear_regression,F1_season_only,leave_one_river_out,Mackenzie,103,1,,2.852393334312357,2.452297224680621,2.5234549546303233,-5.712869205008811,-2.3563496611548755,-2.5234549546303233,0.32841836521541035,0.3257907221568791
linear_regression,F1_season_only,leave_one_river_out,Ob,87,1,,4.1467878906382705,3.6132318995456876,3.42509783207697,-1.4027104207560304,3.307689462957015,3.42509783207697,0.404773850002019,0.38605181324956694
linear_regression,F1_season_only,leave_one_river_out,Yenisey,87,1,,2.44363594739415,2.055259023472581,1.84718062096518,0.2958053495556614,-0.8424812370360212,-1.0663342230494068,0.6628346383307757,0.6647629355565148
linear_regression,F1_season_only,leave_one_river_out,Yukon,96,1,,3.2216243585844757,2.718773040762722,2.4963911099799887,0.04715845347595393,-1.274103610311671,-1.8749291996708881,0.46484128854695334,0.4519456335825082
linear_regression,F1_season_only,leave_one_year_out,Kolyma,87,17,,3.023599418601942,2.5117819370450216,2.46508985990868,-0.008856830220158152,-1.3570973385548597,-1.9244815759060834,0.505355291130029,0.44152627009440587
linear_regression,F1_season_only,leave_one_year_out,Lena,87,17,,4.790705561829089,3.2920611264861184,1.712533374174436,-0.2186748177273352,2.7119563667839306,1.493979610313115,0.3271870565441778,0.4399110969990294
linear_regression,F1_season_only,leave_one_year_out,Mackenzie,103,21,,2.3924666195335917,2.0286739018561772,2.041077786466727,-3.7225996844207563,-1.9069891709928666,-2.041077786466727,0.2984885413180259,0.3030468438112078
linear_regression,F1_season_only,leave_one_year_out,Ob,87,17,,3.6853201248931464,3.1618514117209564,2.919312790337303,-0.8977029215799754,2.7861407072467674,2.8168020861359118,0.4750155111504002,0.4369759456298758
linear_regression,F1_season_only,leave_one_year_out,Yenisey,87,16,,2.3947143158010675,1.9996696592928205,1.7537255775143912,0.32371908441267705,-0.706273072405385,-0.8542441284782774,0.6638837108348173,0.6489172779186536
linear_regression,F1_season_only,leave_one_year_out,Yukon,96,20,,3.1773779849677157,2.6404189082336096,2.2820863044554685,0.07315171857994818,-1.0469442505958722,-1.656412558229912,0.4300367068259114,0.42059078452371834
linear_regression,F1_season_only,river_year_groupkfold,Kolyma,87,5,,3.0281063506453525,2.515914604110707,2.5278571932720837,-0.011866645528366693,-1.4176334989849344,-1.7514075346869937,0.5329890891132241,0.45865787433094757
linear_regression,F1_season_only,river_year_groupkfold,Lena,87,5,,4.7848731410427705,3.263853960227145,1.830196650102316,-0.21570928475762563,2.7441369223608025,1.5498866526447825,0.370244964877342,0.46159206953650167
linear_regression,F1_season_only,river_year_groupkfold,Mackenzie,103,5,,2.4511160331689505,2.0746568853383307,2.188383952188742,-3.9569792522858753,-1.9469387480419529,-2.188383952188742,0.28278754354996416,0.29631680786072856
linear_regression,F1_season_only,river_year_groupkfold,Ob,87,5,,3.7278551697534104,3.188800856339204,2.8525142222851985,-0.9417613451221212,2.8221428306950127,2.815967500981845,0.4409563789463893,0.42271721350875163
linear_regression,F1_season_only,river_year_groupkfold,Yenisey,87,5,,2.3704413895369085,1.976748145100798,1.8195161510501787,0.3373592280533252,-0.6895392293742313,-0.8079294773617196,0.6660651071050047,0.6585723002163001
linear_regression,F1_season_only,river_year_groupkfold,Yukon,96,5,,3.1642258001112333,2.639752805876454,2.294160237897093,0.08080888160347877,-1.0656732097656236,-1.63724747817635,0.44470524977163,0.43466733831021026
linear_regression,F2_q_season,leave_one_river_out,Kolyma,85,1,,3.9219167983226546,3.1027072748308155,2.527911350074657,-0.6750391531893707,2.911198076729895,2.527911350074657,0.794117966434096,0.721182417489307
linear_regression,F2_q_season,leave_one_river_out,Lena,87,1,,4.016704393203256,2.917841370847668,2.193294704074593,0.14330028967140074,2.2624068428090833,1.760287780841324,0.6206044932177207,0.6643113089284616
linear_regression,F2_q_season,leave_one_river_out,Mackenzie,103,1,,2.5771290023543245,2.340397355687087,2.3718899870553907,-4.479761748196013,-2.3138360159254576,-2.3718899870553907,0.527399154809081,0.5472391807935628
linear_regression,F2_q_season,leave_one_river_out,Ob,87,1,,3.5109233863792557,2.901743281807855,2.526312572225411,-0.722346369262546,2.4365391046274656,2.492357536777611,0.35440443054590426,0.3729296273493633
linear_regression,F2_q_season,leave_one_river_out,Yenisey,87,1,,3.5168711298703412,2.9186317063195575,2.4326729495244193,-0.4585879461489648,-2.7762315029997815,-2.4326729495244193,0.38457823244685857,0.7013914766909978
linear_regression,F2_q_season,leave_one_river_out,Yukon,96,1,,2.4508894491676534,2.009377674892424,1.7132859034790544,0.4485345237754059,-0.6886296393890984,-1.488991558954941,0.8263993137877395,0.790652731155417
linear_regression,F2_q_season,leave_one_year_out,Kolyma,85,17,,2.506002685311952,1.9533825441609571,1.7955162700424165,0.3161020926876117,1.2428272333241777,1.500390408872414,0.7795252045612132,0.7196182469609756
linear_regression,F2_q_season,leave_one_year_out,Lena,87,17,,3.625743795898308,2.6569281456475404,1.9943326718555028,0.30195551133906084,1.7044368349306833,1.3973005682137645,0.6117542095755112,0.6875927947368317
linear_regression,F2_q_season,leave_one_year_out,Mackenzie,103,21,,2.1547879478770353,1.9212202630525543,1.9282523970212146,-2.830879003329289,-1.875043639846222,-1.9282523970212146,0.5366223776751384,0.550104474143998
linear_regression,F2_q_season,leave_one_year_out,Ob,87,17,,3.1145520935550173,2.528163748674921,2.0825673418107167,-0.3554046994825375,1.9826214075373152,1.7176796049280156,0.40678894386467984,0.445650116579463
linear_regression,F2_q_season,leave_one_year_out,Yenisey,87,16,,2.8842319984829796,2.4023446680284395,2.084220881384062,0.018974960220342285,-2.0625190173966454,-1.8865100067473541,0.5686642769254385,0.7839347541120741
linear_regression,F2_q_season,leave_one_year_out,Yukon,96,20,,2.3733355634008753,1.9016332335327437,1.5592201592316914,0.4828825672108086,-0.5242174280295584,-1.2953309300472404,0.8234416370067685,0.7914067099374424
linear_regression,F2_q_season,river_year_groupkfold,Kolyma,85,5,,2.626213166349488,2.03217729311326,1.7351871858121504,0.2489166072356085,1.3548466979272182,1.1379931289962504,0.7745501772381743,0.7098862564001014
linear_regression,F2_q_season,river_year_groupkfold,Lena,87,5,,3.6570648900336415,2.679646961478602,1.7671058485211635,0.28984326475290634,1.7660767052858766,1.4125177828109523,0.6059299755411426,0.689745418765068
linear_regression,F2_q_season,river_year_groupkfold,Mackenzie,103,5,,2.1815692810688985,1.9426423472705527,1.9237265085055295,-2.9266968936366977,-1.8888267516196215,-1.9237265085055295,0.5244053153439223,0.5450426870161809
linear_regression,F2_q_season,river_year_groupkfold,Ob,87,5,,3.137850781170695,2.513923697346004,2.160269530322471,-0.37575900088783354,2.0087741915852826,1.8294939598298,0.41917637271455205,0.4419514485096275
linear_regression,F2_q_season,river_year_groupkfold,Yenisey,87,5,,2.848111177337763,2.3412309054970804,1.9892842523152758,0.043392927530212844,-2.067361318160626,-1.916566614082214,0.6084400603637968,0.7987787933889914
linear_regression,F2_q_season,river_year_groupkfold,Yukon,96,5,,2.3428926827289884,1.8814409235105582,1.5218498857560498,0.4960636608442005,-0.5344091902456515,-1.3425455609871797,0.8299403855300947,0.8007634110146279
linear_regression,F3_q_season_river_fixed,leave_one_river_out,Kolyma,85,1,,3.7980847907779367,2.9911938806028067,2.40283694008499,-0.5709324930134361,2.7645297177413024,2.40283694008499,0.7953397314937816,0.7212829725067738
linear_regression,F3_q_season_river_fixed,leave_one_river_out,Lena,87,1,,3.643327919391886,2.7545124271460972,2.0717217475707788,0.2951683440119329,1.8219235369696791,1.5088324359182117,0.645368881122853,0.691728890122903
linear_regression,F3_q_season_river_fixed,leave_one_river_out,Mackenzie,103,1,,2.5792901429469817,2.3587834585515126,2.334165640376763,-4.4889560888945415,-2.3300228417205213,-2.334165640376763,0.56647837307539,0.5768225313977293
linear_regression,F3_q_season_river_fixed,leave_one_river_out,Ob,87,1,,3.329728189937823,2.683955253337663,2.2849944839409115,-0.5491567173518677,2.019352292410749,1.6402840827106555,0.30428957858372785,0.3218195324361052
linear_regression,F3_q_season_river_fixed,leave_one_river_out,Yenisey,87,1,,3.7197518587083294,3.0893012058169926,2.622630150912803,-0.631727564112861,-3.00074749593629,-2.622630150912803,0.3492959094198455,0.6693403698720365
linear_regression,F3_q_season_river_fixed,leave_one_river_out,Yukon,96,1,,2.3383500812896685,1.9086058255989247,1.6050148722931965,0.49801591646838117,-0.6559321429732466,-1.4378453493442023,0.8498640018275992,0.8150041343874108
linear_regression,F3_q_season_river_fixed,leave_one_year_out,Kolyma,85,17,,2.275493717516808,1.9087853082184136,1.7623115590517169,0.43612934662559977,0.015056569360131533,0.09318542623200976,0.7813725133314576,0.7266514366618656
linear_regression,F3_q_season_river_fixed,leave_one_year_out,Lena,87,17,,3.1237827976848096,2.3675381436721272,1.8576236274620488,0.481855926094116,0.0019171038108513482,-0.173274016981936,0.617204744712526,0.6967673633370834
linear_regression,F3_q_season_river_fixed,leave_one_year_out,Mackenzie,103,21,,1.0749550232286653,0.8313216436898941,0.6199077883378301,0.046611417623128815,-0.00022363137574150777,-0.08383822706666688,0.5489932519421791,0.5645139782893155
linear_regression,F3_q_season_river_fixed,leave_one_year_out,Ob,87,17,,2.493472143621045,2.0447750911905307,1.7212231447142372,0.13126597762955372,0.001419143124792432,-0.13519037237900733,0.35466876861554836,0.39649160791485427
linear_regression,F3_q_season_river_fixed,leave_one_year_out,Yenisey,87,16,,2.0466637531627616,1.7068094935194384,1.5823102357816938,0.506016199115481,-0.0034666544463345396,0.14415940376917113,0.4590621238900905,0.7427343560497855
linear_regression,F3_q_season_river_fixed,leave_one_year_out,Yukon,96,20,,2.2008358835891038,1.6237677223077824,1.1282810015707923,0.5553214288115196,0.002107252777259131,-0.7685502200290784,0.84812738426813,0.8138576549008631
linear_regression,F3_q_season_river_fixed,river_year_groupkfold,Kolyma,85,5,,2.3229210290805216,1.957223509887342,1.7666429230532312,0.41237927864019497,0.08990622741760296,0.24333092955457758,0.7823596994996834,0.7243985091946256
linear_regression,F3_q_season_river_fixed,river_year_groupkfold,Lena,87,5,,3.1038548185918136,2.365989627508821,1.9815669825908877,0.48844577519013077,0.08506009322608103,-0.08656611285278792,0.6040979394833834,0.7032227828118743
linear_regression,F3_q_season_river_fixed,river_year_groupkfold,Mackenzie,103,5,,1.089408405481205,0.8427645675786505,0.5925962537152367,0.02080135636042546,-0.027054073196543533,-0.12725599646686891,0.5457302415893274,0.562476320790379
linear_regression,F3_q_season_river_fixed,river_year_groupkfold,Ob,87,5,,2.4708139061993877,2.0366309297586493,1.7708348693622664,0.14698265398626364,-0.0017994817242962984,-0.14730885064503063,0.3918401702710149,0.41230323800838986
linear_regression,F3_q_season_river_fixed,river_year_groupkfold,Yenisey,87,5,,2.0098374627688442,1.6839247079152528,1.5384328264989042,0.5236330912410591,-0.001712039088483997,0.24798836255178092,0.4790320463267181,0.7572203595920047
linear_regression,F3_q_season_river_fixed,river_year_groupkfold,Yukon,96,5,,2.177651302389524,1.6133679271018677,1.1164771231573947,0.5646409633696432,-0.008653790261528016,-0.7116621936882173,0.8496876266067156,0.8196401101685925
linear_regression,F4_reduced_hydroclimate,leave_one_river_out,Kolyma,85,1,,4.372264780972826,3.5491755175306827,2.973167140327674,-1.0818101421006898,3.4539023537630062,2.973167140327674,0.7971381696616384,0.7439968408754998
linear_regression,F4_reduced_hydroclimate,leave_one_river_out,Lena,87,1,,3.619582779086746,2.583165094005573,1.8659630225124033,0.30432578907353114,1.6616798399511026,1.1499404130849777,0.6498988409273618,0.7029444112401506
linear_regression,F4_reduced_hydroclimate,leave_one_river_out,Mackenzie,103,1,,3.0102215535163896,2.809250605635525,2.790193174361379,-6.4762924554877035,-2.809250605635525,-2.790193174361379,0.4905721827459187,0.5461874269495227
linear_regression,F4_reduced_hydroclimate,leave_one_river_out,Ob,87,1,,3.4375454145617144,2.7838193975125387,2.5607204101334204,-0.6511049432304312,2.086796080614596,2.394162704347721,0.25908776867459127,0.26091608622283613
linear_regression,F4_reduced_hydroclimate,leave_one_river_out,Yenisey,53,1,,18.08058377499692,6.9995423061362585,1.9026790588382685,-41.11769406888734,3.687929955874412,-1.4486568070213846,0.17083644221218344,-0.40931505217753655
