model_id,feature_set,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
linear_regression,F1_season_only,leave_one_river_out,2003,5,5,,3.220905990812701,2.9633401961163766,3.297200543046502,-0.18265337456146225,-1.1152880662437101,-2.0664885884934465,0.09999999999999999,-0.018320896214505205
linear_regression,F1_season_only,leave_one_river_out,2004,42,6,,3.5404097429827313,3.0694730752836468,3.2747583610757607,-0.08944911423187141,-0.38985869802872825,-0.479816951899132,-0.009240121952364311,0.017889011913535917
linear_regression,F1_season_only,leave_one_river_out,2005,42,6,,3.2174730601203794,2.709935844496617,2.3838159715992546,-0.12456314626993992,0.07710408379469483,0.0537082492259402,-0.1285563818888824,-0.04657898682003094
linear_regression,F1_season_only,leave_one_river_out,2006,11,6,,3.8590260078689513,3.2405529131494757,3.520499082814353,-0.25653172758356413,1.6322277193350616,1.948797401670574,0.08181818181818183,0.1730122401706069
linear_regression,F1_season_only,leave_one_river_out,2007,1,1,,0.7608162851465741,0.7608162851465741,0.7608162851465741,,-0.7608162851465741,-0.7608162851465741,,
linear_regression,F1_season_only,leave_one_river_out,2009,29,6,,4.050820197079766,3.2182936569198914,2.697839794249102,-0.08876108716716669,0.7664008019208984,0.5576927815578312,-0.03769865971416,0.07000303762490846
linear_regression,F1_season_only,leave_one_river_out,2010,31,6,,4.53796305689141,3.563602377320459,2.734642758691013,-0.32399051236206455,1.9035989999434426,2.0828924730495455,-0.1498739474481602,0.027270494898639235
linear_regression,F1_season_only,leave_one_river_out,2011,30,6,,5.180689228041298,3.664473560707682,2.4603472982409302,-0.24347899983521026,2.3649835361412612,1.1720828418335207,0.12067241780238855,0.16923792134009957
linear_regression,F1_season_only,leave_one_river_out,2012,23,6,,3.5421272073160273,2.756847922571603,2.291839433597514,-0.0012106912241767187,-0.2600203679784463,-1.439434654742029,0.1838398870059568,0.21768522971771892
linear_regression,F1_season_only,leave_one_river_out,2013,33,6,,3.4611520341643773,2.8497114110187085,2.8857555014671394,-0.12178707113331555,-0.25350801784718385,-0.8488944459105143,-0.01103309991453801,0.08150005310234357
linear_regression,F1_season_only,leave_one_river_out,2014,35,6,,4.431487992055128,3.1266553330364273,2.113335735558826,0.00451073407191227,0.37739528609741696,-1.0663342230494068,0.1541804368714765,0.17340698829097284
linear_regression,F1_season_only,leave_one_river_out,2015,36,6,,3.619357558162937,3.030406222691913,2.9414881656676553,-0.26598203757730654,-0.8295825000352393,-1.698473051584557,0.02935874713409317,-0.035762956137171245
linear_regression,F1_season_only,leave_one_river_out,2016,37,6,,2.4650277763559982,2.0805030366400628,1.834146767994297,-0.19433788659907614,-0.9575760569039012,-1.057779976961836,0.2030360759765013,0.2926666937135582
linear_regression,F1_season_only,leave_one_river_out,2017,35,6,,2.8219818455873606,2.3768199201579843,2.5583658242023937,-0.16829027808039054,-0.2648498436357225,-0.8700653551054582,0.08172136335766081,0.11493956245242987
linear_regression,F1_season_only,leave_one_river_out,2018,35,6,,3.10209484025733,2.5863355637417977,2.463090523378825,-0.3833991718838936,-0.5101153094259137,-1.1026884707008557,-0.10271862600272134,-0.07994727980040899
linear_regression,F1_season_only,leave_one_river_out,2019,26,6,,3.735485450634924,2.9531472047433613,2.5471634624488857,-0.005589720777316343,-0.3670957358202772,-1.1746652425092932,0.243710597619623,0.17475821173054232
