model_id,feature_set,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
linear_regression,F1_season_only,leave_one_river_out,547,6,2735,3.566766464032282,2.821854040398161,2.494350795602662,-0.018271443421256528,-0.024703874471656735,-0.7213343234799279,0.17162949011651665,0.17462732751432136
linear_regression,F1_season_only,leave_one_year_out,547,21,10940,3.320579184757699,2.589433833248666,2.273310484605827,0.11744476035212781,0.0034637788257046785,-0.6024093281719161,0.3547604746321268,0.34336849271776476
linear_regression,F1_season_only,river_year_groupkfold,547,5,2188,3.3305118927093953,2.5947871239061446,2.2289059642664846,0.112156963323357,-0.0034680220058728936,-0.592823488894779,0.349048592360012,0.3369165338950326
linear_regression,F2_q_season,leave_one_river_out,545,6,2725,3.3510991895394873,2.6750754605814566,2.1974641364622176,0.10219717995659039,0.20237511590158566,-0.38114515869056476,0.46813811477062534,0.4607128617930405
linear_regression,F2_q_season,leave_one_year_out,545,21,10900,2.797168431459016,2.2139210544803047,1.8399255415935878,0.3744764914317986,0.006460292511494212,-0.5854956517866938,0.5987655407040164,0.6120593289478464
linear_regression,F2_q_season,river_year_groupkfold,545,5,2180,2.81844712652103,2.2182996264889803,1.8620490649295593,0.36492329386933453,0.03277270640591981,-0.5339704184948992,0.5975337383700339,0.6050303601620074
linear_regression,F3_q_season_river_fixed,leave_one_river_out,545,6,2725,3.250827018787782,2.6098132632068007,2.152049306631625,0.15512176753307527,0.009447986412853849,-0.7819554898744796,0.4947776565138937,0.5045392794995667
linear_regression,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2578799097854763,1.7176481820356215,1.3555678219819258,0.5924244921826768,0.002656376471736856,-0.17614628700903312,0.7867804178204908,0.7697696655439191
linear_regression,F3_q_season_river_fixed,river_year_groupkfold,545,5,2180,2.249100425243292,1.720333041970094,1.3901782021082933,0.5955879429604369,0.02040260867174814,-0.19568947809432125,0.7902229925005773,0.7718375148057018
linear_regression,F4_reduced_hydroclimate,leave_one_river_out,511,6,2555,6.65692907085763,3.18406647210485,2.2805231158099493,-2.5110983368116035,0.8780876768613852,-0.2707594057074596,0.4917693669329249,0.13861363264614635
linear_regression,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.7005086556330333,2.1250551711674546,1.8113958162285497,0.4221883670629346,0.025864287599353983,-0.5418192107302495,0.6722860991174017,0.6499491244852963
linear_regression,F4_reduced_hydroclimate,river_year_groupkfold,511,5,2044,2.6952429715074087,2.118154779989501,1.7905569181495031,0.42443950386338936,0.036312115504845775,-0.5025129356867364,0.6713092902110693,0.6516963369223802
linear_regression,F5_snow_hydroclimate_complete_case,leave_one_river_out,325,6,1625,10.892919749166492,3.764562474344857,2.327951632636961,-7.190394826975496,1.3807861001952755,-0.3819178495051716,0.5234966662413306,0.04978383853103398
linear_regression,F5_snow_hydroclimate_complete_case,leave_one_year_out,325,20,6175,2.8500935997946835,2.208612846523433,1.7733811930581052,0.4392949397908189,0.0246188736740177,-0.6347146943707704,0.6861334306005581,0.6632787148005691
linear_regression,F5_snow_hydroclimate_complete_case,river_year_groupkfold,325,5,1300,2.823347873104276,2.182606247960717,1.7272247312580706,0.4497690517325027,0.01277507083674786,-0.594173914284502,0.6959142689402773,0.6711571286197434
linear_regression,F6_reduced_hydroclimate_river_fixed,leave_one_river_out,511,6,2555,6.508057666439691,2.990782812770616,2.1725884576093026,-2.355814288316841,0.7003335197137783,-0.47517963652293105,0.5386086625791227,0.15498690592959885
linear_regression,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.2408742273616578,1.6669285833699015,1.223757892342352,0.6021401657122847,0.009820822076151037,-0.21612550236961514,0.8027864109503043,0.776051710785843
linear_regression,F6_reduced_hydroclimate_river_fixed,river_year_groupkfold,511,5,2044,2.301253838212211,1.7045436202421256,1.2514510993899046,0.5804109116112186,-0.038136022222580945,-0.2456793306141254,0.7997134785953549,0.7645739004838135
mean_baseline,F0_intercept_only,leave_one_river_out,547,6,2735,3.7405909692341717,2.9811244112188695,2.6088130434782615,-0.11993974491533854,-0.01909233037450917,-1.1015299334811521,-0.5071493394019502,-0.5227181772910852
mean_baseline,F0_intercept_only,leave_one_year_out,547,21,10940,3.560907792992114,2.776658534403724,2.419117988394585,-0.014929022258417524,-0.0006792638330093133,-0.934776340110905,-0.31240981793306827,-0.3406332581121596
mean_baseline,F0_intercept_only,river_year_groupkfold,547,5,2188,3.5549464306319294,2.7727215501278226,2.3919496567505725,-0.011533654824149586,0.0003449835405435091,-0.9982191780821914,-0.13199260856585185,-0.14312160270315918
ridge_alpha_0.1,F1_season_only,leave_one_river_out,547,6,2735,3.566750554321262,2.821851873836046,2.4945816857705454,-0.018262359356775892,-0.02470286407069141,-0.7213712990631675,0.17159330495756897,0.17459406992698479
ridge_alpha_0.1,F1_season_only,leave_one_year_out,547,21,10940,3.3205778920892284,2.5894371355319836,2.273586103057248,0.11744544749195862,0.0034628899272983373,-0.6028286496864705,0.3547604746321268,0.3433652247580919
ridge_alpha_0.1,F1_season_only,river_year_groupkfold,547,5,2188,3.330506448442471,2.594787601428499,2.2285762432143787,0.11215986597056771,-0.0034671788095518305,-0.5929312993187104,0.3489884670981276,0.3369121305476148
ridge_alpha_0.1,F2_q_season,leave_one_river_out,545,6,2725,3.3506217159788503,2.6747115107555106,2.1968759619382894,0.10245300441624516,0.20217636589979027,-0.3810099349149789,0.4681029013553243,0.46073654750073667
ridge_alpha_0.1,F2_q_season,leave_one_year_out,545,21,10900,2.7971603717021405,2.2138996011130483,1.8402238526883874,0.37448009619158273,0.006460708198557086,-0.585078355252934,0.5988475694282913,0.6120595125059406
ridge_alpha_0.1,F2_q_season,river_year_groupkfold,545,5,2180,2.818413798194172,2.218248498270098,1.8625845786076587,0.364938313430069,0.0327464174461712,-0.5350818591260804,0.5974565653903953,0.6050327622375391
ridge_alpha_0.1,F3_q_season_river_fixed,leave_one_river_out,545,6,2725,3.250356415261441,2.609452683852873,2.1513018182553623,0.15536636614992216,0.009807603295071788,-0.7787018381191357,0.49465607756422286,0.5044435769727023
ridge_alpha_0.1,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2578609929695856,1.717488985271793,1.3563586841640474,0.5924313215968645,0.0026687568666440677,-0.17601508600717342,0.7868191525773218,0.76976668301454
ridge_alpha_0.1,F3_q_season_river_fixed,river_year_groupkfold,545,5,2180,2.249121929082042,1.720170908001282,1.388598021030985,0.5955802096879347,0.020433737181389182,-0.2002286358277967,0.790361881623875,0.7718243130948533
ridge_alpha_0.1,F4_reduced_hydroclimate,leave_one_river_out,511,6,2555,6.657469622761301,3.183542881930077,2.275703546063243,-2.511668572103899,0.8777410877796327,-0.2701997424065308,0.49175430243685536,0.1384352698402308
ridge_alpha_0.1,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.7004558981173905,2.1250021017011256,1.811067292893946,0.4222109432605192,0.025847679104158746,-0.5420110215446208,0.6723385775260974,0.6499613203998003
ridge_alpha_0.1,F4_reduced_hydroclimate,river_year_groupkfold,511,5,2044,2.695123383202582,2.118047085778307,1.7916494761482977,0.42449057812851554,0.036247133996339276,-0.5022796858420158,0.6713827240083275,0.6517294149543672
ridge_alpha_0.1,F5_snow_hydroclimate_complete_case,leave_one_river_out,325,6,1625,10.879778475029223,3.7623366887123577,2.326649393588087,-7.170644878906851,1.378940650133968,-0.37943662997449756,0.5236712866127186,0.04988291311995078
ridge_alpha_0.1,F5_snow_hydroclimate_complete_case,leave_one_year_out,325,20,6175,2.849980803203337,2.2084751330854018,1.771276094311586,0.4393393203459195,0.02465597509017696,-0.6370804714890932,0.6862919698166231,0.6632989167175116
ridge_alpha_0.1,F5_snow_hydroclimate_complete_case,river_year_groupkfold,325,5,1300,2.8231817127547054,2.1824602959618566,1.7265519558848634,0.4498338144755216,0.012770161994088243,-0.5891984186226096,0.695983487826233,0.6711886444604579
ridge_alpha_0.1,F6_reduced_hydroclimate_river_fixed,leave_one_river_out,511,6,2555,6.510698334843389,2.9908888538064944,2.1713515257749094,-2.358538108856268,0.7006860047092862,-0.47225784977078966,0.538375500154883,0.15458841384049274
ridge_alpha_0.1,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.240848918658994,1.666716059962206,1.226847793519532,0.6021491526150415,0.009838270809107364,-0.21781988447802725,0.8028922221719507,0.7760506409825654
ridge_alpha_0.1,F6_reduced_hydroclimate_river_fixed,river_year_groupkfold,511,5,2044,2.300737189816404,1.7040745112669553,1.2525736704831294,0.5805992921292302,-0.03802887390859268,-0.2489322853824003,0.7997700491507442,0.7646279205398041
ridge_alpha_1,F1_season_only,leave_one_river_out,547,6,2735,3.5666087792826255,2.8218324236692727,2.49169110086675,-0.018181410989925206,-0.02469378567459082,-0.7217036042200773,0.17125788649838733,0.17429477328290185
ridge_alpha_1,F1_season_only,leave_one_year_out,547,21,10940,3.320567150016439,2.589467848780124,2.2764921734096917,0.11745115761243596,0.0034549068824554618,-0.6065952876741534,0.3547672570455128,0.34333581605204966
ridge_alpha_1,F1_season_only,river_year_groupkfold,547,5,2188,3.330458761913969,2.5947918775712373,2.225615549458402,0.11218529015839729,-0.0034596067527427454,-0.5938991190603202,0.34894582948863273,0.3368724967540281
ridge_alpha_1,F2_q_season,leave_one_river_out,545,6,2725,3.3463784810120085,2.6714609067950175,2.191608431070887,0.10472487606895331,0.20040479600237857,-0.3815731409618994,0.4682143981481932,0.4609465575281463
ridge_alpha_1,F2_q_season,leave_one_year_out,545,21,10900,2.7970951849699657,2.2137070961098155,1.840787569130761,0.3745092508469414,0.0064643904950356474,-0.5813324513946334,0.5985719039866139,0.6120601493417869
ridge_alpha_1,F2_q_season,river_year_groupkfold,545,5,2180,2.818126933953489,2.217820978844271,1.867370102440927,0.3650675827498995,0.03251187719959656,-0.545005253502219,0.5973962948501009,0.6050526224521325
ridge_alpha_1,F3_q_season_river_fixed,leave_one_river_out,545,6,2725,3.2462514660370356,2.6062289302884762,2.162438070840326,0.15749843312862188,0.012903518056086201,-0.7503225678674346,0.49441025085866874,0.5036049032467299
ridge_alpha_1,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2578457483025893,1.7161097019291147,1.348592637069455,0.5924368252375442,0.0027765228668463746,-0.19957507623623538,0.7873907589745398,0.7697209791143423
ridge_alpha_1,F3_q_season_river_fixed,river_year_groupkfold,545,5,2180,2.2495269891461085,1.7193703793899577,1.3805183134383983,0.5954345270059191,0.020701666840468775,-0.23109230418897164,0.7911199337884237,0.7716795226678723
ridge_alpha_1,F4_reduced_hydroclimate,leave_one_river_out,511,6,2555,6.662144480461329,3.178889324305599,2.272278187275723,-2.5166020725550524,0.8746659930340813,-0.2651587480076394,0.4913053804539848,0.13685529646625091
ridge_alpha_1,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.7000042482369917,2.1245843936247777,1.8094540404874158,0.42240419695222187,0.025698792836038847,-0.5437039377424178,0.6724841410299092,0.6500677890720934
ridge_alpha_1,F4_reduced_hydroclimate,river_year_groupkfold,511,5,2044,2.694089678215316,2.117113702896037,1.7895313169821998,0.4249319626499738,0.035665190712357915,-0.5114578341967446,0.6713366311472194,0.6520196840783024
ridge_alpha_1,F5_snow_hydroclimate_complete_case,leave_one_river_out,325,6,1625,10.7657407195403,3.7429554082812446,2.3156259871727327,-7.000259274976919,1.3628178641890665,-0.3762707361689692,0.524445454405388,0.05073084281448924
ridge_alpha_1,F5_snow_hydroclimate_complete_case,leave_one_year_out,325,20,6175,2.8490725529701684,2.2073031748065084,1.7607204416650615,0.43969661331551924,0.02495967321294588,-0.657104106737104,0.6865405285434635,0.6634602334320762
ridge_alpha_1,F5_snow_hydroclimate_complete_case,river_year_groupkfold,325,5,1300,2.821850880454421,2.181247265336901,1.728112241579204,0.45035238283713785,0.012721705075792263,-0.5780119430268531,0.6963975775758003,0.6714404966668286
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,leave_one_river_out,511,6,2555,6.53359690571917,2.9917278526303965,2.160450621440715,-2.3822040691890765,0.7036821642430785,-0.44686304024476975,0.5367408449410868,0.15111035582973933
