model_id,feature_set,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,rmse,mae,bias_mean
mean_baseline,F0_intercept_only,river_year_groupkfold,river_year_gkf_4,Kolyma_2005;Kolyma_2013;Kolyma_2015;Kolyma_2016;Lena_2017;Lena_2019;Mackenzie_2003;Mackenzie_2004;Mackenzie_2011;Mackenzie_2015;Mackenzie_2018;Ob_2006;Ob_2010;Ob_2012;Ob_2019;Ob_2021;Yenisey_2010;Yenisey_2017;Yenisey_2021;Yukon_2004;Yukon_2017,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.111975874737369,2.635843911021742,-0.7367879854216408
mean_baseline,F0_intercept_only,river_year_groupkfold,river_year_gkf_5,Kolyma_2017;Kolyma_2020;Lena_2011;Lena_2012;Lena_2013;Lena_2018;Mackenzie_2006;Mackenzie_2009;Mackenzie_2017;Mackenzie_2021;Mackenzie_2022;Ob_2014;Ob_2016;Ob_2020;Yenisey_2005;Yenisey_2011;Yenisey_2012;Yenisey_2015;Yukon_2003;Yukon_2011;Yukon_2015;Yukon_2024,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.8348469041204476,2.6842280800971885,0.49347507435800764
mean_baseline,F0_intercept_only,leave_one_river_out,loro_Kolyma,Kolyma,,Kolyma,460,87,Kolyma,3.393234038124722,2.9622931534232877,-1.5659321339330323
mean_baseline,F0_intercept_only,leave_one_river_out,loro_Lena,Lena,,Lena,460,87,Lena,5.309093726105256,3.453885432283858,3.0584047726136943
mean_baseline,F0_intercept_only,leave_one_river_out,loro_Mackenzie,Mackenzie,,Mackenzie,444,103,Mackenzie,2.5762450826626484,2.3716529344878863,-2.3291664480014
mean_baseline,F0_intercept_only,leave_one_river_out,loro_Ob,Ob,,Ob,460,87,Ob,4.214866896010304,3.5617222638680652,3.25703055972014
mean_baseline,F0_intercept_only,leave_one_river_out,loro_Yenisey,Yenisey,,Yenisey,460,87,Yenisey,3.0417331277349167,2.7271398800599704,-0.878888105947026
mean_baseline,F0_intercept_only,leave_one_river_out,loro_Yukon,Yukon,,Yukon,451,96,Yukon,3.4844528901813345,2.9276693458980048,-1.1175299334811528
linear_regression,F1_season_only,leave_one_year_out,loyo_2003,2003,2003,,542,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.949271547004665,2.7706480480149573,-1.066960230214017
linear_regression,F1_season_only,leave_one_year_out,loyo_2004,2004,2004,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.24983661152091,2.8013781327288534,-0.4130933835103906
linear_regression,F1_season_only,leave_one_year_out,loyo_2005,2005,2005,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.9055153864618886,2.41770896910828,0.11357057101960902
linear_regression,F1_season_only,leave_one_year_out,loyo_2006,2006,2006,,536,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.5536242399896794,3.003160190546859,1.670714914515304
linear_regression,F1_season_only,leave_one_year_out,loyo_2007,2007,2007,,546,1,Mackenzie,0.447912636175416,0.447912636175416,-0.447912636175416
linear_regression,F1_season_only,leave_one_year_out,loyo_2009,2009,2009,,518,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.8023948559767438,2.9844135752462986,0.834239692076383
linear_regression,F1_season_only,leave_one_year_out,loyo_2010,2010,2010,,516,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.323846016378209,3.378218017980862,2.0716331558243555
linear_regression,F1_season_only,leave_one_year_out,loyo_2011,2011,2011,,517,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.031830662229286,3.508833581869686,2.57896670393061
linear_regression,F1_season_only,leave_one_year_out,loyo_2012,2012,2012,,524,23,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.218125280144424,2.432707946977439,-0.2677488515602943
linear_regression,F1_season_only,leave_one_year_out,loyo_2013,2013,2013,,514,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2250375002181624,2.6407892490986167,-0.2586911278369601
linear_regression,F1_season_only,leave_one_year_out,loyo_2014,2014,2014,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.123798157523761,2.832348714513232,0.3901797324144831
