scope,group_value,daily_confidence_tier,n_days,fraction_days,flux_TgC,fraction_flux
annual,Mackenzie_2020,medium,366,1.0,2.193086665294724,1.0
annual,Mackenzie_2021,high,365,1.0,2.005616538749908,1.0
annual,Mackenzie_2022,medium,365,1.0,1.8226606726830898,1.0
annual,Mackenzie_2023,high,363,0.9945205479452055,1.0172773689433805,1.0
annual,Mackenzie_2024,high,366,1.0,0.781065014076653,1.0
annual,Mackenzie_2025,low,309,0.9088235294117647,0.7345800655910971,1.0
annual,Ob_2000,low,306,0.8360655737704918,3.712977843600731,1.0
annual,Ob_2001,high,365,1.0,4.817518007038791,1.0
annual,Ob_2002,high,365,1.0,6.014554945067764,1.0
annual,Ob_2003,high,365,1.0,3.925575699706013,1.0
annual,Ob_2004,high,366,1.0,3.4804247143623916,1.0
annual,Ob_2005,high,365,1.0,3.5354676231389224,1.0
annual,Ob_2006,high,365,1.0,3.596825489156057,1.0
annual,Ob_2007,high,365,1.0,5.140499281886072,1.0
annual,Ob_2008,high,366,1.0,4.064104539431131,1.0
annual,Ob_2009,high,365,1.0,3.942709696648059,1.0
annual,Ob_2010,high,365,1.0,3.5690671829775034,1.0
annual,Ob_2011,medium,365,1.0,3.9572217960280067,1.0
annual,Ob_2012,high,366,1.0,2.721498794319929,1.0
annual,Ob_2013,high,365,1.0,3.6749925604503457,1.0
annual,Ob_2014,high,365,1.0,4.946947539556345,1.0
annual,Ob_2015,high,365,1.0,5.771512611062653,1.0
annual,Ob_2016,high,366,1.0,4.655906590068793,1.0
annual,Ob_2017,high,365,1.0,4.661911721049173,1.0
annual,Ob_2018,medium,365,1.0,4.471495130533907,1.0
annual,Ob_2019,high,365,1.0,4.425031253665647,1.0
annual,Ob_2020,medium,366,1.0,4.689206590767031,1.0
annual,Ob_2021,high,365,1.0,3.763209051739778,1.0
annual,Ob_2022,high,365,1.0,3.6951532074256406,1.0
annual,Ob_2023,high,365,1.0,3.188036330702168,1.0
annual,Ob_2024,medium,366,1.0,5.013147175459088,1.0
annual,Ob_2025,low,344,1.0,4.81577834250235,1.0
annual,Yenisey_2000,low,208,1.0,3.987191525016431,1.0
annual,Yenisey_2001,low,211,1.0,4.66742299701097,1.0
annual,Yenisey_2002,low,195,1.0,4.785513950728447,1.0
annual,Yenisey_2003,low,201,1.0,4.1574746357351975,1.0
annual,Yenisey_2004,low,213,1.0,4.296356514834206,1.0
annual,Yenisey_2005,low,213,1.0,3.9894128837586984,1.0
annual,Yenisey_2006,low,225,1.0,3.7860978760569424,1.0
annual,Yenisey_2007,medium,202,1.0,4.755622259608573,1.0
annual,Yenisey_2008,medium,210,1.0,4.468990523099104,1.0
annual,Yenisey_2009,high,209,1.0,3.900111368309247,1.0
annual,Yenisey_2010,medium,220,1.0,3.900471358715519,1.0
annual,Yenisey_2011,low,198,1.0,4.63316525491252,1.0
annual,Yenisey_2012,high,215,1.0,2.5422334501736255,1.0
annual,Yenisey_2013,low,216,1.0,3.4347679077926196,1.0
annual,Yenisey_2014,medium,212,1.0,4.578624857278527,1.0
annual,Yenisey_2015,high,208,1.0,4.262612703028921,1.0
annual,Yenisey_2016,high,210,1.0,2.6779187914314035,1.0
annual,Yenisey_2017,high,205,1.0,3.4410339536244337,1.0
annual,Yenisey_2018,low,212,1.0,3.9671953930787556,1.0
annual,Yenisey_2019,medium,200,1.0,3.396876226517367,1.0
annual,Yenisey_2020,high,197,1.0,3.5358441560238427,1.0
annual,Yenisey_2021,medium,201,1.0,4.925728616807294,1.0
annual,Yenisey_2022,high,198,1.0,3.9911131242604765,1.0
annual,Yenisey_2023,low,197,1.0,4.553421604243365,1.0
