river,train_n,train_log_Q_min,train_log_Q_max,train_doy_min,train_doy_max,train_year_min,train_year_max
Kolyma,85,4.997212273764115,10.09823162932864,22,356,2003,2021
Lena,87,6.907755278982137,12.0015054797889,3,343,2003,2021
Mackenzie,103,7.8119734296220225,10.268130666124037,14,358,2003,2024
Ob,87,8.116715624819111,10.502324053624832,3,348,2003,2021
Yenisey,87,8.674196940225903,11.494761494342557,11,364,2004,2021
Yukon,96,7.069023426578259,10.416730252817723,2,354,2003,2024
