river,year,season_window,seasonal_flux_TgC,seasonal_fraction_of_annual,seasonal_Q_volume_km3,seasonal_flow_weighted_DOC,n_days_with_flux,fraction_flux_from_low_confidence_days,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Kolyma,2005,late_summer,0.17610216639031456,0.3387625149658529,32.949504,5.344607505785757,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2005,fall_winter,0.030063137929614497,0.05783156687708787,8.4562272,3.555147847685393,92,0.0715995009922872,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,winter,0.0202674367295693,0.023497106981064927,3.6351935999999996,5.575339021716486,90,0.24131324754052572,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,spring_transition,0.004478262292554799,0.005191885366732576,1.033344,4.333757483041897,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,may_july,0.5113029891600231,0.5927804880477678,60.41908800000001,8.462606869538117,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,late_summer,0.2767060588759308,0.32079990945430054,45.219168,6.119220479154644,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,fall_winter,0.0497955552366385,0.05773061015011182,11.655273600000001,4.272362618466798,92,0.03846193145288423,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,winter,0.026290320017047997,0.022896991536219147,4.375123200000001,6.009046789140186,90,0.22787268702864505,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,spring_transition,0.0063694206995956,0.005547310635803937,1.3015295999999998,4.89379626832677,30,0.0,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,may_july,0.849148137335917,0.7395473961887472,89.26856640000001,9.512286032812566,92,0.2724512193281179,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,late_summer,0.2051526991251688,0.17867335249078295,36.567936,5.610179888883307,61,0.0,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,fall_winter,0.061239175416876,0.05333494914843164,13.101955200000003,4.674048604354876,92,0.0523820254414644,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,winter,0.028782066731762798,0.03398681750164858,4.6842624,6.1444181119672745,91,0.28561877223532556,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,spring_transition,0.0053866889755186,0.006360780719998012,1.1728800000000001,4.59270255739745,30,0.0,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,may_july,0.6369159579987809,0.7520914543813391,70.38264960000001,9.04933192510538,92,0.1897830992094396,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,late_summer,0.0995083383411115,0.11750274108563027,22.16592,4.489249187090556,61,0.0,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,fall_winter,0.07626666732390491,0.09005820631136265,15.338764800000003,4.972151820458811,92,0.054116879556678106,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2009,winter,0.001146813826906706,0.002153208483254568,0.3389472,3.3834586239588536,22,0.0,low,False,False,False,False,coverage_lt_0_90
Kolyma,2009,spring_transition,0.0004203890030404551,0.000789304372144857,0.14904,2.8206454847051465,10,0.0,low,False,False,False,False,coverage_lt_0_90
Kolyma,2009,may_july,0.3334833377316434,0.6261340201701607,43.765660800000006,7.619748717050026,89,0.0,low,False,False,False,False,coverage_lt_0_90
Kolyma,2009,late_summer,0.14144982249479898,0.26558012347319826,28.098144000000005,5.034134015926543,61,0.0,low,False,False,False,False,coverage_lt_0_90
Kolyma,2009,fall_winter,0.056106598055558704,0.10534334350122128,11.4197472,4.913120848731475,70,0.05561535167143236,low,False,False,False,False,coverage_lt_0_90
Kolyma,2010,winter,0.0172387850330176,0.030560035868061317,3.2513184,5.302090694354178,90,0.31662392973226006,low,False,False,False,False,coverage_lt_0_90
Kolyma,2010,spring_transition,0.0003609231668083,0.0006398261189608435,0.0860544,4.194127979608068,2,0.0,low,False,False,False,False,coverage_lt_0_90
Kolyma,2010,may_july,0.3270420566488073,0.5797634208216934,41.040604800000004,7.968743595338348,92,0.0,low,False,False,False,False,coverage_lt_0_90
Kolyma,2010,late_summer,0.15148939357199662,0.2685526440711518,27.959903999999998,5.418094195602375,61,0.0,low,False,False,False,False,coverage_lt_0_90
Kolyma,2010,fall_winter,0.06796454838557921,0.12048407312010646,11.376201600000005,5.974274259132403,37,0.013087793626825245,low,False,False,False,False,coverage_lt_0_90
Kolyma,2011,winter,0.0068804000925297495,0.007434755219870905,1.7575488,3.914770441953546,90,0.2828600633683058,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2011,spring_transition,0.0009633151590890102,0.0010409296423319618,0.42552000000000006,2.263854011771503,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2011,may_july,0.6812197113045685,0.7361057113523798,75.6971136,8.999282520919952,92,0.03597681735598751,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2011,late_summer,0.1941944587906472,0.2098407427979853,34.454592,5.63624316870884,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2011,fall_winter,0.0421794544246725,0.04557786098741828,10.1992608,4.1355403349110835,92,0.033976641529939074,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
