river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language,season_window
Kolyma,core_2003_2024,seasonal_Q_volume_km3,km3/year,19,2003,2024,2.8167582315789472,2.3874048,0.04102870406072106,-79.80209531385199,0.384373428635325,0.044797904441996175,0.04965119999999996,0.18128654970760236,0.2983021854281703,1.456593029559453,30.588453620748513,flat_or_uncertain,False,no detectable trend,winter
Kolyma,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,19,2003,2024,4.781408317135278,4.797454370989235,0.031199825810211947,-58.04518828805993,0.42760185379551263,0.037402550275487244,0.04630239853268467,0.19298245614035084,0.2668987734001042,0.6525237700030802,13.702999170064684,flat_or_uncertain,False,no detectable trend,winter
Lena,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.566375017893584,0.5577794114088293,-0.004110565038709607,8.842997723335378,0.3865610704898548,0.0377028915993366,-0.005261708784328301,-0.1341991341991342,0.4020304086977944,-0.7257673641745864,-15.241114647666315,flat_or_uncertain,False,no detectable trend,fall_winter
Lena,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.09067869835795533,0.09461420036349223,-0.00013742101473491336,0.3673759115267034,0.8524792033424433,0.001771157138958409,-0.0002817709833378017,-0.05627705627705628,0.7380940484479567,-0.15154718497661065,-3.1824908845088236,flat_or_uncertain,False,no detectable trend,fall_winter
Lena,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,72.01040203636364,71.23593600000001,-0.3846141614906831,846.4310161978541,0.3577608045372931,0.04242663985552226,-0.46627199999999885,-0.14285714285714285,0.3711989339777388,-0.5341091711951026,-11.216292595097155,flat_or_uncertain,False,no detectable trend,fall_winter
Lena,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,7.769902280587075,7.8317203420160055,-0.01441005023008239,36.78453841885796,0.49408993205371465,0.023685755904029642,-0.012373820880163398,-0.06493506493506493,0.6964081768655271,-0.18545986435486547,-3.8946571514521753,flat_or_uncertain,False,no detectable trend,fall_winter
Lena,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,1.2960624068560218,1.1388664152119339,-0.010971662456414035,23.38750476284568,0.5017704441036243,0.02286377855399182,-0.015290912077558217,-0.14285714285714285,0.3711989339777388,-0.846538129520245,-17.777300719925147,flat_or_uncertain,False,no detectable trend,late_summer
Lena,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.2018420001805845,0.18824389780043432,-0.0010842433667005095,2.3849660190320603,0.5694544799215308,0.016451806622167674,-0.0016132459761049958,-0.09956709956709957,0.5394123595200279,-0.5371743074932154,-11.280660457357525,flat_or_uncertain,False,no detectable trend,late_summer
Lena,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,154.98530181818182,143.2512,-1.0320311688311683,2232.980060259739,0.4564267586508509,0.02803178091978128,-1.333583999999999,-0.1341991341991342,0.4020304086977944,-0.6658897048456097,-13.983683801757804,flat_or_uncertain,False,no detectable trend,late_summer
Lena,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,8.145139119110137,7.9495221351192775,-0.0281891199044488,64.9039320467178,0.3601972020812376,0.04200776080898377,-0.031039646696192767,-0.14285714285714285,0.3711989339777388,-0.34608518641887215,-7.2677889147963155,flat_or_uncertain,False,no detectable trend,late_summer
Lena,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,4.147353924237967,4.363392577105712,-0.013484009041454777,31.29740612920716,0.5229538977200001,0.02070127180132675,-0.005925227605431066,-0.09090909090909091,0.5770090763883768,-0.3251231818594388,-6.827586819048214,flat_or_uncertain,False,no detectable trend,may_july
Lena,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.6606004615940129,0.6615126490276658,0.0009054538144966709,-1.162530793895034,0.6647111145295064,0.009583814411220049,0.0014535687795756702,0.07359307359307359,0.6555978590524786,0.13706527124002196,2.878370696040461,flat_or_uncertain,False,no detectable trend,may_july
Lena,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,329.85403592727266,340.11187199999995,-0.9739185093167698,2290.8389544365887,0.45125406413755564,0.02867213322648232,-0.9605323636363633,-0.09956709956709957,0.5394123595200279,-0.29525741789968657,-6.200405775893418,flat_or_uncertain,False,no detectable trend,may_july
Lena,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,12.526034960850636,12.577301452966237,-0.004490733023977744,21.568125904629824,0.7868437352871442,0.003741586407578833,0.0022293243386373174,0.03896103896103896,0.8236433617484156,-0.03585119343841254,-0.7528750622066633,flat_or_uncertain,False,no detectable trend,may_july
Lena,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.03855405218988063,0.03683347084191805,0.00017464965910883807,-0.3131030364257648,0.7492504167110159,0.005223608449306966,-6.861004268543178e-05,-0.004329004329004329,1.0,0.45299948822157465,9.51298925265307,flat_or_uncertain,False,no detectable trend,spring_transition
Lena,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.006143549386247575,0.005591211039889726,6.997338427736117e-05,-0.13474785985621912,0.39898720598435233,0.03580916419196292,4.845142466143301e-05,0.09956709956709957,0.5394123595200279,1.1389732527258203,23.918438307242226,flat_or_uncertain,False,no detectable trend,spring_transition
Lena,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,6.048832581818183,5.930496,0.02164068752117446,-37.524691742066594,0.7031416127353212,0.007417193943051627,-0.006911999999999807,-0.012987012987012986,0.9555771436337516,0.35776634959649706,7.513093341526439,flat_or_uncertain,False,no detectable trend,spring_transition
Lena,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,6.12251050843893,6.209958398932213,0.017308807433228043,-28.728773258365734,0.6172940981884844,0.012718444629206105,-0.005097647552844364,-0.0303030303030303,0.8672669832921104,0.28270768027871146,5.936861285852941,flat_or_uncertain,False,no detectable trend,spring_transition
