river,year,annual_flux_TgC,annual_Q_volume_km3,annual_mean_DOC_mgC_L,flow_weighted_DOC_mgC_L,annual_flux_yield_gC_m2_yr,n_days_with_flux,coverage_rate,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,caveat_reason
Lena,2012,6.850384360073212,639.1125504,8.803238353825614,10.718588386013975,,366.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2013,7.236421063511426,657.9330623999999,8.66465857323479,10.99871928781706,,365.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2014,6.78379058734266,608.378688,8.423941922096747,11.150605241685682,,365.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2015,6.517510777279808,584.9424288,8.140786238381644,11.142140587494014,,365.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2016,6.834065842591718,630.984384,8.31735440498549,10.830800279506944,,366.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2017,6.445062408865316,593.751168,8.285376419338723,10.854820598627128,,365.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2018,7.131941414940964,663.398208,8.375213168437181,10.750619053437305,,365.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2019,4.423662754833697,447.081984,7.7791922620879035,9.89452251073865,,365.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2020,6.186729927596507,558.397152,7.73181424924665,11.079443914492792,,366.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2021,5.660341208702292,555.1260480000001,8.529900537163796,10.196497226342172,,365.0,1.0,high,True,True,meets_core_annual_criteria
Lena,2022,6.589599312828729,632.166336,8.860668754321688,10.423837742648683,,365.0,1.0,high,True,True,outside_training_year_range
Lena,2023,5.890770476920316,550.796544,8.003688383290122,10.695002612290018,,365.0,1.0,high,True,True,outside_training_year_range
Lena,2024,5.09672870739132,501.334272,8.361111423952046,10.166328120873652,,354.0,0.9672131147540984,medium,True,False,outside_training_year_range
Lena,2025,8.167522508833459,697.951296,9.66739918825024,11.702138180188232,,231.0,0.6328767123287671,low,False,False,coverage_lt_0_90
Mackenzie,2000,1.3378204838596184,271.418688,4.6251837294125115,4.928991786518467,,366.0,1.0,high,False,True,outside_core_2003_2024_period;outside_training_year_range
Mackenzie,2001,1.5728859893787734,305.262432,4.822657722815556,5.152569803868866,,365.0,1.0,high,False,True,outside_core_2003_2024_period;outside_training_year_range
Mackenzie,2002,1.5880289407851949,306.83664,4.828898779690372,5.175486671947635,,365.0,1.0,high,False,True,outside_core_2003_2024_period;outside_training_year_range
Mackenzie,2003,1.5275953578994892,297.768096,4.752769209529544,5.130151209683286,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2004,1.2236853327335306,251.529408,4.5792647321136135,4.864979178631591,,366.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2005,1.6940282972452965,320.35996800000004,4.867676764336673,5.287890081339053,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2006,1.6190004974322822,309.89088000000004,4.841993706567683,5.224421246060168,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2007,1.7518931710819536,330.258816,4.886580743163628,5.304606830183615,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2008,1.7023368527905034,323.47728,4.944608241815262,5.262616443388245,,366.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2009,1.785957901923476,334.28159999999997,4.920144580507032,5.34267486431642,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2010,1.471146842490147,291.15504,4.836339719487013,5.0527953852014615,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2011,1.4712441840681203,288.807552,4.684669788137923,5.0942026061289445,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2012,1.598309291519434,306.35625600000003,4.794582784646782,5.217158978204231,,366.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2013,1.6330390029291462,310.913856,4.8032785596914405,5.252384129606453,,365.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2014,1.3589460359541097,271.87919999999997,4.644112411651125,4.998344985398329,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2015,1.3128870724813828,266.24073599999997,4.631647379267581,4.931202836223315,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2016,1.4238023634115673,282.66623999999996,4.70344149529956,5.037044266098305,,366.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2017,1.4307360516027368,282.557376,4.6760090132755225,5.063523988850805,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2018,1.276179810508374,258.727392,4.525069833619629,4.932526860195668,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2019,1.1100524413553532,236.93472,4.545737684880928,4.68505604140817,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2020,2.193086665294724,392.21936640000007,5.082707130397341,5.591479802295463,,366.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2021,2.005616538749908,367.910208,5.17907797955826,5.451375077774161,,365.0,1.0,high,True,True,meets_core_annual_criteria
Mackenzie,2022,1.8226606726830896,336.6634752,4.895559415509552,5.41389490380657,,365.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2023,1.0172773689433805,218.93241600000002,4.323349365179419,4.646536075056973,,363.0,0.9945205479452056,high,True,True,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2024,0.781065014076653,182.450016,4.061064275745382,4.2809807924415475,,366.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2025,0.7345800655910971,167.82422400000002,4.231223303663989,4.37708006676734,,309.0,0.9088235294117648,low,False,False,outside_core_2003_2024_period;coverage_lt_0_95;annual_confidence_tier_low;outside_training_year_range
Ob,2000,3.712977843600731,367.67796480000004,9.06369229522381,10.098450815839401,,306.0,0.8360655737704918,low,False,False,coverage_lt_0_90
Ob,2001,4.817518007038791,459.979776,8.81173105772862,10.473325694734001,,365.0,1.0,high,False,True,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
